contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),VVD,SP (Socialistische Partij),P.v.d.A./Europese Sociaaldemocraten,ChristenUnie-SGP,GROENLINKS,Partij voor de Dieren,50PLUS,JEZUS LEEFT,DENK,De Groenen,Forum voor Democratie,vandeRegio & Piratenpartij,Volt Nederland
,Vlissingen,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Hal Stadhuis (1),0718::SB1,4382 LG,2320,908,5,0,0,0,12,808,93,0,0,0,0,0,913,53,65,36,100,45,187,37,85,58,54,1,7,2,152,3,23
,Vlissingen,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Zorgcentrum Scheldehof,0718::SB2,4381 EN,2036,770,1,2,0,0,15,673,85,0,0,0,0,0,773,56,58,26,84,34,181,32,83,55,44,0,2,1,102,1,11
,Vlissingen,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Lokaal  Ger. Kerk Vrijgemaakt,0718::SB3,4381 VB,1598,403,0,0,0,0,1,364,38,0,0,0,0,0,403,18,33,18,32,22,86,18,36,28,33,0,1,0,72,1,5
,Vlissingen,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Lokaal De Combinatie (1),0718::SB4,4382 KB,1577,420,0,1,0,0,0,384,37,0,0,0,0,0,421,16,23,31,35,38,89,13,41,23,43,3,17,0,42,0,6
,Vlissingen,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Atrium  Zorgcentrum Ter Reede,0718::SB5,4382 CJ,1970,815,1,2,0,0,2,741,75,0,0,0,0,0,818,51,102,38,117,29,201,43,48,51,43,1,6,3,73,1,8
,Vlissingen,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau De Vlissingse Schoolvereniging,0718::SB6,4383 WB,1350,323,0,1,0,0,0,284,40,0,0,0,0,0,324,20,27,17,43,5,70,20,25,10,21,3,7,1,50,0,4
,Vlissingen,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Gymzaal basisschool Louise de Coligny,0718::SB7,4384 EV,1556,734,2,3,0,0,6,654,79,0,0,0,0,0,739,46,66,23,100,32,178,42,54,35,40,3,3,0,99,2,11
,Vlissingen,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Lokaal Apostolisch Genootschap,0718::SB8,4386 GZ,1291,736,3,1,0,0,4,637,99,0,0,0,0,0,740,31,76,30,185,11,166,35,39,31,41,0,0,0,85,2,4
,Vlissingen,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stichting ROAT,0718::SB9,4385 AM,1218,385,0,0,0,0,0,349,36,0,0,0,0,0,385,8,30,30,28,21,82,38,29,10,28,0,1,1,74,0,5
,Vlissingen,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Het Bolwerk,0718::SB10,4386 EA,1179,430,0,0,0,0,2,371,57,0,0,0,0,0,430,16,45,23,43,23,85,46,30,13,38,0,1,0,65,1,1
,Vlissingen,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Adventkerk,0718::SB11,4386 AL,1241,504,1,2,0,1,0,444,64,0,0,1,0,0,508,22,43,18,57,20,100,96,48,18,34,3,0,2,32,1,10
,Vlissingen,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Lokaal Het Kroonjuweel,0718::SB12,4388 MD,1710,490,0,0,0,0,1,428,61,0,0,0,0,0,490,19,41,18,56,21,113,76,40,14,34,2,1,3,42,0,10
,Vlissingen,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Zorgcentrum De Zoute Viever,0718::SB13,4388 VJ,1682,473,0,1,0,0,0,427,46,0,1,0,1,0,473,20,45,26,33,23,117,37,34,23,30,1,3,0,72,1,8
