contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),VVD,SP (Socialistische Partij),P.v.d.A./Europese Sociaaldemocraten,ChristenUnie-SGP,GROENLINKS,Partij voor de Dieren,50PLUS,JEZUS LEEFT,DENK,De Groenen,Forum voor Democratie,vandeRegio & Piratenpartij,Volt Nederland
,Wierden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Gemeentehuis,0189::SB1,7642 EC,1281,687,5,0,0,0,2,614,76,0,0,0,0,0,692,34,220,13,125,8,89,71,31,9,11,7,0,2,64,0,3
,Wierden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Kluinveenschool,0189::SB2,7641 AL,1210,627,0,0,0,2,0,538,87,0,2,0,0,0,625,47,245,13,87,9,47,78,21,7,19,0,0,0,50,1,3
,Wierden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Wijkcentrum Kandjoli,0189::SB3,7642 XX,1542,515,0,2,0,0,1,476,40,0,0,0,0,0,517,14,180,17,28,13,52,96,20,11,19,4,0,1,55,0,5
,Wierden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau ZorgAccent,0189::SB4,7642 GW,1647,690,0,0,0,0,3,606,81,0,0,0,0,0,690,24,301,18,71,17,78,70,24,6,22,5,1,2,46,0,5
,Wierden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Zorgcentrum 't Wedervoort,0189::SB5,7641 VA,1710,856,2,0,0,0,3,771,84,0,0,0,0,0,858,31,305,19,88,21,151,90,41,11,25,6,0,1,58,1,8
,Wierden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Tennishal De Stouwe,0189::SB6,7641 AC,1445,695,3,3,0,0,0,638,63,0,0,0,0,0,701,31,194,18,80,22,121,62,57,6,27,3,0,2,63,0,9
,Wierden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Zorgcentrum Het Reggedal,0189::SB7,7468 BX,1386,642,0,1,0,0,6,550,87,0,0,0,0,0,643,12,304,17,42,7,39,96,13,6,23,0,0,0,80,0,3
,Wierden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Hervormd Dienstgebouw,0189::SB8,7468 GC,1355,646,0,2,0,0,1,549,98,0,0,0,0,0,648,11,298,33,68,4,50,76,10,3,19,1,0,0,68,1,4
,Wierden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Hervormd Dienstgebouw,0189::SB9,7468 GC,1347,619,0,0,0,1,2,544,74,0,0,1,0,0,620,13,304,19,69,7,34,58,16,3,15,0,0,2,77,0,2
,Wierden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Kulturhus Hoge Hexel,0189::SB10,7645 AV,809,429,0,0,0,0,8,380,41,0,0,0,0,0,429,8,204,5,31,1,16,108,11,3,1,3,0,0,33,0,5
,Wierden,EP2019,Europees Parlement 2019,,,2019-05-23,"Stembureau Kulturhus ""Irene""",0189::SB11,7467 PL,738,424,3,0,0,0,2,362,63,0,0,0,0,0,427,2,201,1,47,3,21,95,9,3,1,0,0,1,39,0,1
,Wierden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Akkerhus,0189::SB12,7468 RE,425,243,0,2,0,0,0,202,43,0,0,0,0,0,245,3,110,5,29,2,12,57,4,3,5,1,0,0,12,0,0
,Wierden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Gemeentehuis,0189::SB13,7642 EC,1241,625,1,0,0,0,1,549,76,0,0,0,0,0,626,35,229,7,105,6,67,73,25,5,14,1,0,1,51,0,6
,Wierden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau De Luchtbode,0189::SB14,7468 EZ,1360,547,3,0,0,0,4,479,68,1,0,1,0,0,551,11,234,17,86,2,43,71,11,4,8,0,0,0,56,0,4
,Wierden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Verenigingsgebouw VDH,0189::SB18,7641 AG,1404,475,1,1,0,0,0,430,47,0,0,0,0,0,477,20,136,6,100,20,73,21,30,12,17,0,0,1,37,2,0
