contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),VVD,SP (Socialistische Partij),P.v.d.A./Europese Sociaaldemocraten,ChristenUnie-SGP,GROENLINKS,Partij voor de Dieren,50PLUS,JEZUS LEEFT,DENK,De Groenen,Forum voor Democratie,vandeRegio & Piratenpartij,Volt Nederland
,Zundert,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Cultuur Centrum Zundert,0879::SB1,4881 CP,1377,468,0,1,0,0,4,405,60,0,0,0,0,0,469,40,88,26,101,21,82,5,22,11,21,0,0,1,47,0,3
,Zundert,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau St. Anna-school,0879::SB2,4881 XE,1192,339,1,0,0,0,0,299,41,0,0,0,0,0,340,11,41,22,47,18,67,2,23,15,18,1,5,1,64,0,4
,Zundert,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Thebe gebouw,0879::SB3,4881 AK,1261,485,1,3,0,0,1,430,58,0,0,0,0,0,489,27,104,22,79,25,92,1,32,11,28,0,0,2,56,1,5
,Zundert,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau De Willaert,0879::SB4,4881 EH,1513,551,0,1,0,0,1,475,76,0,0,0,0,0,552,55,141,18,132,12,64,3,28,20,27,0,0,0,48,0,3
,Zundert,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Tenniscentrum de Leeuwerik,0879::SB5,4881 WZ,1320,400,2,0,0,0,2,350,50,0,0,0,0,0,402,18,64,41,62,20,58,4,23,13,28,0,1,0,64,0,4
,Zundert,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Gemeenschapshuis Wierenbos,0879::SB6,4884 AB,1949,638,3,3,0,0,2,562,80,0,0,0,0,0,644,31,115,45,115,17,86,9,24,21,32,0,1,2,126,2,12
,Zundert,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Gemeenschapshuis 't Gouwe Hart,0879::SB7,4885 AH,1491,468,2,6,0,0,2,381,93,0,0,0,0,0,476,10,124,24,103,23,54,2,23,25,19,2,0,0,58,0,1
,Zundert,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Ouderencentrum Levenslust,0879::SB8,4882 BH,1669,682,2,2,0,0,2,595,89,0,0,0,0,0,686,45,154,27,169,20,96,2,35,23,30,0,1,1,74,0,5
,Zundert,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Dorpshuis Amarant,0879::SB9,4891 NS,1622,444,0,0,0,0,1,380,63,0,0,0,0,0,444,27,114,16,100,8,70,6,25,9,20,0,0,2,38,1,8
,Zundert,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Koutershof(bibliotheek),0879::SB10,4891 CJ,1748,729,1,3,0,0,0,732,1,0,0,0,0,0,733,47,194,20,134,23,123,6,45,30,24,0,0,0,70,0,13
,Zundert,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Dienstencentrum de Rijserf,0879::SB11,4891 XL,1898,743,3,0,0,0,0,651,95,0,0,0,0,0,746,57,163,28,142,42,108,4,53,29,42,1,0,1,62,2,9
