contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,CDA,ChristenUnie,Stadspartij PLOP,Democraten 66 (D66),GROENLINKS,SP (Socialistische Partij),OP ASSEN,DaadKrachtigNederland
,Assen,GR2014_Assen,Gemeenteraad Assen 2014,0106,Assen,2014-03-19,Stembureau Stadhuis I,0106::SB1,9401 JW,1341,916,3,4,0,0,0,851,72,0,0,0,0,0,0,923,128,83,95,103,153,178,40,99,32,5
,Assen,GR2014_Assen,Gemeenteraad Assen 2014,0106,Assen,2014-03-19,Stembureau Anholt,0106::SB2,9401 AG,1754,754,0,2,0,0,0,703,53,0,0,0,0,0,0,756,160,50,61,94,126,98,28,102,31,4
,Assen,GR2014_Assen,Gemeenteraad Assen 2014,0106,Assen,2014-03-19,Stembureau De Boshof,0106::SB3,9401 PM,1160,889,0,5,0,0,0,832,62,0,0,0,0,0,0,894,140,117,102,74,110,202,60,66,13,5
,Assen,GR2014_Assen,Gemeenteraad Assen 2014,0106,Assen,2014-03-19,Stembureau De Slingeborgh,0106::SB4,9406 EA,1556,743,0,3,0,0,0,694,52,0,0,0,0,0,0,746,126,61,115,109,83,99,25,98,25,2
,Assen,GR2014_Assen,Gemeenteraad Assen 2014,0106,Assen,2014-03-19,Stembureau de Wijde Blik,0106::SB5,9406 CE,1687,848,3,1,0,0,0,798,55,0,1,0,1,0,0,853,159,53,108,106,123,107,23,127,36,6
,Assen,GR2014_Assen,Gemeenteraad Assen 2014,0106,Assen,2014-03-19,Stembureau de Steiger,0106::SB7,9406 GT,1273,608,2,1,0,0,0,556,55,0,0,0,0,0,0,611,108,31,46,72,116,70,29,104,25,7
,Assen,GR2014_Assen,Gemeenteraad Assen 2014,0106,Assen,2014-03-19,Stembureau Arendshorst,0106::SB8,9402 JK,1452,699,1,3,0,0,0,608,95,0,0,0,0,0,0,703,68,17,45,260,139,47,31,73,19,0
,Assen,GR2014_Assen,Gemeenteraad Assen 2014,0106,Assen,2014-03-19,Stembureau Maria in Campisschool,0106::SB9,9402 JA,1554,502,4,1,0,0,0,475,32,0,0,0,0,0,0,507,101,27,38,72,76,71,26,74,17,0
,Assen,GR2014_Assen,Gemeenteraad Assen 2014,0106,Assen,2014-03-19,Stembureau De Componist,0106::SB10,9402 VG,1664,1035,6,7,0,0,0,969,79,0,0,0,0,0,0,1048,230,50,97,160,140,124,31,162,33,8
,Assen,GR2014_Assen,Gemeenteraad Assen 2014,0106,Assen,2014-03-19,Stembureau Amstelflat,0106::SB11,9406 TA,1502,814,1,2,0,0,0,741,76,0,0,0,0,0,0,817,139,49,70,150,98,112,24,116,43,13
