contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Lijst Linssen,GBWP,VVD,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),CDA,BSD,GROENLINKS,SolidariteitsPartij Bergen op Zoom
,Bergen op Zoom,GR2014_BergenopZoom,Gemeenteraad Bergen op Zoom 2014,0748,Bergen op Zoom,2014-03-19,Stembureau Huize Sint Catharina,0748::SB1,4611 TV,1926,1002,6,5,0,0,0,916,97,0,0,0,0,0,0,1013,206,118,140,93,158,70,144,64,9
,Bergen op Zoom,GR2014_BergenopZoom,Gemeenteraad Bergen op Zoom 2014,0748,Bergen op Zoom,2014-03-19,Stembureau Zoomflat,0748::SB2,4611 EH,1803,776,3,4,0,0,0,695,88,0,0,0,0,0,0,783,146,116,99,89,106,60,115,38,7
,Bergen op Zoom,GR2014_BergenopZoom,Gemeenteraad Bergen op Zoom 2014,0748,Bergen op Zoom,2014-03-19,Stembureau Huize Avondvrede,0748::SB3,4611 DX,1523,786,3,4,0,0,0,724,69,0,0,0,0,0,0,793,128,78,121,70,143,106,100,35,5
,Bergen op Zoom,GR2014_BergenopZoom,Gemeenteraad Bergen op Zoom 2014,0748,Bergen op Zoom,2014-03-19,Stembureau Stadskantoor,0748::SB4,4611 AR,1787,865,5,1,0,0,0,761,110,0,0,0,0,0,0,871,143,160,120,83,112,85,98,45,19
,Bergen op Zoom,GR2014_BergenopZoom,Gemeenteraad Bergen op Zoom 2014,0748,Bergen op Zoom,2014-03-19,Stembureau Ontmoetingscentrum De Olifant,0748::SB5,4615 EV,1727,649,2,1,0,1,0,565,86,0,0,1,0,0,0,651,129,83,55,75,67,42,126,31,41
,Bergen op Zoom,GR2014_BergenopZoom,Gemeenteraad Bergen op Zoom 2014,0748,Bergen op Zoom,2014-03-19,Stembureau Gezondheidscentrum,0748::SB6,4611 AM,1193,610,4,3,0,0,0,563,54,0,0,0,0,0,0,617,116,103,92,49,82,63,61,28,16
,Bergen op Zoom,GR2014_BergenopZoom,Gemeenteraad Bergen op Zoom 2014,0748,Bergen op Zoom,2014-03-19,Stembureau Serviceflat de Schelde,0748::SB7,4615 EJ,2337,1044,6,8,0,0,0,917,141,0,0,0,0,0,0,1058,167,171,109,121,130,91,154,50,51
,Bergen op Zoom,GR2014_BergenopZoom,Gemeenteraad Bergen op Zoom 2014,0748,Bergen op Zoom,2014-03-19,Stembureau Cafe 't Hoefke,0748::SB8,4614 VB,1765,1031,3,3,0,0,0,910,127,0,0,0,0,0,0,1037,219,145,152,67,164,114,116,37,17
,Bergen op Zoom,GR2014_BergenopZoom,Gemeenteraad Bergen op Zoom 2014,0748,Bergen op Zoom,2014-03-19,Stembureau Wijkcentrum de Moerkens,0748::SB9,4614 EK,1399,821,2,1,0,0,0,741,83,0,0,0,0,0,0,824,164,89,149,59,125,95,78,50,12
,Bergen op Zoom,GR2014_BergenopZoom,Gemeenteraad Bergen op Zoom 2014,0748,Bergen op Zoom,2014-03-19,Stembureau Serviceflat Meilust,0748::SB10,4614 CZ,1068,550,4,2,0,0,0,499,57,0,0,0,0,0,0,556,112,44,83,40,98,96,50,20,7
,Bergen op Zoom,GR2014_BergenopZoom,Gemeenteraad Bergen op Zoom 2014,0748,Bergen op Zoom,2014-03-19,Stembureau Sporthal Tuinwijk,0748::SB11,4613 CT,1602,831,0,3,0,0,0,741,93,0,0,0,0,0,0,834,122,100,115,96,116,52,135,74,21
,Bergen op Zoom,GR2014_BergenopZoom,Gemeenteraad Bergen op Zoom 2014,0748,Bergen op Zoom,2014-03-19,Stembureau Basisschool de Welle,0748::SB12,4613 GP,1502,772,1,3,0,0,0,690,86,0,0,0,0,0,0,776,121,117,102,80,109,53,115,60,15
,Bergen op Zoom,GR2014_BergenopZoom,Gemeenteraad Bergen op Zoom 2014,0748,Bergen op Zoom,2014-03-19,Stembureau School De Noordster,0748::SB13,4613 GP,1685,488,0,2,0,0,0,430,60,0,0,0,0,0,0,490,79,76,92,44,70,42,53,18,14
,Bergen op Zoom,GR2014_BergenopZoom,Gemeenteraad Bergen op Zoom 2014,0748,Bergen op Zoom,2014-03-19,Stembureau Wijkcentrum de Kastanje,0748::SB14,4621 HK,1643,869,3,3,0,0,0,750,125,0,0,0,0,0,0,875,124,175,56,128,140,41,147,31,27
,Bergen op Zoom,GR2014_BergenopZoom,Gemeenteraad Bergen op Zoom 2014,0748,Bergen op Zoom,2014-03-19,Stembureau Centrum Elsenborch,0748::SB15,4621 BW,1661,552,3,8,0,0,0,480,83,0,0,0,0,0,0,563,65,79,79,59,112,37,67,24,30
,Bergen op Zoom,GR2014_BergenopZoom,Gemeenteraad Bergen op Zoom 2014,0748,Bergen op Zoom,2014-03-19,Stembureau Algemene School Oost,0748::SB16,4624 ES,1548,675,4,4,0,0,0,574,109,0,0,0,0,0,0,683,79,105,81,81,101,71,93,44,20
,Bergen op Zoom,GR2014_BergenopZoom,Gemeenteraad Bergen op Zoom 2014,0748,Bergen op Zoom,2014-03-19,Stembureau Sporthal Gageldonk,0748::SB17,4623 AH,1841,723,2,7,0,0,0,649,83,0,0,0,0,0,0,732,100,124,77,86,94,88,101,29,24
,Bergen op Zoom,GR2014_BergenopZoom,Gemeenteraad Bergen op Zoom 2014,0748,Bergen op Zoom,2014-03-19,Stembureau School Anton van Duinkerken,0748::SB18,4623 XP,1977,800,5,2,0,0,0,713,94,0,0,0,0,0,0,807,121,136,92,93,109,83,121,28,17
,Bergen op Zoom,GR2014_BergenopZoom,Gemeenteraad Bergen op Zoom 2014,0748,Bergen op Zoom,2014-03-19,Stembureau Woonzorgcentrum Jacqueline,0748::SB19,4624 AK,1007,434,4,1,0,0,0,388,51,0,0,0,0,0,0,439,68,71,42,65,48,84,36,6,14
,Bergen op Zoom,GR2014_BergenopZoom,Gemeenteraad Bergen op Zoom 2014,0748,Bergen op Zoom,2014-03-19,Stembureau Steunpunt Zonneplein,0748::SB20,4624 BA,1480,749,3,2,0,0,0,632,122,0,0,0,0,0,0,754,107,125,48,143,97,61,121,14,33
,Bergen op Zoom,GR2014_BergenopZoom,Gemeenteraad Bergen op Zoom 2014,0748,Bergen op Zoom,2014-03-19,Stembureau Ontmoetingsc. het Hoofdkwartier,0748::SB21,4625 CC,1625,730,0,4,0,0,0,641,93,0,0,0,0,0,0,734,94,166,103,69,84,66,109,29,10
,Bergen op Zoom,GR2014_BergenopZoom,Gemeenteraad Bergen op Zoom 2014,0748,Bergen op Zoom,2014-03-19,Stembureau Cafe de Raayberg,0748::SB22,4624 JH,1589,711,1,6,0,0,0,634,84,0,0,0,0,0,0,718,127,130,94,79,81,75,86,24,15
,Bergen op Zoom,GR2014_BergenopZoom,Gemeenteraad Bergen op Zoom 2014,0748,Bergen op Zoom,2014-03-19,Stembureau School de Kreek,0748::SB23,4617 NC,2087,1022,3,0,0,0,0,888,137,0,0,0,0,0,0,1025,159,123,232,86,159,115,86,37,25
,Bergen op Zoom,GR2014_BergenopZoom,Gemeenteraad Bergen op Zoom 2014,0748,Bergen op Zoom,2014-03-19,Stembureau Residentie Aquacite,0748::SB24,4617 AX,1928,1001,5,3,0,0,0,893,116,0,0,0,0,0,0,1009,196,155,219,70,122,97,87,43,12
,Bergen op Zoom,GR2014_BergenopZoom,Gemeenteraad Bergen op Zoom 2014,0748,Bergen op Zoom,2014-03-19,Stembureau Wijkgebouw Bergse Plaat,0748::SB25,4617 LT,1877,1094,6,4,0,0,0,973,131,0,0,0,0,0,0,1104,276,116,191,84,135,120,126,35,11
,Bergen op Zoom,GR2014_BergenopZoom,Gemeenteraad Bergen op Zoom 2014,0748,Bergen op Zoom,2014-03-19,Stembureau Ontmoetingscentrum De Wittenhorst,0748::SB26,4661 JK,1147,700,2,0,0,0,0,619,83,0,0,0,0,0,0,702,58,348,61,28,41,60,61,33,10
,Bergen op Zoom,GR2014_BergenopZoom,Gemeenteraad Bergen op Zoom 2014,0748,Bergen op Zoom,2014-03-19,Stembureau Verzorgingstehuis St. Elisabeth,0748::SB27,4661 JG,1210,538,2,4,0,0,0,482,62,0,0,0,0,0,0,544,61,267,34,25,34,60,38,9,10
,Bergen op Zoom,GR2014_BergenopZoom,Gemeenteraad Bergen op Zoom 2014,0748,Bergen op Zoom,2014-03-19,Stembureau Fitnesscentrum Halsteren,0748::SB28,4661 TT,1211,532,1,2,0,0,0,515,20,0,0,0,0,0,0,535,65,234,73,27,34,38,39,16,6
,Bergen op Zoom,GR2014_BergenopZoom,Gemeenteraad Bergen op Zoom 2014,0748,Bergen op Zoom,2014-03-19,Stembureau School De Springplank,0748::SB29,4661 CJ,1899,1034,2,1,0,0,0,902,135,0,0,0,0,0,0,1037,93,597,67,49,50,93,63,13,9
,Bergen op Zoom,GR2014_BergenopZoom,Gemeenteraad Bergen op Zoom 2014,0748,Bergen op Zoom,2014-03-19,Stembureau Café Molenzicht,0748::SB30,4661 KP,1220,649,0,2,0,0,0,549,102,0,0,0,0,0,0,651,55,255,103,22,67,82,40,23,2
,Bergen op Zoom,GR2014_BergenopZoom,Gemeenteraad Bergen op Zoom 2014,0748,Bergen op Zoom,2014-03-19,Stembureau SKW 't Weike,0748::SB31,4664 BS,1592,802,3,2,0,0,0,707,100,0,0,0,0,0,0,807,45,531,40,14,25,79,49,6,13
,Bergen op Zoom,GR2014_BergenopZoom,Gemeenteraad Bergen op Zoom 2014,0748,Bergen op Zoom,2014-03-19,Stembureau de Sprenge,0748::SB32,4661 AA,419,194,1,3,0,0,0,182,16,0,0,0,0,0,0,198,22,25,14,31,28,24,20,18,12
,Bergen op Zoom,GR2014_BergenopZoom,Gemeenteraad Bergen op Zoom 2014,0748,Bergen op Zoom,2014-03-19,Stembureau Brede School de Schans,0748::SB33,4661 TS,1281,750,6,0,0,0,0,673,83,0,0,0,0,0,0,756,109,271,127,28,85,57,35,28,10
,Bergen op Zoom,GR2014_BergenopZoom,Gemeenteraad Bergen op Zoom 2014,0748,Bergen op Zoom,2014-03-19,Stembureau Grand Cafe  de Kannebuis,0748::SB34,4661 LR,1695,1039,2,5,0,0,0,943,103,0,0,0,0,0,0,1046,92,440,98,46,130,105,61,48,19
