contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,ABB/Bernheze Solidair/OPG,CDA,Progressief Bernheze,SP (Socialistische Partij),VVD,Democraten 66 (D66),7
,Bernheze,GR2014_Bernheze,Gemeenteraad Bernheze 2014,1721,Bernheze,2014-03-19,Stembureau Publiekshal gemeentehuis Bernheze,1721::SB1,5384 BZ,1509,961,1,0,0,0,0,871,91,0,0,0,0,0,0,962,189,168,140,195,78,178,13
,Bernheze,GR2014_Bernheze,Gemeenteraad Bernheze 2014,1721,Bernheze,2014-03-19,Stembureau Zorginstelling Heelwijk,1721::SB2,5384 CG,1862,960,2,1,0,0,0,863,100,0,0,0,0,0,0,963,163,177,105,240,100,169,6
,Bernheze,GR2014_Bernheze,Gemeenteraad Bernheze 2014,1721,Bernheze,2014-03-19,Stembureau Basisschool De Kiem,1721::SB3,5384 HL,1550,662,2,2,0,0,0,609,57,0,0,0,0,0,0,666,104,84,92,200,39,143,0
,Bernheze,GR2014_Bernheze,Gemeenteraad Bernheze 2014,1721,Bernheze,2014-03-19,Stembureau Sporthal 't Vijfeiken,1721::SB4,5384 ER,1230,630,1,0,0,0,0,568,63,0,0,0,0,0,0,631,113,83,95,153,53,123,10
,Bernheze,GR2014_Bernheze,Gemeenteraad Bernheze 2014,1721,Bernheze,2014-03-19,Stembureau Willibrordcentrum,1721::SB5,5473 AS,1218,747,7,0,0,0,0,696,58,0,0,0,0,0,0,754,52,141,59,134,28,113,220
,Bernheze,GR2014_Bernheze,Gemeenteraad Bernheze 2014,1721,Bernheze,2014-03-19,Stembureau Brandweerkazerne Heesch,1721::SB6,5384 NK,1122,641,1,0,0,0,0,568,74,0,0,0,0,0,0,642,132,135,104,105,63,98,4
,Bernheze,GR2014_Bernheze,Gemeenteraad Bernheze 2014,1721,Bernheze,2014-03-19,Stembureau Gemeenschapshuis De Wis,1721::SB7,5472 PD,1266,790,3,1,0,0,0,700,94,0,0,0,0,0,0,794,32,309,51,73,70,180,75
,Bernheze,GR2014_Bernheze,Gemeenteraad Bernheze 2014,1721,Bernheze,2014-03-19,Stembureau Cultureel centrum Nesterlé,1721::SB8,5388 HS,1555,834,1,0,0,0,0,749,86,0,0,0,0,0,0,835,373,142,52,102,30,116,19
,Bernheze,GR2014_Bernheze,Gemeenteraad Bernheze 2014,1721,Bernheze,2014-03-19,Stembureau Zorginstelling Laastede,1721::SB9,5388 HH,1527,716,2,3,0,0,0,633,88,0,0,0,0,0,0,721,295,159,44,120,25,69,4
,Bernheze,GR2014_Bernheze,Gemeenteraad Bernheze 2014,1721,Bernheze,2014-03-19,Stembureau Sporthal De Overbeek,1721::SB10,5388 EL,1634,884,0,1,0,0,0,776,109,0,0,0,0,0,0,885,419,123,46,132,60,96,8
,Bernheze,GR2014_Bernheze,Gemeenteraad Bernheze 2014,1721,Bernheze,2014-03-19,Stembureau Gemeenschapshuis De Stuik,1721::SB11,5476 KK,1545,891,3,0,0,0,0,760,134,0,0,0,0,0,0,894,36,449,88,73,42,82,121
,Bernheze,GR2014_Bernheze,Gemeenteraad Bernheze 2014,1721,Bernheze,2014-03-19,Stembureau Cultureel centrum Servaes,1721::SB12,5473 GC,1493,870,2,0,0,0,0,775,97,0,0,0,0,0,0,872,58,125,69,137,23,111,347
,Bernheze,GR2014_Bernheze,Gemeenteraad Bernheze 2014,1721,Bernheze,2014-03-19,Stembureau Basisschool 't Palet,1721::SB13,5473 RN,1504,826,0,4,0,0,0,732,98,0,0,0,0,0,0,830,58,159,74,117,27,122,269
,Bernheze,GR2014_Bernheze,Gemeenteraad Bernheze 2014,1721,Bernheze,2014-03-19,Stembureau Zorginstelling Bernezorg,1721::SB14,5473 CJ,1473,794,1,0,0,0,0,717,78,0,0,0,0,0,0,795,60,157,83,131,40,108,215
,Bernheze,GR2014_Bernheze,Gemeenteraad Bernheze 2014,1721,Bernheze,2014-03-19,Stembureau Restaurant De Waard,1721::SB15,5384 KA,1257,566,1,2,0,0,0,495,74,0,0,0,0,0,0,569,101,133,83,100,49,89,11
,Bernheze,GR2014_Bernheze,Gemeenteraad Bernheze 2014,1721,Bernheze,2014-03-19,Stembureau Zalencentrum 't Tunneke,1721::SB16,5384 ME,1278,464,1,1,0,0,0,413,53,0,0,0,0,0,0,466,108,104,43,67,49,91,2
