contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,GroenLinks,CDA,Democraten Beverwijk,Democraten 66 (D66),Gemeentebelangen Beverwijk
,Beverwijk,GR2014_Beverwijk,Gemeenteraad Beverwijk 2014,0375,Beverwijk,2014-03-19,Stembureau RKB De Wilgeroos,0375::SB1,,1778,641,2,4,0,0,0,594,53,0,0,0,0,0,0,647,119,43,119,64,66,117,113
,Beverwijk,GR2014_Beverwijk,Gemeenteraad Beverwijk 2014,0375,Beverwijk,2014-03-19,Stembureau Buurthuis Wijk aan Duin,0375::SB2,,1671,619,2,4,0,0,0,570,55,0,0,0,0,0,0,625,141,53,113,61,41,118,92
,Beverwijk,GR2014_Beverwijk,Gemeenteraad Beverwijk 2014,0375,Beverwijk,2014-03-19,Stembureau Brandweerpost West,0375::SB3,,1568,850,6,2,0,0,0,794,64,0,0,0,0,0,0,858,105,100,97,112,147,173,116
,Beverwijk,GR2014_Beverwijk,Gemeenteraad Beverwijk 2014,0375,Beverwijk,2014-03-19,Stembureau Montessorischool,0375::SB4,,1258,722,2,1,0,0,0,659,66,0,0,0,0,0,0,725,54,155,101,101,54,198,59
,Beverwijk,GR2014_Beverwijk,Gemeenteraad Beverwijk 2014,0375,Beverwijk,2014-03-19,Stembureau Paviljoen Westerhout,0375::SB5,,1475,847,2,4,0,0,0,780,73,0,0,0,0,0,0,853,79,191,124,104,60,211,78
,Beverwijk,GR2014_Beverwijk,Gemeenteraad Beverwijk 2014,0375,Beverwijk,2014-03-19,Stembureau Bethelschool,0375::SB6,,1437,707,3,3,0,0,0,645,68,0,0,0,0,0,0,713,94,93,145,71,51,190,63
,Beverwijk,GR2014_Beverwijk,Gemeenteraad Beverwijk 2014,0375,Beverwijk,2014-03-19,Stembureau,0375::SB7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Beverwijk,GR2014_Beverwijk,Gemeenteraad Beverwijk 2014,0375,Beverwijk,2014-03-19,Stembureau Nieuw Akerendam,0375::SB8,,1500,754,2,1,0,0,0,688,70,0,1,0,1,0,0,758,69,227,75,80,60,190,53
,Beverwijk,GR2014_Beverwijk,Gemeenteraad Beverwijk 2014,0375,Beverwijk,2014-03-19,Stembureau SIG,0375::SB9,,1512,496,1,2,0,0,0,452,47,0,0,0,0,0,0,499,75,56,68,54,41,62,140
,Beverwijk,GR2014_Beverwijk,Gemeenteraad Beverwijk 2014,0375,Beverwijk,2014-03-19,Stembureau Socius,0375::SB10,,1614,574,5,2,0,0,0,531,49,0,1,1,0,0,0,580,68,69,120,30,69,90,128
,Beverwijk,GR2014_Beverwijk,Gemeenteraad Beverwijk 2014,0375,Beverwijk,2014-03-19,Stembureau Kennemer College,0375::SB11,,1613,771,2,7,0,0,0,728,52,0,0,0,0,0,0,780,115,72,113,124,105,127,115
,Beverwijk,GR2014_Beverwijk,Gemeenteraad Beverwijk 2014,0375,Beverwijk,2014-03-19,Stembureau Huis ter Wijck,0375::SB12,,1674,574,2,3,0,0,0,531,48,0,0,0,0,0,0,579,101,67,84,87,47,90,98
,Beverwijk,GR2014_Beverwijk,Gemeenteraad Beverwijk 2014,0375,Beverwijk,2014-03-19,Stembureau Immanuëlkerk,0375::SB13,,1295,366,4,2,0,0,0,336,36,0,0,0,0,0,0,372,75,43,53,31,38,61,65
,Beverwijk,GR2014_Beverwijk,Gemeenteraad Beverwijk 2014,0375,Beverwijk,2014-03-19,"Stembureau SWB ""De Grote Beer""",0375::SB14,,1408,639,5,5,0,0,0,569,80,0,0,0,0,0,0,649,144,76,89,101,46,98,85
,Beverwijk,GR2014_Beverwijk,Gemeenteraad Beverwijk 2014,0375,Beverwijk,2014-03-19,Stembureau Amstelstaete,0375::SB15,,1524,442,4,0,0,0,0,417,29,0,0,0,0,0,0,446,80,60,66,43,33,62,98
,Beverwijk,GR2014_Beverwijk,Gemeenteraad Beverwijk 2014,0375,Beverwijk,2014-03-19,Stembureau OBS 't Kompas,0375::SB16,,1588,620,4,3,0,0,0,571,56,0,0,0,0,0,0,627,99,50,100,73,83,103,112
,Beverwijk,GR2014_Beverwijk,Gemeenteraad Beverwijk 2014,0375,Beverwijk,2014-03-19,Stembureau Brandweerkazerne,0375::SB17,,1867,847,2,9,0,0,0,724,134,0,0,0,0,0,0,858,134,153,119,68,94,145,134
,Beverwijk,GR2014_Beverwijk,Gemeenteraad Beverwijk 2014,0375,Beverwijk,2014-03-19,Stembureau Verenigde Doopsgez. gem.,0375::SB18,,1274,443,5,1,0,0,0,389,60,0,0,0,0,0,0,449,80,90,38,49,44,68,74
,Beverwijk,GR2014_Beverwijk,Gemeenteraad Beverwijk 2014,0375,Beverwijk,2014-03-19,Stembureau OBS De Zeester,0375::SB19,,1832,815,5,6,0,0,0,701,125,0,0,0,0,0,0,826,97,231,85,54,76,215,57
,Beverwijk,GR2014_Beverwijk,Gemeenteraad Beverwijk 2014,0375,Beverwijk,2014-03-19,Stembureau BS Panta Rhei,0375::SB20,,1861,568,4,1,0,0,0,510,63,0,0,0,0,0,0,573,65,146,54,45,44,160,54
