contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,GEMEENTEBELANGEN 1990,CDA,Partij van de Arbeid (P.v.d.A.),VVD,Democraten 66 (D66),SP (Socialistische Partij),GROENLINKS,Borne-Nu
,Borne,GR2014_Borne,Gemeenteraad Borne 2014,0147,Borne,2014-03-19,Stembureau Gemeentehuis,0147::SB1,7622 DG,1469,1007,1,4,0,0,0,933,79,0,0,0,0,0,0,1012,175,185,101,107,74,213,36,116
,Borne,GR2014_Borne,Gemeenteraad Borne 2014,0147,Borne,2014-03-19,Stembureau Basisschool Zeppelin,0147::SB2,7622 HB,1476,756,2,1,0,0,0,688,71,0,0,0,0,0,0,759,153,162,71,41,50,143,36,100
,Borne,GR2014_Borne,Gemeenteraad Borne 2014,0147,Borne,2014-03-19,Stembureau De Wiekslag,0147::SB3,7621 EK,941,556,0,0,0,0,0,519,37,0,0,0,0,0,0,556,92,76,62,30,55,114,36,91
,Borne,GR2014_Borne,Gemeenteraad Borne 2014,0147,Borne,2014-03-19,Stembureau Wijkgebouw De Letterbak,0147::SB4,7621 CV,1569,836,1,5,0,0,0,765,77,0,0,0,0,0,0,842,122,132,73,74,141,117,35,142
,Borne,GR2014_Borne,Gemeenteraad Borne 2014,0147,Borne,2014-03-19,Stembureau Basisschool 't Oldhof,0147::SB5,7621 XJ,1274,792,2,3,0,0,0,717,80,0,0,0,0,0,0,797,153,174,77,73,57,79,38,141
,Borne,GR2014_Borne,Gemeenteraad Borne 2014,0147,Borne,2014-03-19,Stembureau Brandweerkazerne,0147::SB6,7622 BM,1277,585,1,2,0,0,0,540,48,0,0,0,0,0,0,588,96,93,50,64,31,65,18,168
,Borne,GR2014_Borne,Gemeenteraad Borne 2014,0147,Borne,2014-03-19,Stembureau Het Dijkhuis,0147::SB7,7622 CM,1437,872,1,3,0,0,0,809,67,0,0,0,0,0,0,876,199,197,102,95,65,82,38,94
,Borne,GR2014_Borne,Gemeenteraad Borne 2014,0147,Borne,2014-03-19,Stembureau Basisschool 't Iemnschelf,0147::SB8,7623 DR,1393,772,4,5,0,0,0,725,56,0,0,0,0,0,0,781,139,151,76,77,83,92,37,117
,Borne,GR2014_Borne,Gemeenteraad Borne 2014,0147,Borne,2014-03-19,Stembureau MFA Sindron,0147::SB9,7625 PH,1123,687,1,0,0,0,0,619,69,0,0,0,0,0,0,688,70,377,23,73,27,41,13,63
,Borne,GR2014_Borne,Gemeenteraad Borne 2014,0147,Borne,2014-03-19,Stembureau Basisschool De Vonder,0147::SB10,7623 AJ,1348,680,2,1,0,0,0,601,82,0,0,0,0,0,0,683,203,106,33,119,81,43,15,80
,Borne,GR2014_Borne,Gemeenteraad Borne 2014,0147,Borne,2014-03-19,Stembureau Basisschool St. Aegidius,0147::SB11,7626 LW,383,276,0,0,0,0,0,241,35,0,0,0,0,0,0,276,61,126,3,34,7,7,3,35
,Borne,GR2014_Borne,Gemeenteraad Borne 2014,0147,Borne,2014-03-19,Stembureau Gemeenschapsruimte,0147::SB12,7623 HD,1585,950,0,0,0,0,0,873,77,0,0,0,0,0,0,950,151,181,93,112,131,123,46,113
,Borne,GR2014_Borne,Gemeenteraad Borne 2014,0147,Borne,2014-03-19,Stembureau Basisschool De Zonnebloem,0147::SB13,7621 GL,980,363,2,2,0,0,0,339,28,0,0,0,0,0,0,367,63,63,36,17,29,71,23,61
,Borne,GR2014_Borne,Gemeenteraad Borne 2014,0147,Borne,2014-03-19,Stembureau Carint Parallelweg,0147::SB14,7622 NB,808,601,3,0,0,0,0,560,44,0,0,0,0,0,0,604,120,150,62,47,53,66,25,78
