contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Echte Lokale Aandacht Nu (ELAN),Partij van de Arbeid (P.v.d.A.),CDA,Cranendonck Actief!,VVD
,Cranendonck,GR2014_Cranendonck,Gemeenteraad Cranendonck 2014,1706,Cranendonck,2014-03-19,Stembureau Gemeenschapshuis de Borgh,1706::SB1,6021 CK,1478,734,4,3,0,0,0,656,85,0,0,0,0,0,0,741,155,106,194,199,80
,Cranendonck,GR2014_Cranendonck,Gemeenteraad Cranendonck 2014,1706,Cranendonck,2014-03-19,Stembureau zaal Bellevue,1706::SB2,6021 CN,1573,765,12,1,0,0,0,688,90,0,0,0,0,0,0,778,208,78,166,222,91
,Cranendonck,GR2014_Cranendonck,Gemeenteraad Cranendonck 2014,1706,Cranendonck,2014-03-19,Stembureau Basisschool de Triolier,1706::SB3,6021 KB,1423,688,9,1,0,0,0,620,77,0,0,1,0,0,0,697,158,123,134,167,106
,Cranendonck,GR2014_Cranendonck,Gemeenteraad Cranendonck 2014,1706,Cranendonck,2014-03-19,Stembureau Zorgcentrum Mariënburght,1706::SB4,6021 XL,1449,819,7,6,0,0,0,742,90,0,0,0,0,0,0,832,219,112,192,243,53
,Cranendonck,GR2014_Cranendonck,Gemeenteraad Cranendonck 2014,1706,Cranendonck,2014-03-19,Stembureau Gemeenschapshuis Den Donck,1706::SB5,6027 PL,1428,877,4,3,0,0,0,774,110,0,0,0,0,0,0,884,222,34,267,319,35
,Cranendonck,GR2014_Cranendonck,Gemeenteraad Cranendonck 2014,1706,Cranendonck,2014-03-19,Stembureau Gemeenschapshuis De Reinder,1706::SB6,6023 AR,1669,858,8,1,0,0,0,783,84,0,0,0,0,0,0,867,512,43,146,125,32
,Cranendonck,GR2014_Cranendonck,Gemeenteraad Cranendonck 2014,1706,Cranendonck,2014-03-19,Stembureau Gemeenschapshuis De Schakel,1706::SB7,6024 AR,1190,504,6,0,0,0,0,456,54,0,0,0,0,0,0,510,175,44,39,218,28
,Cranendonck,GR2014_Cranendonck,Gemeenteraad Cranendonck 2014,1706,Cranendonck,2014-03-19,Stembureau De Smeltkroes SB8,1706::SB8,6026 ER,1480,877,5,2,0,0,0,770,114,0,0,0,0,0,0,884,90,218,162,245,162
,Cranendonck,GR2014_Cranendonck,Gemeenteraad Cranendonck 2014,1706,Cranendonck,2014-03-19,Stembureau Zorgcentrum Marishof,1706::SB9,6026 BA,1404,906,5,4,0,0,0,835,80,0,0,0,0,0,0,915,116,203,152,335,100
,Cranendonck,GR2014_Cranendonck,Gemeenteraad Cranendonck 2014,1706,Cranendonck,2014-03-19,Stembureau Gemeenschapshuis De Schaapskooi,1706::SB10,6028 SG,570,384,3,5,0,0,0,340,52,0,0,0,0,0,0,392,255,12,40,64,13
,Cranendonck,GR2014_Cranendonck,Gemeenteraad Cranendonck 2014,1706,Cranendonck,2014-03-19,Stembureau Juniorcollege,1706::SB11,6021 BP,1431,588,9,1,0,0,0,527,71,0,0,0,0,0,0,598,191,73,105,161,58
,Cranendonck,GR2014_Cranendonck,Gemeenteraad Cranendonck 2014,1706,Cranendonck,2014-03-19,Stembureau De Smeltkroes SB12,1706::SB12,6026 ER,1313,453,2,0,0,0,0,406,49,0,0,0,0,0,0,455,55,107,67,126,98
