contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Gemeentebelangen De Wolden,VVD,CDA,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),GROENLINKS,ChristenUnie,DaadKrachtigNederland
,De Wolden,GR2014_DeWolden,Gemeenteraad De Wolden 2014,1690,De Wolden,2014-03-19,Stembureau Gemeentehuis Zuidwolde,1690::SB1,7921 GD,1362,973,1,1,0,0,0,864,111,0,0,0,0,0,0,975,340,175,132,81,81,61,95,8
,De Wolden,GR2014_DeWolden,Gemeenteraad De Wolden 2014,1690,De Wolden,2014-03-19,Stembureau Ontmoetingscentrum De Boerhoorn,1690::SB2,7921 GB,1025,741,0,5,0,0,0,693,54,0,0,0,1,0,0,747,306,90,131,56,38,43,72,5
,De Wolden,GR2014_DeWolden,Gemeenteraad De Wolden 2014,1690,De Wolden,2014-03-19,Stembureau Zorgcentrum Tonckenshuys,1690::SB3,7921 VR,1476,812,4,2,0,1,0,755,64,0,0,0,1,0,0,819,254,116,137,74,63,61,106,1
,De Wolden,GR2014_DeWolden,Gemeenteraad De Wolden 2014,1690,De Wolden,2014-03-19,Stembureau Dorpshuis 't Markehuus,1690::SB4,7924 PP,457,314,0,1,0,0,0,288,27,0,0,0,0,0,0,315,117,87,22,24,25,24,12,3
,De Wolden,GR2014_DeWolden,Gemeenteraad De Wolden 2014,1690,De Wolden,2014-03-19,Stembureau Dorpshuis Buddingehof,1690::SB5,7961 AM,1030,757,0,0,0,0,0,686,71,0,0,0,0,0,0,757,324,142,87,76,53,25,41,9
,De Wolden,GR2014_DeWolden,Gemeenteraad De Wolden 2014,1690,De Wolden,2014-03-19,Stembureau Dorpshuis De Kolonie,1690::SB6,7961 NH,704,543,0,3,0,0,0,501,45,0,0,0,0,0,0,546,179,118,81,40,31,48,44,2
,De Wolden,GR2014_DeWolden,Gemeenteraad De Wolden 2014,1690,De Wolden,2014-03-19,Stembureau Streekcentrum De Snikke,1690::SB7,7924 RD,540,343,2,0,0,0,0,327,18,0,0,0,0,0,0,345,142,67,40,17,26,34,14,3
,De Wolden,GR2014_DeWolden,Gemeenteraad De Wolden 2014,1690,De Wolden,2014-03-19,Stembureau Dorpshuis Linde,1690::SB8,7625 PB,441,255,2,0,0,0,0,233,24,0,0,0,0,0,0,257,92,43,51,10,32,9,17,1
,De Wolden,GR2014_DeWolden,Gemeenteraad De Wolden 2014,1690,De Wolden,2014-03-19,Stembureau Dorpshuis 't Drogterhuus,1690::SB9,7705 PH,421,225,0,1,0,0,0,199,27,0,0,0,0,0,0,226,94,17,48,10,24,8,20,4
,De Wolden,GR2014_DeWolden,Gemeenteraad De Wolden 2014,1690,De Wolden,2014-03-19,Stembureau Zorgcentrum De Priensenije,1690::SB10,7963 BA,1441,796,4,3,0,1,0,738,66,0,0,0,1,0,0,804,257,196,70,110,68,53,28,14
,De Wolden,GR2014_DeWolden,Gemeenteraad De Wolden 2014,1690,De Wolden,2014-03-19,Stembureau Ontmoetingscentrum De Tump,1690::SB11,7963 BX,1283,878,1,5,0,0,0,814,70,0,0,0,0,0,0,884,359,220,85,85,71,35,10,13
,De Wolden,GR2014_DeWolden,Gemeenteraad De Wolden 2014,1690,De Wolden,2014-03-19,Stembureau Dorpshuis Bastogne,1690::SB12,7964 KK,449,312,0,1,0,0,0,289,24,0,0,0,0,0,0,313,52,95,25,29,22,64,10,15
,De Wolden,GR2014_DeWolden,Gemeenteraad De Wolden 2014,1690,De Wolden,2014-03-19,Stembureau Dorpshuis De Schakel,1690::SB13,7958 SB,1480,950,1,2,0,0,0,872,81,0,0,0,0,0,0,953,376,93,230,53,32,54,65,47
,De Wolden,GR2014_DeWolden,Gemeenteraad De Wolden 2014,1690,De Wolden,2014-03-19,Stembureau Welzijncentrum Havezate,1690::SB14,7957 AC,1105,781,2,1,0,0,0,704,80,0,0,0,0,0,0,784,325,141,41,72,89,65,22,26
,De Wolden,GR2014_DeWolden,Gemeenteraad De Wolden 2014,1690,De Wolden,2014-03-19,Stembureau Zorgcentrum Dunninghe,1690::SB15,7957 EA,1110,636,3,3,0,0,0,582,60,0,0,0,0,0,0,642,241,124,53,56,93,32,22,15
,De Wolden,GR2014_DeWolden,Gemeenteraad De Wolden 2014,1690,De Wolden,2014-03-19,Stembureau Dorpshuis D' Olde Karke,1690::SB16,7932 PP,305,240,3,0,0,0,0,226,17,0,0,0,0,0,0,243,99,59,22,4,7,19,29,1
,De Wolden,GR2014_DeWolden,Gemeenteraad De Wolden 2014,1690,De Wolden,2014-03-19,Stembureau Dorpshuis De Alke,1690::SB17,7927 TC,1278,756,0,3,0,0,0,701,58,0,0,0,0,0,0,759,234,59,268,34,35,27,88,11
,De Wolden,GR2014_DeWolden,Gemeenteraad De Wolden 2014,1690,De Wolden,2014-03-19,Stembureau Zorgcentrum 't Vonder,1690::SB18,7961 AV,1205,633,0,3,0,1,0,596,43,0,2,0,3,0,0,639,296,87,93,66,33,26,25,7
,De Wolden,GR2014_DeWolden,Gemeenteraad De Wolden 2014,1690,De Wolden,2014-03-19,Stembureau Dorpshuis De Veldhoek,1690::SB19,7958 RC,485,272,1,0,0,0,0,246,27,0,0,0,0,0,0,273,133,24,44,18,21,18,9,5
,De Wolden,GR2014_DeWolden,Gemeenteraad De Wolden 2014,1690,De Wolden,2014-03-19,Stembureau De Ontmoetingskerk,1690::SB20,7921 AH,1057,593,1,3,0,0,0,555,42,0,0,0,0,0,0,597,197,70,129,34,35,43,84,1
