contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),CDA,VVD,GROENLINKS,SP (Socialistische Partij),Democraten 66 (D66),SGP/ChristenUnie,Partij voor Lokaal Maatwerk (PvLM),Gemeentebelangen Doetinchem
,Doetinchem,GR2014_Doetinchem,Gemeenteraad Doetinchem 2014,0222,Doetinchem,2014-03-19,"Stembureau Stadhuis, Raadhuisstraat",0222::SB1,7001EW,1200,856,5,1,0,0,0,779,83,0,0,0,0,0,0,862,139,169,148,62,102,105,28,32,71
,Doetinchem,GR2014_Doetinchem,Gemeenteraad Doetinchem 2014,0222,Doetinchem,2014-03-19,Stembureau Montessorischool De Pas,0222::SB2,7001GL,1180,757,4,1,0,0,0,685,77,0,0,0,0,0,0,762,123,151,120,64,82,124,18,22,53
,Doetinchem,GR2014_Doetinchem,Gemeenteraad Doetinchem 2014,0222,Doetinchem,2014-03-19,Stembureau Ontmoetingscentrum De Daele,0222::SB3,7002HC,1745,979,2,3,0,2,0,915,69,0,0,2,0,0,0,984,153,196,108,74,157,110,66,40,75
,Doetinchem,GR2014_Doetinchem,Gemeenteraad Doetinchem 2014,0222,Doetinchem,2014-03-19,Stembureau Trefcentrum Het Trommelslag,0222::SB4,7002AZ,1761,756,8,3,0,1,0,714,54,0,0,0,0,0,0,768,158,114,71,51,153,52,54,25,78
,Doetinchem,GR2014_Doetinchem,Gemeenteraad Doetinchem 2014,0222,Doetinchem,2014-03-19,Stembureau OBS Overstegen,0222::SB5,7002KA,1351,623,2,3,0,0,0,585,43,0,0,0,0,0,0,628,145,92,35,40,154,42,25,21,69
,Doetinchem,GR2014_Doetinchem,Gemeenteraad Doetinchem 2014,0222,Doetinchem,2014-03-19,Stembureau Clubhuis speeltuinver Schoneveld,0222::SB6,7003BK,1490,769,2,5,0,0,0,700,76,0,0,0,0,0,0,776,189,93,67,92,129,67,41,24,67
,Doetinchem,GR2014_Doetinchem,Gemeenteraad Doetinchem 2014,0222,Doetinchem,2014-03-19,Stembureau Woonzorgcentrum Schavenweide,0222::SB7,7003EB,1301,658,2,1,0,0,0,590,71,0,0,0,0,0,0,661,100,151,68,60,90,85,43,23,38
,Doetinchem,GR2014_Doetinchem,Gemeenteraad Doetinchem 2014,0222,Doetinchem,2014-03-19,"Stembureau Gebuw Zozijn, Oude Terborgseweg",0222::SB8,7004KA,1247,508,1,0,0,0,0,461,48,0,0,0,0,0,0,509,68,100,109,72,47,56,12,20,24
,Doetinchem,GR2014_Doetinchem,Gemeenteraad Doetinchem 2014,0222,Doetinchem,2014-03-19,Stembureau MFA De Zonneboom,0222::SB9,7004EL,1314,735,3,2,0,1,0,686,55,0,0,0,735,0,0,741,136,107,88,89,84,88,36,26,81
,Doetinchem,GR2014_Doetinchem,Gemeenteraad Doetinchem 2014,0222,Doetinchem,2014-03-19,Stembureau Basisschool IJzevoorde,0222::SB10,7004HT,598,414,0,1,0,0,0,376,39,0,0,0,0,0,0,415,31,130,115,17,26,42,31,10,12
,Doetinchem,GR2014_Doetinchem,Gemeenteraad Doetinchem 2014,0222,Doetinchem,2014-03-19,Stembureau Verzorgingshuis Het Weerdje,0222::SB11,7006BG,889,577,0,0,0,1,0,539,39,0,0,0,0,0,0,578,101,127,71,30,77,81,14,44,32
,Doetinchem,GR2014_Doetinchem,Gemeenteraad Doetinchem 2014,0222,Doetinchem,2014-03-19,Stembureau Buurthuis Fort Garryhorse,0222::SB12,7007BK,835,389,1,1,0,0,0,363,28,0,0,0,0,0,0,391,77,46,34,22,83,37,17,40,33
,Doetinchem,GR2014_Doetinchem,Gemeenteraad Doetinchem 2014,0222,Doetinchem,2014-03-19,Stembureau Verpleeghuis Den Ooiman,0222::SB13,7009AM,1352,708,1,1,0,0,0,636,74,0,0,0,0,0,0,710,92,122,164,60,58,81,45,33,53
,Doetinchem,GR2014_Doetinchem,Gemeenteraad Doetinchem 2014,0222,Doetinchem,2014-03-19,Stembureau OBS Hagen,0222::SB14,7009CZ,1256,690,4,0,0,0,0,627,67,0,0,0,0,0,0,694,150,89,85,60,96,74,58,40,38
,Doetinchem,GR2014_Doetinchem,Gemeenteraad Doetinchem 2014,0222,Doetinchem,2014-03-19,Stembureau Basisschool Het Palet,0222::SB15,7009GR,1635,528,0,1,0,0,0,471,58,0,0,0,0,0,0,529,195,38,26,34,118,36,16,23,42
,Doetinchem,GR2014_Doetinchem,Gemeenteraad Doetinchem 2014,0222,Doetinchem,2014-03-19,Stembureau Basisschool De Wijngaard,0222::SB16,7009DZ,1698,978,0,0,0,0,0,896,82,0,0,0,0,0,0,978,162,117,102,86,122,87,204,42,56
,Doetinchem,GR2014_Doetinchem,Gemeenteraad Doetinchem 2014,0222,Doetinchem,2014-03-19,"Stembureau Sint Martinusschool, Hoofdstraat 115",0222::SB17,7011AD,1192,658,2,0,0,0,0,597,63,0,0,0,0,0,0,660,56,240,121,47,80,53,7,28,26
,Doetinchem,GR2014_Doetinchem,Gemeenteraad Doetinchem 2014,0222,Doetinchem,2014-03-19,Stembureau Sporthal De Pol,0222::SB18,7011BJ,1060,570,0,0,0,0,0,521,49,0,0,0,0,0,0,570,72,199,52,40,116,42,2,29,18
,Doetinchem,GR2014_Doetinchem,Gemeenteraad Doetinchem 2014,0222,Doetinchem,2014-03-19,"Stembureau Ontmoetingscentrum St Augustinus, van Dastraat",0222::SB19,7011GB,1178,596,1,1,0,0,0,554,44,0,0,0,0,0,0,598,60,216,68,31,92,45,7,47,30
,Doetinchem,GR2014_Doetinchem,Gemeenteraad Doetinchem 2014,0222,Doetinchem,2014-03-19,"Stembureau Woonzorgcomplex, Ontwikkelstraat,Pelgrimterrein",0222::SB20,7011ML,985,621,0,1,0,0,0,575,47,0,0,0,0,0,0,622,64,234,76,21,103,44,12,39,28
,Doetinchem,GR2014_Doetinchem,Gemeenteraad Doetinchem 2014,0222,Doetinchem,2014-03-19,Stembureau Openbare basisschool De Huet,0222::SB21,7006DG,1146,665,0,1,0,0,0,598,68,0,0,0,0,0,0,666,129,102,70,50,109,107,20,24,54
,Doetinchem,GR2014_Doetinchem,Gemeenteraad Doetinchem 2014,0222,Doetinchem,2014-03-19,"Stembureau Gezondheidscentrum De Huet, Slotlaan",0222::SB22,7006HG,1152,601,2,2,0,0,0,556,49,0,0,0,0,0,0,605,92,80,57,57,106,88,28,38,55
,Doetinchem,GR2014_Doetinchem,Gemeenteraad Doetinchem 2014,0222,Doetinchem,2014-03-19,Stembureau Basisschool De Wegwijzer (Venneslag) A,0222::SB23,7006SM,1716,848,1,4,0,0,0,776,77,0,0,0,0,0,0,853,153,130,103,60,149,90,30,41,92
,Doetinchem,GR2014_Doetinchem,Gemeenteraad Doetinchem 2014,0222,Doetinchem,2014-03-19,Stembureau Sporthal De Bongerd,0222::SB24,7006NH,1550,1040,0,3,0,0,0,985,58,0,0,0,0,0,0,1043,220,141,87,62,219,113,38,63,97
,Doetinchem,GR2014_Doetinchem,Gemeenteraad Doetinchem 2014,0222,Doetinchem,2014-03-19,Stembureau Basisschool De Wegwijzer (Venneslag) B,0222::SB25,7006SM,1672,689,1,2,0,0,0,637,55,0,0,0,0,0,0,692,113,114,85,50,108,86,19,37,77
,Doetinchem,GR2014_Doetinchem,Gemeenteraad Doetinchem 2014,0222,Doetinchem,2014-03-19,Stembureau Wijkcentrum De Zuwe,0222::SB26,7006AH,1359,672,1,2,0,0,0,614,61,0,0,0,0,0,0,675,117,117,79,36,107,87,17,30,82
,Doetinchem,GR2014_Doetinchem,Gemeenteraad Doetinchem 2014,0222,Doetinchem,2014-03-19,"Stembureau Kunstgalerie Het Web, De Veentjes",0222::SB27,7001DL,1892,771,4,5,0,0,0,727,53,0,0,0,0,0,0,780,216,91,77,31,156,83,29,38,50
,Doetinchem,GR2014_Doetinchem,Gemeenteraad Doetinchem 2014,0222,Doetinchem,2014-03-19,"Stembureau Basisschool Dichterbij, Willy Brandtplein 6",0222::SB28,7007LA,1545,906,0,2,0,0,0,803,105,0,0,0,0,0,0,908,185,112,167,49,142,91,21,27,112
,Doetinchem,GR2014_Doetinchem,Gemeenteraad Doetinchem 2014,0222,Doetinchem,2014-03-19,Stembureau Appartementencomplex Waterrijk,0222::SB29,7007LB,1873,1001,1,1,0,0,0,955,48,0,0,0,0,0,0,1003,178,161,144,67,134,109,34,36,138
,Doetinchem,GR2014_Doetinchem,Gemeenteraad Doetinchem 2014,0222,Doetinchem,2014-03-19,Stembureau Woonzorgcomplex Oldershove,0222::SB30,7031VE,1637,962,3,2,0,0,0,894,73,0,0,0,0,0,0,967,65,354,103,77,96,30,11,209,17
,Doetinchem,GR2014_Doetinchem,Gemeenteraad Doetinchem 2014,0222,Doetinchem,2014-03-19,Stembureau Verenigingsgebouw Ons Huis,0222::SB31,7031AG,1515,847,0,0,0,0,0,751,96,0,0,0,0,0,0,847,61,321,67,57,100,27,8,192,14
,Doetinchem,GR2014_Doetinchem,Gemeenteraad Doetinchem 2014,0222,Doetinchem,2014-03-19,Stembureau Dorpsaccomodatie De Horst,0222::SB32,7031HJ,1135,518,0,0,0,1,0,461,56,0,0,0,517,0,0,517,28,313,51,8,33,18,0,60,7
,Doetinchem,GR2014_Doetinchem,Gemeenteraad Doetinchem 2014,0222,Doetinchem,2014-03-19,Stembureau Appartementencomplex Henricushove,0222::SB33,7031AR,1157,617,0,1,1,0,0,567,50,0,0,0,0,0,0,617,53,190,57,43,61,40,11,148,14
