contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,LIJST HARRY BAKKER,Combinatie Algemeen Belang,VVD,CDA,Partij van de Arbeid (P.v.d.A.),Groen Drimmelen (VP/D66),GROENLINKS
,Drimmelen,GR2014_Drimmelen,Gemeenteraad Drimmelen 2014,1719,Drimmelen,2014-03-19,Stembureau Gemeentehuis,1719::SB1,4921 BV,1641,930,3,2,0,0,0,816,119,0,0,0,0,0,0,935,253,97,224,87,67,154,48
,Drimmelen,GR2014_Drimmelen,Gemeenteraad Drimmelen 2014,1719,Drimmelen,2014-03-19,Stembureau Cultureel centrum De Mayboom,1719::SB2,4921 BB,1911,1141,3,2,0,0,0,1006,140,0,0,0,0,0,0,1146,262,150,296,130,91,168,44
,Drimmelen,GR2014_Drimmelen,Gemeenteraad Drimmelen 2014,1719,Drimmelen,2014-03-19,Stembureau Zorgcentrum De Wijngaerd,1719::SB3,4921 JC,1745,898,3,1,0,0,0,818,84,0,0,0,0,0,0,902,262,136,161,110,61,141,27
,Drimmelen,GR2014_Drimmelen,Gemeenteraad Drimmelen 2014,1719,Drimmelen,2014-03-19,Stembureau De Duinpan,1719::SB4,4921 EJ,1417,553,2,1,0,0,0,499,57,0,0,0,0,0,0,556,191,59,111,45,34,94,19
,Drimmelen,GR2014_Drimmelen,Gemeenteraad Drimmelen 2014,1719,Drimmelen,2014-03-19,Stembureau De Amerhal,1719::SB5,4921 EV,1597,764,0,1,0,0,0,685,80,0,0,0,0,0,0,765,259,94,143,68,53,106,41
,Drimmelen,GR2014_Drimmelen,Gemeenteraad Drimmelen 2014,1719,Drimmelen,2014-03-19,Stembureau Basisschool De Stuifhoek,1719::SB6,4921 EB,1200,479,5,0,0,0,0,422,62,0,0,0,0,0,0,484,139,42,93,48,38,92,27
,Drimmelen,GR2014_Drimmelen,Gemeenteraad Drimmelen 2014,1719,Drimmelen,2014-03-19,Stembureau Ons Dorpshuys,1719::SB7,4924 ER,519,313,0,2,0,0,0,267,48,0,0,0,0,0,0,315,82,30,54,56,11,72,8
,Drimmelen,GR2014_Drimmelen,Gemeenteraad Drimmelen 2014,1719,Drimmelen,2014-03-19,Stembureau Ontmoetingscentrum De Zonzeel,1719::SB8,4927 BD,1350,702,3,4,0,0,0,632,77,0,0,0,0,0,0,709,162,225,131,55,24,70,35
,Drimmelen,GR2014_Drimmelen,Gemeenteraad Drimmelen 2014,1719,Drimmelen,2014-03-19,Stembureau Verzorgingshuis De Ganshoek,1719::SB9,4926 BK,1704,949,2,2,0,0,0,844,109,0,0,0,0,0,0,953,144,446,108,94,37,60,60
,Drimmelen,GR2014_Drimmelen,Gemeenteraad Drimmelen 2014,1719,Drimmelen,2014-03-19,Stembureau Jeugdhuis Ons Belang,1719::SB10,4926 CV,1555,812,3,3,0,0,0,722,96,0,0,0,0,0,0,818,70,365,156,56,48,60,57
,Drimmelen,GR2014_Drimmelen,Gemeenteraad Drimmelen 2014,1719,Drimmelen,2014-03-19,Stembureau Gemeenschapshuis Plexat,1719::SB11,4845 ED,1721,985,0,2,0,0,0,887,100,0,0,0,0,0,0,987,381,235,83,87,68,107,24
,Drimmelen,GR2014_Drimmelen,Gemeenteraad Drimmelen 2014,1719,Drimmelen,2014-03-19,Stembureau De Cour,1719::SB12,4844 CR,1748,1090,0,3,0,0,0,1013,80,0,0,0,0,0,0,1093,757,18,70,64,42,102,37
,Drimmelen,GR2014_Drimmelen,Gemeenteraad Drimmelen 2014,1719,Drimmelen,2014-03-19,Stembureau Basisschool De Zeggewijzer,1719::SB13,4844 RD,1853,1039,0,0,0,0,0,955,84,0,0,0,0,0,0,1039,675,9,80,41,46,160,28
,Drimmelen,GR2014_Drimmelen,Gemeenteraad Drimmelen 2014,1719,Drimmelen,2014-03-19,Stembureau Basisschool De Windhoek,1719::SB14,4844 SL,1496,845,0,0,0,0,0,756,89,0,0,0,0,0,0,845,559,23,61,41,31,111,19
