contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),Gemeentebelangen Eemsmond,CDA,ChristenUnie,GROENLINKS,VVD,Democraten 66 (D66),SP (Socialistische Partij)
,Eemsmond,GR2014_Eemsmond,Gemeenteraad Eemsmond 2014,1651,Eemsmond,2014-03-19,Stembureau Gemeentehuis,1651::SB1,9981 AA,964,910,7,5,0,0,0,833,89,0,0,0,0,0,0,922,158,316,139,65,27,34,27,144
,Eemsmond,GR2014_Eemsmond,Gemeenteraad Eemsmond 2014,1651,Eemsmond,2014-03-19,Stembureau St. Vincentiusgebouw,1651::SB2,9981 AX,1125,497,1,0,0,0,0,458,40,0,0,0,0,0,0,498,78,157,74,63,18,20,15,72
,Eemsmond,GR2014_Eemsmond,Gemeenteraad Eemsmond 2014,1651,Eemsmond,2014-03-19,Stembureau Ability,1651::SB3,9981 GJ,1141,643,5,0,0,0,0,588,60,0,0,0,0,0,0,648,132,170,69,37,18,43,21,153
,Eemsmond,GR2014_Eemsmond,Gemeenteraad Eemsmond 2014,1651,Eemsmond,2014-03-19,Stembureau Verzorgingshuis Hunsingoheerd,1651::SB4,9981 CJ,1299,864,3,0,0,0,0,798,69,0,0,0,0,0,0,867,160,271,135,69,37,51,24,117
,Eemsmond,GR2014_Eemsmond,Gemeenteraad Eemsmond 2014,1651,Eemsmond,2014-03-19,Stembureau Bommelhoes,1651::SB5,9982 HE,850,597,4,1,0,0,0,546,56,0,0,0,0,0,0,602,32,159,175,133,6,39,13,40
,Eemsmond,GR2014_Eemsmond,Gemeenteraad Eemsmond 2014,1651,Eemsmond,2014-03-19,Stembureau Sporthal Scherphorn,1651::SB6,9982 BZ,978,557,8,5,0,0,0,506,64,0,0,0,0,0,0,570,37,169,100,129,12,21,13,76
,Eemsmond,GR2014_Eemsmond,Gemeenteraad Eemsmond 2014,1651,Eemsmond,2014-03-19,Stembureau Verzorgingshuis De Mieden,1651::SB7,9982 AB,821,533,3,0,0,0,0,487,49,0,0,0,0,0,0,536,49,142,113,94,22,46,24,43
,Eemsmond,GR2014_Eemsmond,Gemeenteraad Eemsmond 2014,1651,Eemsmond,2014-03-19,Stembureau Nieuw Calvaria,1651::SB8,9983 PE,883,551,4,4,0,0,0,499,60,0,0,0,0,0,0,559,31,135,135,153,5,12,18,62
,Eemsmond,GR2014_Eemsmond,Gemeenteraad Eemsmond 2014,1651,Eemsmond,2014-03-19,Stembureau Diggelschip,1651::SB9,9984 XD,310,157,3,2,0,0,0,150,12,0,0,0,0,0,0,162,9,47,22,10,11,21,4,33
,Eemsmond,GR2014_Eemsmond,Gemeenteraad Eemsmond 2014,1651,Eemsmond,2014-03-19,Stembureau 't Klokhoes,1651::SB10,9997 PB,566,360,1,1,0,0,0,331,31,0,0,0,0,0,0,362,50,122,38,22,24,31,19,54
,Eemsmond,GR2014_Eemsmond,Gemeenteraad Eemsmond 2014,1651,Eemsmond,2014-03-19,Stembureau 't Schienvat,1651::SB11,9995 PH,758,563,7,1,0,0,0,509,62,0,0,0,0,0,0,571,64,134,30,117,43,35,37,103
,Eemsmond,GR2014_Eemsmond,Gemeenteraad Eemsmond 2014,1651,Eemsmond,2014-03-19,Stembureau OBS Usquert,1651::SB12,9988 SC,1136,711,6,2,0,0,0,630,89,0,0,0,0,0,0,719,109,210,29,30,36,49,54,194
,Eemsmond,GR2014_Eemsmond,Gemeenteraad Eemsmond 2014,1651,Eemsmond,2014-03-19,Stembureau Pro Rege,1651::SB13,9989 AH,889,722,2,5,0,0,0,668,61,0,0,0,0,0,0,729,109,228,80,38,42,29,59,137
,Eemsmond,GR2014_Eemsmond,Gemeenteraad Eemsmond 2014,1651,Eemsmond,2014-03-19,Stembureau Op Roakeldaisgebouw,1651::SB14,9989 EL,940,504,3,0,0,0,51,456,0,0,0,0,0,0,0,507,65,179,42,14,29,38,34,103
