contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Partij van de Arbeid-GROENLINKS,Kernbeleid,VVD,Eersel Anders,Democraten 66 (D66)
,Eersel,GR2014_Eersel,Gemeenteraad Eersel 2014,0770,Eersel,2014-03-19,Stembureau Gemeentehuis 1,0770::SB1,5521 AW,1269,753,13,2,0,0,0,701,67,0,0,0,0,0,0,768,235,159,68,118,35,138
,Eersel,GR2014_Eersel,Gemeenteraad Eersel 2014,0770,Eersel,2014-03-19,Stembureau Sporthal De Kraanvogel,0770::SB2,5521 JN,1320,577,7,1,0,0,0,539,46,0,0,0,0,0,0,585,152,131,63,73,52,106
,Eersel,GR2014_Eersel,Gemeenteraad Eersel 2014,0770,Eersel,2014-03-19,Stembureau Dorpshuis De Smis,0770::SB3,5525 AN,1462,617,9,7,1,0,0,582,51,0,0,0,0,0,0,633,130,56,107,52,181,91
,Eersel,GR2014_Eersel,Gemeenteraad Eersel 2014,0770,Eersel,2014-03-19,Stembureau Gemeenschapshuis De Höllekes,0770::SB4,5524 AX,1219,634,2,3,0,0,0,590,49,0,0,0,0,0,0,639,165,127,115,69,110,48
,Eersel,GR2014_Eersel,Gemeenteraad Eersel 2014,0770,Eersel,2014-03-19,Stembureau Tenniscentrum Eersel,0770::SB5,5521 TP,1236,774,6,2,0,0,0,721,61,0,0,0,0,0,0,782,223,88,64,168,32,199
,Eersel,GR2014_Eersel,Gemeenteraad Eersel 2014,0770,Eersel,2014-03-19,Stembureau Stichting JAM,0770::SB6,5521 JK,1253,421,2,3,0,0,0,377,49,0,0,0,0,0,0,426,132,50,42,87,18,92
,Eersel,GR2014_Eersel,Gemeenteraad Eersel 2014,0770,Eersel,2014-03-19,Stembureau Gemeentehuis 2,0770::SB7,5521 AW,1386,901,3,2,0,0,0,811,95,0,0,0,0,0,0,906,285,204,93,116,46,157
,Eersel,GR2014_Eersel,Gemeenteraad Eersel 2014,0770,Eersel,2014-03-19,Stembureau Gemeenschapshuis D'n Boogerd,0770::SB8,5512 AJ,1728,959,9,3,0,0,0,878,93,0,0,0,0,0,0,971,281,42,44,61,378,153
,Eersel,GR2014_Eersel,Gemeenteraad Eersel 2014,0770,Eersel,2014-03-19,Stembureau Gemeenschapshuis De Rosdoek,0770::SB9,5513 AP,1494,912,7,1,0,0,0,833,88,0,0,0,1,0,0,921,422,27,41,54,345,23
,Eersel,GR2014_Eersel,Gemeenteraad Eersel 2014,0770,Eersel,2014-03-19,Stembureau Gemeenschapshuis De Leenhoef,0770::SB10,5511 AE,1030,619,7,2,0,0,0,580,48,0,0,0,0,0,0,628,118,76,67,48,271,39
,Eersel,GR2014_Eersel,Gemeenteraad Eersel 2014,0770,Eersel,2014-03-19,Stembureau Ontmoetingscentrum 't Stökske,0770::SB11,5521 WG,1244,548,2,2,1,0,0,505,48,0,0,0,1,0,0,553,184,87,69,88,24,96
