contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Algemeen Belang,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),CDA,Partij van de Arbeid (P.v.d.A.),Elburg Beleid,VVD,Gemeentebelang,Democraten 66 (D66)
,Elburg,GR2014_Elburg,Gemeenteraad Elburg 2014,0230,Elburg,2014-03-19,Stembureau Gemeentekantoor Oostendorp,0230::SB1,8081 LA,1548,1117,5,1,0,0,0,1006,117,0,0,0,0,0,0,1123,206,256,163,148,41,128,90,34,51
,Elburg,GR2014_Elburg,Gemeenteraad Elburg 2014,0230,Elburg,2014-03-19,Stembureau Het Nieuwe Feithenhof,0230::SB2,8081 BV,2088,1390,7,2,1,0,0,1242,158,0,0,0,1,0,0,1400,248,223,155,157,65,274,143,28,97
,Elburg,GR2014_Elburg,Gemeenteraad Elburg 2014,0230,Elburg,2014-03-19,Stembureau Gemeenschapscentrum 't Huiken,0230::SB3,8081 VS,1856,1239,4,3,0,0,0,1121,125,0,0,0,0,0,0,1246,276,245,93,164,74,164,126,25,72
,Elburg,GR2014_Elburg,Gemeenteraad Elburg 2014,0230,Elburg,2014-03-19,Stembureau Daltonschool De Vrijheid,0230::SB4,8081 JS,1719,1095,2,1,0,0,0,977,121,0,0,0,0,0,0,1098,153,269,86,109,87,174,126,37,54
,Elburg,GR2014_Elburg,Gemeenteraad Elburg 2014,0230,Elburg,2014-03-19,Stembureau Verpleeghuis De Voord,0230::SB5,8081 DL,1890,1270,0,2,0,0,0,1123,149,0,0,0,0,0,0,1272,214,342,95,140,69,180,119,31,80
,Elburg,GR2014_Elburg,Gemeenteraad Elburg 2014,0230,Elburg,2014-03-19,Stembureau Dorpshuis De Deel,0230::SB6,8085 AP,1824,1447,2,1,0,0,0,1280,170,0,0,0,0,0,0,1450,361,237,610,71,25,16,56,44,27
,Elburg,GR2014_Elburg,Gemeenteraad Elburg 2014,0230,Elburg,2014-03-19,Stembureau Dorpshuis Ons Huus,0230::SB7,8085 PE,1508,889,0,1,0,0,0,777,113,0,0,0,0,0,0,890,276,146,304,29,8,24,48,30,24
,Elburg,GR2014_Elburg,Gemeenteraad Elburg 2014,0230,Elburg,2014-03-19,Stembureau Maranathakerk,0230::SB8,8084 JB,1673,902,3,4,0,0,0,820,89,0,0,0,0,0,0,909,157,219,91,97,50,36,112,91,49
,Elburg,GR2014_Elburg,Gemeenteraad Elburg 2014,0230,Elburg,2014-03-19,Stembureau Zorgcentrum Mariposa,0230::SB9,8084 BV,1605,1173,2,0,0,0,0,1047,128,0,0,0,0,0,0,1175,183,239,117,133,102,69,164,80,86
,Elburg,GR2014_Elburg,Gemeenteraad Elburg 2014,0230,Elburg,2014-03-19,Stembureau M.F.C. Aperloo,0230::SB10,8084 PH,1552,1129,2,2,0,1,0,1025,109,0,0,0,1,0,0,1134,210,257,148,92,66,68,135,64,89
