contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,CDA,ChristenUnie - SGP,SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,Stadsbelang,Gorcum Actief,JEZUS LEEFT
,Gorinchem,GR2014_Gorinchem,Gemeenteraad Gorinchem 2014,0512,Gorinchem,2014-03-19,Stembureau Stadhuis,0512::SB1,,1782,1044,2,5,0,3,0,904,150,0,0,0,3,0,0,1054,166,165,67,69,118,132,88,143,85,11
,Gorinchem,GR2014_Gorinchem,Gemeenteraad Gorinchem 2014,0512,Gorinchem,2014-03-19,Stembureau Gorcums Museum,0512::SB2,,1312,860,7,1,0,3,0,784,81,0,0,3,0,0,0,865,112,128,81,44,97,115,73,137,60,13
,Gorinchem,GR2014_Gorinchem,Gemeenteraad Gorinchem 2014,0512,Gorinchem,2014-03-19,Stembureau Huize Steijndeld,0512::SB3,,892,417,3,2,0,0,0,390,32,0,0,0,0,0,0,422,66,49,23,25,56,53,41,71,31,2
,Gorinchem,GR2014_Gorinchem,Gemeenteraad Gorinchem 2014,0512,Gorinchem,2014-03-19,Stembureau Buurthuis De Aanlegsteiger,0512::SB4,,1337,754,7,0,0,0,0,663,98,0,0,0,0,0,0,761,123,97,31,41,117,96,87,116,45,1
,Gorinchem,GR2014_Gorinchem,Gemeenteraad Gorinchem 2014,0512,Gorinchem,2014-03-19,Stembureau Schoolgebouw A,0512::SB5,,1108,512,4,0,0,0,0,453,66,0,0,3,0,3,0,519,54,72,29,58,61,61,38,67,69,3
,Gorinchem,GR2014_Gorinchem,Gemeenteraad Gorinchem 2014,0512,Gorinchem,2014-03-19,Stembureau Schoolgebouw B,0512::SB6,,1010,586,2,2,0,0,0,517,73,0,0,0,0,0,0,590,61,79,39,73,72,78,44,72,65,3
,Gorinchem,GR2014_Gorinchem,Gemeenteraad Gorinchem 2014,0512,Gorinchem,2014-03-19,Stembureau Oosterbliek,0512::SB7,,1182,859,6,1,0,0,0,777,89,0,0,0,0,0,0,866,99,125,89,126,93,103,45,112,65,2
,Gorinchem,GR2014_Gorinchem,Gemeenteraad Gorinchem 2014,0512,Gorinchem,2014-03-19,Stembureau Schoolgebouw C,0512::SB8,,1403,663,5,4,0,0,0,576,96,0,0,0,0,0,0,672,84,95,64,72,85,82,34,99,43,5
,Gorinchem,GR2014_Gorinchem,Gemeenteraad Gorinchem 2014,0512,Gorinchem,2014-03-19,Stembureau Schoolgebouw D,0512::SB9,,1399,661,3,0,0,0,0,582,82,0,0,0,0,0,0,664,89,88,75,89,75,79,27,98,39,2
,Gorinchem,GR2014_Gorinchem,Gemeenteraad Gorinchem 2014,0512,Gorinchem,2014-03-19,"Stembureau Buurthuis ""West""",0512::SB10,,1163,571,2,2,0,0,0,505,70,0,0,0,0,0,0,575,95,57,62,69,100,58,18,70,37,5
,Gorinchem,GR2014_Gorinchem,Gemeenteraad Gorinchem 2014,0512,Gorinchem,2014-03-19,Stembureau Dorpshuis De Elzenhof,0512::SB11,,1593,926,3,4,0,0,0,790,143,0,0,0,0,0,0,933,55,277,92,100,72,111,45,76,92,6
,Gorinchem,GR2014_Gorinchem,Gemeenteraad Gorinchem 2014,0512,Gorinchem,2014-03-19,Stembureau Merewade College,0512::SB12,,834,374,1,0,0,0,0,328,47,0,0,0,0,0,0,375,91,48,32,25,60,40,10,37,27,4
