contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,SGP-ChristenUnie,CDA,VVD,Partij van de Arbeid (P.v.d.A.),Gemeente Belangen,Democraten 66 (D66),A.U.B. (Ambacht Uw Belang)
,Hendrik-Ido-Ambacht,GR2014_HendrikIdoAmbacht,Gemeenteraad Hendrik-Ido-Ambacht 2014,0531,Hendrik-Ido-Ambacht,2014-03-19,Stembureau Gemeentehuis,0531::SB1,3342 AE,1190,832,0,1,0,0,0,736,98,0,1,0,1,0,0,834,264,130,60,76,123,71,108
,Hendrik-Ido-Ambacht,GR2014_HendrikIdoAmbacht,Gemeenteraad Hendrik-Ido-Ambacht 2014,0531,Hendrik-Ido-Ambacht,2014-03-19,Stembureau Emmastaete,0531::SB2,3341 XD,1160,733,2,2,0,0,0,641,97,0,1,0,1,0,0,738,301,97,57,48,119,62,49
,Hendrik-Ido-Ambacht,GR2014_HendrikIdoAmbacht,Gemeenteraad Hendrik-Ido-Ambacht 2014,0531,Hendrik-Ido-Ambacht,2014-03-19,Stembureau De Bron,0531::SB3,3342 TA,1413,849,1,5,0,0,0,767,88,0,0,0,0,0,0,855,299,112,70,71,107,85,105
,Hendrik-Ido-Ambacht,GR2014_HendrikIdoAmbacht,Gemeenteraad Hendrik-Ido-Ambacht 2014,0531,Hendrik-Ido-Ambacht,2014-03-19,Stembureau Hervormd Jeugdcentrum Vijverhof,0531::SB4,3341 TS,1183,632,2,0,0,1,0,563,72,0,0,0,1,0,0,635,220,100,44,62,77,68,61
,Hendrik-Ido-Ambacht,GR2014_HendrikIdoAmbacht,Gemeenteraad Hendrik-Ido-Ambacht 2014,0531,Hendrik-Ido-Ambacht,2014-03-19,Stembureau Willem de Zwijgerschool,0531::SB5,3341 CE,1179,845,4,3,0,0,0,699,153,0,0,0,0,0,0,852,434,95,44,65,96,56,55
,Hendrik-Ido-Ambacht,GR2014_HendrikIdoAmbacht,Gemeenteraad Hendrik-Ido-Ambacht 2014,0531,Hendrik-Ido-Ambacht,2014-03-19,Stembureau Wielstaete,0531::SB6,3341 ST,1105,688,0,3,0,0,0,611,80,0,0,0,0,0,0,691,238,88,58,62,135,42,65
,Hendrik-Ido-Ambacht,GR2014_HendrikIdoAmbacht,Gemeenteraad Hendrik-Ido-Ambacht 2014,0531,Hendrik-Ido-Ambacht,2014-03-19,Stembureau De Open Hof,0531::SB7,3342 BS,1447,956,0,1,0,0,0,856,101,0,0,0,0,0,0,957,322,183,62,84,131,84,90
,Hendrik-Ido-Ambacht,GR2014_HendrikIdoAmbacht,Gemeenteraad Hendrik-Ido-Ambacht 2014,0531,Hendrik-Ido-Ambacht,2014-03-19,Stembureau OBS De Bron,0531::SB8,3343 CB,1362,805,2,5,0,0,0,736,76,0,0,0,0,0,0,812,114,78,69,129,153,111,151
,Hendrik-Ido-Ambacht,GR2014_HendrikIdoAmbacht,Gemeenteraad Hendrik-Ido-Ambacht 2014,0531,Hendrik-Ido-Ambacht,2014-03-19,Stembureau CBS De Meander,0531::SB9,3343 CB,1148,579,2,1,0,0,0,522,60,0,0,0,0,0,0,582,79,100,53,59,103,93,92
,Hendrik-Ido-Ambacht,GR2014_HendrikIdoAmbacht,Gemeenteraad Hendrik-Ido-Ambacht 2014,0531,Hendrik-Ido-Ambacht,2014-03-19,Stembureau Sporthal De Ridderhal,0531::SB10,3341 BE,1350,718,2,1,0,0,0,619,102,0,0,0,0,0,0,721,169,127,61,56,103,88,114
