contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Burgerbelangen,Partij van de Arbeid (P.v.d.A.),CDA,Lokaal Alternatief,VVD,SP (Socialistische Partij),GROENLINKS,Ouderenpartij Kerkrade,ONS KERKRADE (OK),1Parkstad.nl,Democraten 66 (D66)
,Kerkrade,GR2014_Kerkrade,Gemeenteraad Kerkrade 2014,0928,Kerkrade,2014-03-19,Stembureau Raadhuis,0928::SB1,,1595,1259,3,18,0,0,0,1129,151,0,0,0,0,0,0,1280,240,203,269,187,87,84,35,33,69,18,34
,Kerkrade,GR2014_Kerkrade,Gemeenteraad Kerkrade 2014,0928,Kerkrade,2014-03-19,Stembureau Zorgcentrum Kapelhof,0928::SB2,,1057,548,1,3,0,0,0,490,62,0,0,0,0,0,0,552,98,87,109,74,39,36,20,31,35,5,14
,Kerkrade,GR2014_Kerkrade,Gemeenteraad Kerkrade 2014,0928,Kerkrade,2014-03-19,Stembureau Bs De Diabolo,0928::SB3,,1375,753,3,2,0,0,0,684,74,0,0,0,0,0,0,758,220,108,107,106,42,47,35,15,37,7,29
,Kerkrade,GR2014_Kerkrade,Gemeenteraad Kerkrade 2014,0928,Kerkrade,2014-03-19,Stembureau Bs De Schatkist,0928::SB4,,1841,679,7,2,0,0,0,592,96,0,0,0,0,0,0,688,231,94,51,47,31,75,31,19,68,8,24
,Kerkrade,GR2014_Kerkrade,Gemeenteraad Kerkrade 2014,0928,Kerkrade,2014-03-19,Stembureau Zorgcentrum Vroenhof,0928::SB5,,1424,645,3,3,0,0,0,591,60,0,0,0,0,0,0,651,192,76,93,66,28,56,19,26,66,7,16
,Kerkrade,GR2014_Kerkrade,Gemeenteraad Kerkrade 2014,0928,Kerkrade,2014-03-19,Stembureau Café Ackens,0928::SB6,,1279,465,1,1,0,0,0,412,55,0,0,0,0,0,0,467,151,62,47,24,21,60,11,16,58,6,9
,Kerkrade,GR2014_Kerkrade,Gemeenteraad Kerkrade 2014,0928,Kerkrade,2014-03-19,Stembureau Café Ejen Bouwerwei,0928::SB7,,1527,642,3,9,0,0,0,563,91,0,0,0,0,0,0,654,251,61,58,26,18,73,29,22,81,6,17
,Kerkrade,GR2014_Kerkrade,Gemeenteraad Kerkrade 2014,0928,Kerkrade,2014-03-19,Stembureau Catharinahoes,0928::SB8,,1771,938,3,3,0,0,0,833,111,0,0,0,0,0,0,944,219,110,154,116,52,91,28,30,73,22,43
,Kerkrade,GR2014_Kerkrade,Gemeenteraad Kerkrade 2014,0928,Kerkrade,2014-03-19,Stembureau Bs St. Ursula,0928::SB9,,1181,672,0,5,0,0,0,605,72,0,0,0,0,0,0,677,154,80,99,48,57,57,21,18,94,26,18
,Kerkrade,GR2014_Kerkrade,Gemeenteraad Kerkrade 2014,0928,Kerkrade,2014-03-19,Stembureau Brede School de Steltloper,0928::SB10,,899,558,2,0,0,0,0,492,68,0,0,0,0,0,0,560,181,88,45,21,4,85,11,23,89,5,6
,Kerkrade,GR2014_Kerkrade,Gemeenteraad Kerkrade 2014,0928,Kerkrade,2014-03-19,Stembureau Parochiezaaltje,0928::SB11,,1330,569,0,0,0,0,0,503,66,0,0,0,0,0,0,569,234,97,56,35,13,46,21,21,33,8,5
,Kerkrade,GR2014_Kerkrade,Gemeenteraad Kerkrade 2014,0928,Kerkrade,2014-03-19,Stembureau Zorgcentrum Hoog Anstel,0928::SB12,,866,419,0,0,0,0,0,384,35,0,0,0,0,0,0,419,148,75,49,40,22,36,9,11,15,4,10
,Kerkrade,GR2014_Kerkrade,Gemeenteraad Kerkrade 2014,0928,Kerkrade,2014-03-19,Stembureau Oleanderhof,0928::SB13,,1363,616,6,2,0,0,0,552,72,0,0,0,0,0,0,624,274,80,67,31,15,69,10,14,54,1,1
,Kerkrade,GR2014_Kerkrade,Gemeenteraad Kerkrade 2014,0928,Kerkrade,2014-03-19,Stembureau Centrum Op de Bies,0928::SB14,,1688,647,3,0,0,0,0,568,82,0,0,0,0,0,0,650,247,87,48,45,41,59,11,23,60,7,19
,Kerkrade,GR2014_Kerkrade,Gemeenteraad Kerkrade 2014,0928,Kerkrade,2014-03-19,Stembureau voormalig Schoolgebouw,0928::SB15,,1410,777,6,1,0,0,0,676,108,0,0,0,0,0,0,784,247,94,70,71,58,55,19,36,81,23,23
,Kerkrade,GR2014_Kerkrade,Gemeenteraad Kerkrade 2014,0928,Kerkrade,2014-03-19,Stembureau Gebouw speeltuin van Meertenstraat,0928::SB16,,1313,556,1,5,0,0,0,491,71,0,0,0,0,0,0,562,133,41,39,17,40,49,22,31,156,18,10
