contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Onafhankelijk Moerdijk,CDA,VVD,Partij van de Arbeid (P.v.d.A.),GROENLINKS,SP (Socialistische Partij),ChristenUnie,Burger Belangen Moerdijk
,Moerdijk,GR2014_Moerdijk,Gemeenteraad Moerdijk 2014,1709,Moerdijk,2014-03-19,Stembureau De Westhoek,1709::SB1,4761 AJ,1029,573,5,4,0,0,0,512,70,0,0,0,0,0,0,582,141,147,120,43,38,47,18,19
,Moerdijk,GR2014_Moerdijk,Gemeenteraad Moerdijk 2014,1709,Moerdijk,2014-03-19,Stembureau De Zeven Schakels,1709::SB2,4761 BN,1155,637,3,2,0,0,0,586,56,0,0,0,0,0,0,642,232,129,93,37,31,62,22,31
,Moerdijk,GR2014_Moerdijk,Gemeenteraad Moerdijk 2014,1709,Moerdijk,2014-03-19,Stembureau Kruisgebouw,1709::SB3,4761 KC,1446,580,1,4,0,0,0,532,53,0,0,0,0,0,0,585,195,68,54,67,33,94,17,52
,Moerdijk,GR2014_Moerdijk,Gemeenteraad Moerdijk 2014,1709,Moerdijk,2014-03-19,Stembureau Pluspunt Serena,1709::SB4,4761 TW,1761,784,5,2,0,0,0,722,69,0,0,0,0,0,0,791,261,89,104,83,47,119,30,51
,Moerdijk,GR2014_Moerdijk,Gemeenteraad Moerdijk 2014,1709,Moerdijk,2014-03-19,Stembureau Openbare Basisschool De Boemerang,1709::SB5,4761 SB,1575,712,2,2,0,0,0,656,60,0,0,0,0,0,0,716,210,85,121,61,46,90,35,64
,Moerdijk,GR2014_Moerdijk,Gemeenteraad Moerdijk 2014,1709,Moerdijk,2014-03-19,Stembureau Sportgezondheidscentrum Zevenbergen,1709::SB6,4761 KN,1575,537,4,5,0,0,0,485,61,0,0,0,0,0,0,546,192,60,50,91,25,76,12,31
,Moerdijk,GR2014_Moerdijk,Gemeenteraad Moerdijk 2014,1709,Moerdijk,2014-03-19,Stembureau Sportplaza Moerdijk De Kristal,1709::SB7,4761 ZC,1627,916,1,1,0,0,0,804,114,0,0,0,0,0,0,918,252,135,228,84,50,93,20,54
,Moerdijk,GR2014_Moerdijk,Gemeenteraad Moerdijk 2014,1709,Moerdijk,2014-03-19,Stembureau Stationsrestauratie Happy Dees,1709::SB8,4761 BG,1037,709,4,1,0,0,0,656,58,0,0,0,0,0,0,714,194,143,195,50,26,52,17,32
,Moerdijk,GR2014_Moerdijk,Gemeenteraad Moerdijk 2014,1709,Moerdijk,2014-03-19,Stembureau Ons Stedeke,1709::SB9,4772 RA,691,339,3,0,0,0,0,308,34,0,0,0,0,0,0,342,181,48,57,7,13,13,4,16
,Moerdijk,GR2014_Moerdijk,Gemeenteraad Moerdijk 2014,1709,Moerdijk,2014-03-19,Stembureau De Zevensprong,1709::SB10,4765 CP,1313,593,6,1,0,0,0,532,68,0,0,0,0,0,0,600,347,65,71,25,5,46,12,22
,Moerdijk,GR2014_Moerdijk,Gemeenteraad Moerdijk 2014,1709,Moerdijk,2014-03-19,Stembureau SBO Het Palet,1709::SB11,4791 JL,1432,750,3,4,0,0,0,684,73,0,0,0,0,0,0,757,205,162,62,36,12,56,177,40
,Moerdijk,GR2014_Moerdijk,Gemeenteraad Moerdijk 2014,1709,Moerdijk,2014-03-19,Stembureau De Niervaert,1709::SB12,4791 GB,1565,624,2,4,0,0,0,565,65,0,0,0,0,0,0,630,207,113,37,29,16,86,87,49
,Moerdijk,GR2014_Moerdijk,Gemeenteraad Moerdijk 2014,1709,Moerdijk,2014-03-19,Stembureau Parochiehuis,1709::SB13,4791 HH,1544,874,5,1,0,0,0,796,84,0,0,0,0,0,0,880,286,168,82,61,23,61,156,37
