contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Staatkundig Gereformeerde Partij (SGP),Partij van de Arbeid (P.v.d.A.),CDA,Gemeentebelangen,VVD,ChristenUnie,Democraten 66 (D66)
,Neder-Betuwe,GR2014_NederBetuwe,Gemeenteraad Neder-Betuwe 2014,1740,Neder-Betuwe,2014-03-19,Stembureau Gemeentehuis Opheusden,1740::SB1,4043 KM,1193,916,0,4,0,0,0,739,181,0,0,0,0,0,0,920,513,138,96,101,28,25,15
,Neder-Betuwe,GR2014_NederBetuwe,Gemeenteraad Neder-Betuwe 2014,1740,Neder-Betuwe,2014-03-19,Stembureau Wijkgebouw Opheusden,1740::SB2,4043 NM,1630,1194,0,0,0,0,0,957,237,0,0,0,0,0,0,1194,747,172,79,130,17,41,8
,Neder-Betuwe,GR2014_NederBetuwe,Gemeenteraad Neder-Betuwe 2014,1740,Neder-Betuwe,2014-03-19,Stembureau Gebouw Eltheto Opheusden,1740::SB3,4043 KV,1501,989,0,0,0,0,0,794,195,0,0,0,0,0,0,989,608,131,83,103,12,27,25
,Neder-Betuwe,GR2014_NederBetuwe,Gemeenteraad Neder-Betuwe 2014,1740,Neder-Betuwe,2014-03-19,Stembureau Zorgcentrum 't Anker Kesteren,1740::SB4,4041 CA,1917,1262,0,0,0,0,0,1039,224,0,1,0,1,0,0,1263,594,186,174,121,81,68,38
,Neder-Betuwe,GR2014_NederBetuwe,Gemeenteraad Neder-Betuwe 2014,1740,Neder-Betuwe,2014-03-19,Stembureau Ons Dorpshuis Kesteren,1740::SB16,4041 XE,1854,1318,0,4,0,0,0,1130,192,0,0,0,0,0,0,1322,520,238,174,168,68,91,59
,Neder-Betuwe,GR2014_NederBetuwe,Gemeenteraad Neder-Betuwe 2014,1740,Neder-Betuwe,2014-03-19,Stembureau J.A. Houtkoperschool Ochten,1740::SB17,4051 AV,1900,1413,3,3,0,0,0,1242,177,0,0,0,0,0,0,1419,325,385,220,119,124,154,86
,Neder-Betuwe,GR2014_NederBetuwe,Gemeenteraad Neder-Betuwe 2014,1740,Neder-Betuwe,2014-03-19,Stembureau Zorgcentrum Elim Ochten,1740::SB18,4051 AK,1678,1089,0,0,0,0,0,932,159,0,2,0,2,0,0,1091,272,245,237,69,84,149,33
,Neder-Betuwe,GR2014_NederBetuwe,Gemeenteraad Neder-Betuwe 2014,1740,Neder-Betuwe,2014-03-19,Stembureau Dorpshuis Ons Tehuis IJzendoorn,1740::SB19,4053 JN,801,542,1,1,0,0,0,462,82,0,0,0,0,0,0,544,168,135,65,72,49,20,33
,Neder-Betuwe,GR2014_NederBetuwe,Gemeenteraad Neder-Betuwe 2014,1740,Neder-Betuwe,2014-03-19,Stembureau Dorpshuis De Hoge Hof Echteld,1740::SB20,4054 MX,853,522,0,3,0,0,0,457,68,0,0,0,0,0,0,525,92,97,104,82,63,35,49
,Neder-Betuwe,GR2014_NederBetuwe,Gemeenteraad Neder-Betuwe 2014,1740,Neder-Betuwe,2014-03-19,Stembureau Nannenberghuis Dodewaard,1740::SB21,6669 CJ,1679,1038,3,6,0,0,0,900,147,0,0,0,0,0,0,1047,199,395,176,96,42,84,46
,Neder-Betuwe,GR2014_NederBetuwe,Gemeenteraad Neder-Betuwe 2014,1740,Neder-Betuwe,2014-03-19,Stembureau De Steegakker Dodewaard,1740::SB22,6669 CZ,1662,1127,5,1,0,1,0,986,148,0,0,0,1,0,0,1134,199,323,234,151,73,89,58
