contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,ChristenUnie,Wij Putten,CDA,GEMEENTEBELANGEN,Staatkundig Gereformeerde Partij (SGP),VVD,Groep Hop,Democraten 66 (D66)
,Putten,GR2014_Putten,Gemeenteraad Putten 2014,0273,Putten,2014-03-19,Stembureau Cultureel Centrum Stroud,0273::SB1,3881 BP,1389,1240,3,4,0,0,0,1108,140,0,0,0,1,0,0,1248,207,370,243,132,126,110,4,48
,Putten,GR2014_Putten,Gemeenteraad Putten 2014,0273,Putten,2014-03-19,Stembureau Andreaskerk,0273::SB2,3881 SH,1539,939,1,3,0,0,0,864,79,0,0,0,0,0,0,943,187,267,138,134,100,74,0,39
,Putten,GR2014_Putten,Gemeenteraad Putten 2014,0273,Putten,2014-03-19,Stembureau Woonzorgcentrum Elim,0273::SB3,3882 AL,1256,657,3,4,0,0,0,620,44,0,0,0,0,0,0,664,159,160,122,77,100,25,3,11
,Putten,GR2014_Putten,Gemeenteraad Putten 2014,0273,Putten,2014-03-19,Stembureau De Aker,0273::SB4,3881 BZ,1274,1079,0,1,0,0,0,980,110,0,0,0,10,0,0,1090,291,225,209,109,129,84,3,29
,Putten,GR2014_Putten,Gemeenteraad Putten 2014,0273,Putten,2014-03-19,Stembureau Verenigingsgebouw Huinen,0273::SB5,3882 TJ,1023,667,0,2,0,0,0,567,102,0,0,0,0,0,0,669,125,98,168,67,128,57,1,23
,Putten,GR2014_Putten,Gemeenteraad Putten 2014,0273,Putten,2014-03-19,Stembureau School Hoef,0273::SB6,3882 RV,674,520,0,1,0,0,0,442,79,0,0,0,0,0,0,521,85,52,184,52,117,21,0,9
,Putten,GR2014_Putten,Gemeenteraad Putten 2014,0273,Putten,2014-03-19,Stembureau Verenigingsgebouw Stenenkamer,0273::SB7,3882 RC,690,544,1,1,0,0,0,486,60,0,0,0,0,0,0,546,72,45,229,58,121,11,2,6
,Putten,GR2014_Putten,Gemeenteraad Putten 2014,0273,Putten,2014-03-19,Stembureau School Schovenhorst,0273::SB8,3881 NC,1001,399,0,1,0,0,0,347,53,0,0,0,0,0,0,400,51,121,49,75,25,56,5,17
,Putten,GR2014_Putten,Gemeenteraad Putten 2014,0273,Putten,2014-03-19,Stembureau School Veenhuizerveld,0273::SB9,3881 RG,661,402,1,4,0,0,0,375,32,0,0,0,0,0,0,407,52,74,70,66,77,37,7,19
,Putten,GR2014_Putten,Gemeenteraad Putten 2014,0273,Putten,2014-03-19,Stembureau Jeugdlokaal De Korenschoof,0273::SB10,3881 XR,1053,740,3,1,0,0,0,673,71,0,0,0,0,0,0,744,198,205,123,73,84,37,5,15
,Putten,GR2014_Putten,Gemeenteraad Putten 2014,0273,Putten,2014-03-19,Stembureau Verzorgingshuis De Schauw,0273::SB11,3882 AL,1060,729,1,1,0,0,0,662,69,0,0,0,0,0,0,731,140,214,162,83,91,26,3,10
,Putten,GR2014_Putten,Gemeenteraad Putten 2014,0273,Putten,2014-03-19,Stembureau School De Wegwijzer,0273::SB12,3882 XE,1033,731,0,3,0,0,0,663,71,0,0,0,0,0,0,734,197,244,85,70,83,37,2,13
,Putten,GR2014_Putten,Gemeenteraad Putten 2014,0273,Putten,2014-03-19,Stembureau School Klein Schovenhorst,0273::SB13,3881 KC,936,527,1,2,0,0,0,488,42,0,0,0,0,0,0,530,120,170,65,63,63,29,1,16
,Putten,GR2014_Putten,Gemeenteraad Putten 2014,0273,Putten,2014-03-19,Stembureau Orion-centrum,0273::SB14,3882 AL,960,602,1,2,0,0,0,552,53,0,0,0,0,0,0,605,167,198,68,51,72,25,2,19
,Putten,GR2014_Putten,Gemeenteraad Putten 2014,0273,Putten,2014-03-19,Stembureau School De Pelikaan,0273::SB15,3882 GN,1124,694,0,0,0,0,0,621,73,0,0,0,0,0,0,694,116,257,118,103,40,34,3,23
,Putten,GR2014_Putten,Gemeenteraad Putten 2014,0273,Putten,2014-03-19,Stembureau School De Schuilplaats,0273::SB16,3882 HH,1584,1074,1,1,0,0,0,952,124,0,0,0,0,0,0,1076,247,305,170,136,120,73,1,22
,Putten,GR2014_Putten,Gemeenteraad Putten 2014,0273,Putten,2014-03-19,Stembureau De Arendshof,0273::SB17,3882 JJ,1368,761,0,1,0,0,0,686,76,0,0,0,0,0,0,762,205,195,111,86,104,44,1,15
