contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),CDA,ChristenUnie,VVD,Eérste Lokale Partij (ELP),FNP,SP (Socialistische Partij),GROENLINKS,Democraten 66 (D66),Smallingerlands Belang
,Smallingerland,GR2014_Smallingerland,Gemeenteraad Smallingerland 2014,0090,Smallingerland,2014-03-19,Stembureau Het gemeentehuis (Trouwzaal),0090::SB1,9203 RM,924,1059,6,1,0,2,0,995,71,0,0,0,0,0,0,1066,223,179,119,132,92,48,102,35,82,47
,Smallingerland,GR2014_Smallingerland,Gemeenteraad Smallingerland 2014,0090,Smallingerland,2014-03-19,Stembureau Wijkcentrum De Utwyk,0090::SB2,9201 XE,1890,1069,4,2,0,0,0,998,77,0,0,0,0,0,0,1075,170,175,191,53,82,46,193,32,64,63
,Smallingerland,GR2014_Smallingerland,Gemeenteraad Smallingerland 2014,0090,Smallingerland,2014-03-19,Stembureau SBO school It Heechhôf,0090::SB3,9201 XZ,1712,744,0,1,0,0,0,692,53,0,0,0,0,0,0,745,115,81,137,23,67,44,171,16,38,52
,Smallingerland,GR2014_Smallingerland,Gemeenteraad Smallingerland 2014,0090,Smallingerland,2014-03-19,Stembureau Wijkcentrum De Waring,0090::SB4,9207 DD,973,877,0,0,0,0,0,814,63,0,0,0,0,0,0,877,174,134,132,54,65,37,127,41,61,52
,Smallingerland,GR2014_Smallingerland,Gemeenteraad Smallingerland 2014,0090,Smallingerland,2014-03-19,Stembureau Kantine vv ONB,0090::SB5,9201 KK,1156,772,1,1,0,0,0,714,60,0,0,0,0,0,0,774,122,181,121,75,60,17,53,36,71,36
,Smallingerland,GR2014_Smallingerland,Gemeenteraad Smallingerland 2014,0090,Smallingerland,2014-03-19,Stembureau Wijkcentrum De Kouwe,0090::SB6,9201 TE,2049,752,7,2,0,1,0,693,69,0,0,0,1,0,0,762,149,69,107,21,73,40,195,16,21,61
,Smallingerland,GR2014_Smallingerland,Gemeenteraad Smallingerland 2014,0090,Smallingerland,2014-03-19,Stembureau Chr.Ger. Kerk,0090::SB7,9203 AN,1817,793,0,4,0,0,0,727,70,0,0,0,0,0,0,797,135,130,137,43,72,34,138,33,27,44
,Smallingerland,GR2014_Smallingerland,Gemeenteraad Smallingerland 2014,0090,Smallingerland,2014-03-19,Stembureau Basisschool Eben Haëzer,0090::SB8,9202 AN,1337,615,1,4,0,0,0,569,51,0,0,0,0,0,0,620,102,86,141,11,43,27,107,25,27,46
,Smallingerland,GR2014_Smallingerland,Gemeenteraad Smallingerland 2014,0090,Smallingerland,2014-03-19,Stembureau Wijk- en Zorgcentrum De Wiken,0090::SB9,9202 CA,1843,916,6,6,0,0,0,840,88,0,0,0,0,0,0,928,191,121,181,20,54,45,181,34,46,43
,Smallingerland,GR2014_Smallingerland,Gemeenteraad Smallingerland 2014,0090,Smallingerland,2014-03-19,Stembureau Sportcentrum Drachten,0090::SB10,9202 LC,1811,930,2,3,0,0,0,841,94,0,0,0,0,0,0,935,146,136,224,40,87,20,118,42,55,62
,Smallingerland,GR2014_Smallingerland,Gemeenteraad Smallingerland 2014,0090,Smallingerland,2014-03-19,Stembureau MF wijkcentrum De Barte,0090::SB11,9202 LM,1752,881,1,6,0,0,0,800,88,0,0,0,0,0,0,888,195,115,148,47,86,35,138,12,42,63
,Smallingerland,GR2014_Smallingerland,Gemeenteraad Smallingerland 2014,0090,Smallingerland,2014-03-19,Stembureau Verzorgingscentrum Rispinge,0090::SB12,9203 ZG,1851,869,1,3,0,0,0,815,58,0,0,0,0,0,0,873,232,156,108,35,51,45,137,16,39,50
,Smallingerland,GR2014_Smallingerland,Gemeenteraad Smallingerland 2014,0090,Smallingerland,2014-03-19,Stembureau Verzorgingscentrum De Warrenhove,0090::SB13,9203 HT,1383,757,2,5,0,0,0,713,51,0,0,0,0,0,0,764,158,171,127,45,58,40,79,7,49,23
,Smallingerland,GR2014_Smallingerland,Gemeenteraad Smallingerland 2014,0090,Smallingerland,2014-03-19,Stembureau Buurthuis De Skûle,0090::SB14,9203 ND,1572,1118,1,1,0,0,0,1042,78,0,0,0,0,0,0,1120,210,189,154,106,131,45,98,41,93,51
,Smallingerland,GR2014_Smallingerland,Gemeenteraad Smallingerland 2014,0090,Smallingerland,2014-03-19,Stembureau Voormalige basisschool Hunze,0090::SB15,9204 BN,1567,764,1,0,0,0,0,677,88,0,0,0,0,0,0,765,145,88,111,48,121,13,108,25,60,45
,Smallingerland,GR2014_Smallingerland,Gemeenteraad Smallingerland 2014,0090,Smallingerland,2014-03-19,Stembureau MOS - Brede School De Drait,0090::SB16,9204 JT,871,1389,4,3,0,0,0,1269,127,0,0,0,0,0,0,1396,286,189,201,121,166,38,143,62,119,64
,Smallingerland,GR2014_Smallingerland,Gemeenteraad Smallingerland 2014,0090,Smallingerland,2014-03-19,Stembureau Tienersoos Place 2 B (Dr.vaart),0090::SB17,9204 LM,1473,764,0,2,0,0,0,702,64,0,0,0,0,0,0,766,116,117,69,138,117,11,41,25,94,36
,Smallingerland,GR2014_Smallingerland,Gemeenteraad Smallingerland 2014,0090,Smallingerland,2014-03-19,Stembureau Wijkcentrum De Skammel,0090::SB18,9205 DE,1753,843,1,1,0,0,0,774,71,0,0,0,0,0,0,845,145,69,122,54,110,20,149,51,69,54
