contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Gewoon Lokaal!,VVD,CDA,Lijst Steenbergen Anders,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),De Volkspartij
,Steenbergen,GR2014_Steenbergen,Gemeenteraad Steenbergen 2014,0851,Steenbergen,2014-03-19,Stembureau Gemeentehuis,0851::SB1,4652 GA,2092,1048,23,17,0,0,0,935,153,0,0,0,0,0,0,1088,85,125,139,98,137,181,283
,Steenbergen,GR2014_Steenbergen,Gemeenteraad Steenbergen 2014,0851,Steenbergen,2014-03-19,"Stembureau Verzorgingsh.""Onze Stede""",0851::SB2,4651 EL,1361,737,5,14,0,0,0,676,80,0,0,0,0,0,0,756,57,87,67,57,115,143,211
,Steenbergen,GR2014_Steenbergen,Gemeenteraad Steenbergen 2014,0851,Steenbergen,2014-03-19,Stembureau R.K. Basisschool Gummarus,0851::SB3,4651 KM,3584,1420,35,32,0,0,0,1322,166,0,1,0,1,0,0,1488,147,142,174,73,231,248,405
,Steenbergen,GR2014_Steenbergen,Gemeenteraad Steenbergen 2014,0851,Steenbergen,2014-03-19,"Stembureau Scoutinggeb.""Wallenburch""",0851::SB4,4651 WB,1714,736,12,8,0,0,0,668,88,0,0,0,0,0,0,756,74,141,59,60,157,98,147
,Steenbergen,GR2014_Steenbergen,Gemeenteraad Steenbergen 2014,0851,Steenbergen,2014-03-19,Stembureau Gemeenschapshuis De Vaert,0851::SB5,4651 XE,1376,537,19,6,0,0,0,496,66,0,0,0,0,0,0,562,118,90,52,21,120,41,95
,Steenbergen,GR2014_Steenbergen,Gemeenteraad Steenbergen 2014,0851,Steenbergen,2014-03-19,Stembureau Dorpshuis Siemburg,0851::SB6,4756 AR,1831,832,9,1,0,0,0,736,106,0,0,0,0,0,0,842,252,379,50,9,47,61,34
,Steenbergen,GR2014_Steenbergen,Gemeenteraad Steenbergen 2014,0851,Steenbergen,2014-03-19,Stembureau Dorpshuis De Stelle,0851::SB7,4655 AB,713,320,0,0,0,0,0,278,42,0,0,0,0,0,0,320,48,54,39,9,25,38,107
,Steenbergen,GR2014_Steenbergen,Gemeenteraad Steenbergen 2014,0851,Steenbergen,2014-03-19,Stembureau Verz.huis De Nieuwe Haven,0851::SB8,4671 AW,2374,1018,15,13,0,0,0,928,118,0,0,0,0,0,0,1046,311,137,176,138,78,161,17
,Steenbergen,GR2014_Steenbergen,Gemeenteraad Steenbergen 2014,0851,Steenbergen,2014-03-19,Stembureau OBS De Regenboog,0851::SB9,4671 ES,2131,862,10,14,0,0,0,774,112,0,0,0,0,0,0,886,250,177,147,86,59,123,20
,Steenbergen,GR2014_Steenbergen,Gemeenteraad Steenbergen 2014,0851,Steenbergen,2014-03-19,Stembureau Gemeenschapshuis De Vossenburcht,0851::SB10,4681 AS,1808,846,10,6,0,0,0,766,96,0,0,0,0,0,0,862,288,72,186,15,60,126,99
