contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),CDA,VVD,CPB (Christelijke Partij Burgerbelangen),BuitenGewoon Leefbaar,ChristenUnie,Democraten 66 (D66)
,Steenwijkerland,GR2014_Steenwijkerland,Gemeenteraad Steenwijkerland 2014,1708,Steenwijkerland,2014-03-19,"Stembureau Steenwijk, Gemeentehuis",1708::SB1,8331 XE,1662,984,7,7,0,0,0,909,89,0,0,0,0,0,0,998,243,175,118,75,179,81,113
,Steenwijkerland,GR2014_Steenwijkerland,Gemeenteraad Steenwijkerland 2014,1708,Steenwijkerland,2014-03-19,"Stembureau Steenwijk, Burg. Voetelinkschool",1708::SB2,8331 PC,857,339,3,2,0,0,0,314,30,0,0,0,0,0,0,344,124,27,35,20,55,31,47
,Steenwijkerland,GR2014_Steenwijkerland,Gemeenteraad Steenwijkerland 2014,1708,Steenwijkerland,2014-03-19,"Stembureau Steenwijk, Kindcentr. Willem-Alexan",1708::SB3,8331 RV,1101,394,5,3,0,0,0,346,56,0,0,0,0,0,0,402,203,35,21,18,62,25,30
,Steenwijkerland,GR2014_Steenwijkerland,Gemeenteraad Steenwijkerland 2014,1708,Steenwijkerland,2014-03-19,"Stembureau Steenwijk, Nijenstede",1708::SB4,8331 GZ,1699,986,0,5,0,0,0,904,87,0,0,0,0,0,0,991,207,199,193,66,107,73,141
,Steenwijkerland,GR2014_Steenwijkerland,Gemeenteraad Steenwijkerland 2014,1708,Steenwijkerland,2014-03-19,"Stembureau Steenwijk, Zonnekamp",1708::SB5,8331 XR,1753,921,9,4,0,0,0,865,69,0,0,0,0,0,0,934,232,163,103,54,172,94,103
,Steenwijkerland,GR2014_Steenwijkerland,Gemeenteraad Steenwijkerland 2014,1708,Steenwijkerland,2014-03-19,"Stembureau Steenwijk, De Vijverhof",1708::SB6,8332 DH,1225,723,2,0,0,0,0,659,66,0,0,0,0,0,0,725,124,111,134,29,90,117,118
,Steenwijkerland,GR2014_Steenwijkerland,Gemeenteraad Steenwijkerland 2014,1708,Steenwijkerland,2014-03-19,"Stembureau Steenwijk, Wijkvereniging De Gagels",1708::SB7,8331 AW,1538,726,5,6,0,0,0,685,52,0,0,0,0,0,0,737,166,119,86,45,131,99,80
,Steenwijkerland,GR2014_Steenwijkerland,Gemeenteraad Steenwijkerland 2014,1708,Steenwijkerland,2014-03-19,"Stembureau Steenwijk, De Meenthehof",1708::SB8,8332 AA,2233,1169,3,7,0,0,0,1088,91,0,0,0,0,0,0,1179,277,189,156,51,132,125,239
,Steenwijkerland,GR2014_Steenwijkerland,Gemeenteraad Steenwijkerland 2014,1708,Steenwijkerland,2014-03-19,"Stembureau Steenwijk,Wijkcentrum Oostermeenthe",1708::SB9,8332 JD,1062,650,1,6,0,0,0,594,63,0,0,0,0,0,0,657,131,100,97,36,89,78,119
,Steenwijkerland,GR2014_Steenwijkerland,Gemeenteraad Steenwijkerland 2014,1708,Steenwijkerland,2014-03-19,"Stembureau Tuk, Racketcentrum",1708::SB10,8334 RR,1654,1025,3,1,0,0,0,955,74,0,0,0,0,0,0,1029,177,206,153,31,222,67,169
