contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,GROENLINKS,Leefbaar Tynaarlo/EVZ-2000,Democraten 66 (D66),Gemeentebelangen Tynaarlo,CDA,ChristenUnie
,Tynaarlo,GR2014_Tynaarlo,Gemeenteraad Tynaarlo 2014,1730,Tynaarlo,2014-03-19,Stembureau Ons Dorpshuis,1730::SB1,9765 AP,1221,791,9,0,0,0,0,734,65,0,0,0,0,0,0,799,147,129,110,63,130,124,65,23
,Tynaarlo,GR2014_Tynaarlo,Gemeenteraad Tynaarlo 2014,1730,Tynaarlo,2014-03-19,Stembureau De Notenkraker,1730::SB2,9765 AC,1241,545,5,0,0,0,0,500,50,0,0,0,0,0,0,550,69,102,82,30,113,98,41,10
,Tynaarlo,GR2014_Tynaarlo,Gemeenteraad Tynaarlo 2014,1730,Tynaarlo,2014-03-19,Stembureau Zorgcentrum Else van der Laanhuis,1730::SB3,9761 GR,1406,1081,4,6,0,0,0,994,97,0,0,0,0,0,0,1091,176,171,127,56,188,224,82,57
,Tynaarlo,GR2014_Tynaarlo,Gemeenteraad Tynaarlo 2014,1730,Tynaarlo,2014-03-19,Stembureau Sportcentrum De Marsch,1730::SB4,9765 EA,1319,1010,2,1,0,0,0,931,82,0,0,0,0,0,0,1013,161,179,127,54,196,176,76,41
,Tynaarlo,GR2014_Tynaarlo,Gemeenteraad Tynaarlo 2014,1730,Tynaarlo,2014-03-19,Stembureau Restaurant 't Huys van Bunne,1730::SB5,9496 PA,591,347,1,2,0,0,0,308,42,0,0,0,0,0,0,350,26,97,46,62,49,32,29,6
,Tynaarlo,GR2014_Tynaarlo,Gemeenteraad Tynaarlo 2014,1730,Tynaarlo,2014-03-19,Stembureau MFA Borchkwartier,1730::SB6,9766 PP,1622,923,4,2,0,1,0,808,122,0,0,0,1,0,0,930,85,184,113,35,355,46,56,49
,Tynaarlo,GR2014_Tynaarlo,Gemeenteraad Tynaarlo 2014,1730,Tynaarlo,2014-03-19,Stembureau Verzorgingscentrum Kornoeljehof,1730::SB7,9481 AD,1045,647,0,0,0,0,0,590,57,0,0,0,0,0,0,647,96,117,59,162,82,34,58,39
,Tynaarlo,GR2014_Tynaarlo,Gemeenteraad Tynaarlo 2014,1730,Tynaarlo,2014-03-19,Stembureau O.b.s. De Vijverstee,1730::SB8,9481 GA,1210,1069,1,3,0,0,0,980,93,0,0,0,0,0,0,1073,128,126,197,303,123,37,92,63
,Tynaarlo,GR2014_Tynaarlo,Gemeenteraad Tynaarlo 2014,1730,Tynaarlo,2014-03-19,Stembureau MFA YdersHoes,1730::SB9,9494 RB,859,534,4,0,0,0,0,482,56,0,0,0,0,0,0,538,58,109,47,188,75,25,14,18
,Tynaarlo,GR2014_Tynaarlo,Gemeenteraad Tynaarlo 2014,1730,Tynaarlo,2014-03-19,Stembureau Dorpshuis Tynaarlo,1730::SB10,9482 PJ,1394,832,3,1,0,0,0,752,84,0,0,0,0,0,0,836,111,234,78,166,106,40,36,61
,Tynaarlo,GR2014_Tynaarlo,Gemeenteraad Tynaarlo 2014,1730,Tynaarlo,2014-03-19,Stembureau Dorpshuis Oudemolen,1730::SB11,9484 TA,440,271,4,0,0,0,0,251,24,0,0,0,0,0,0,275,35,80,41,31,45,10,16,13
,Tynaarlo,GR2014_Tynaarlo,Gemeenteraad Tynaarlo 2014,1730,Tynaarlo,2014-03-19,Stembureau Sportkantine SVZ,1730::SB12,9491 BH,579,365,2,0,0,0,0,340,27,0,0,0,0,0,0,367,61,120,55,37,48,15,11,18
,Tynaarlo,GR2014_Tynaarlo,Gemeenteraad Tynaarlo 2014,1730,Tynaarlo,2014-03-19,Stembureau Gebouw buurtvereniging,1730::SB13,9473 TL,320,186,0,2,0,0,0,173,15,0,0,0,0,0,0,188,12,46,28,38,18,22,8,14
,Tynaarlo,GR2014_Tynaarlo,Gemeenteraad Tynaarlo 2014,1730,Tynaarlo,2014-03-19,Stembureau Chr.Basisschool De Tol,1730::SB14,9472 WH,1461,842,4,4,0,0,0,793,57,0,0,0,0,0,0,850,120,100,126,112,140,60,68,116
