contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,FNP,Partij van de Arbeid (P.v.d.A.),VVD,GrienLinks,ChristenUnie,Gemeentebelangen Tietjerksteradeel
,Tytsjerksteradiel,GR2014_Tytsjerksteradiel,Gemeenteraad Tytsjerksteradiel 2014,0737,Tytsjerksteradiel,2014-03-19,Stembureau Gemeentehuis,0737::SB1,,1518,890,6,1,0,0,0,809,88,0,0,0,0,0,0,897,197,178,180,95,97,92,51
,Tytsjerksteradiel,GR2014_Tytsjerksteradiel,Gemeenteraad Tytsjerksteradiel 2014,0737,Tytsjerksteradiel,2014-03-19,Stembureau Berchhiem,0737::SB2,,975,644,0,4,0,0,0,591,57,0,0,0,0,0,0,648,179,141,99,60,37,81,47
,Tytsjerksteradiel,GR2014_Tytsjerksteradiel,Gemeenteraad Tytsjerksteradiel 2014,0737,Tytsjerksteradiel,2014-03-19,Stembureau Ver gebouw De Stryp,0737::SB3,,1387,940,1,2,0,0,0,943,0,0,0,0,0,0,0,943,247,238,146,98,65,104,42
,Tytsjerksteradiel,GR2014_Tytsjerksteradiel,Gemeenteraad Tytsjerksteradiel 2014,0737,Tytsjerksteradiel,2014-03-19,Stembureau Glinstrastate,0737::SB4,,1404,1115,1,2,0,0,0,1024,94,0,0,0,0,0,0,1118,359,189,167,135,72,106,87
,Tytsjerksteradiel,GR2014_Tytsjerksteradiel,Gemeenteraad Tytsjerksteradiel 2014,0737,Tytsjerksteradiel,2014-03-19,Stembureau Geref. kerk (vrijgem),0737::SB5,,602,224,1,2,0,0,0,204,23,0,0,0,0,0,0,227,42,43,29,31,18,47,14
,Tytsjerksteradiel,GR2014_Tytsjerksteradiel,Gemeenteraad Tytsjerksteradiel 2014,0737,Tytsjerksteradiel,2014-03-19,Stembureau De Balstien,0737::SB6,,1170,495,0,3,0,0,0,450,48,0,0,0,0,0,0,498,88,140,83,40,34,63,47
,Tytsjerksteradiel,GR2014_Tytsjerksteradiel,Gemeenteraad Tytsjerksteradiel 2014,0737,Tytsjerksteradiel,2014-03-19,Stembureau Kantine Sportvereniging,0737::SB7,,714,401,0,0,0,0,0,372,29,0,0,0,0,0,0,401,86,113,48,31,29,60,34
,Tytsjerksteradiel,GR2014_Tytsjerksteradiel,Gemeenteraad Tytsjerksteradiel 2014,0737,Tytsjerksteradiel,2014-03-19,Stembureau 't Hoekje,0737::SB8,,1207,776,0,0,0,0,0,702,74,0,0,0,0,0,0,776,243,212,89,61,56,94,21
,Tytsjerksteradiel,GR2014_Tytsjerksteradiel,Gemeenteraad Tytsjerksteradiel 2014,0737,Tytsjerksteradiel,2014-03-19,Stembureau Dorpshuis De Kamp,0737::SB9,,1101,557,3,3,0,0,0,517,46,0,0,0,0,0,0,563,182,212,55,40,19,26,23
,Tytsjerksteradiel,GR2014_Tytsjerksteradiel,Gemeenteraad Tytsjerksteradiel 2014,0737,Tytsjerksteradiel,2014-03-19,Stembureau Dorphuis It Geahûs,0737::SB10,,1451,833,3,2,0,0,0,741,97,0,0,0,0,0,0,838,357,173,85,43,47,93,35
