contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,GROENLINKS/Partij van de Arbeid (P.v.d.A.),CDA,Democraten 66 (D66),BVH (Burger Vertegenwoordiging Heuvelrug),Staatkundig Gereformeerde Partij (SGP),SP (Socialistische Partij),ChristenUnie
,Utrechtse Heuvelrug,GR2014_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2014,1581,Utrechtse Heuvelrug,2014-03-19,Stembureau Nieuw Salem,1581::SB1,3971 CA,1663,1001,2,2,0,1,0,921,85,0,0,0,1,0,0,1006,145,187,160,193,96,80,107,33
,Utrechtse Heuvelrug,GR2014_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2014,1581,Utrechtse Heuvelrug,2014-03-19,Stembureau Stichting Welnúh,1581::SB2,3971 HK,1504,1094,2,1,0,0,0,980,117,0,0,0,0,0,0,1097,259,146,128,238,121,77,93,32
,Utrechtse Heuvelrug,GR2014_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2014,1581,Utrechtse Heuvelrug,2014-03-19,Stembureau Sparrenheide,1581::SB3,3971 DA,1614,1120,1,1,0,0,0,1006,116,0,0,0,0,0,0,1122,221,180,115,275,113,74,86,56
,Utrechtse Heuvelrug,GR2014_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2014,1581,Utrechtse Heuvelrug,2014-03-19,Stembureau Beukenstein,1581::SB4,3971 KB,1444,981,2,2,0,0,0,885,100,0,0,0,0,0,0,985,119,188,148,231,106,47,114,28
,Utrechtse Heuvelrug,GR2014_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2014,1581,Utrechtse Heuvelrug,2014-03-19,Stembureau Beukenhorst,1581::SB5,3972 HA,1578,1019,3,4,0,0,0,943,83,0,0,0,0,0,0,1026,150,145,173,200,95,110,97,49
,Utrechtse Heuvelrug,GR2014_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2014,1581,Utrechtse Heuvelrug,2014-03-19,Stembureau Immanuëlkerk,1581::SB6,3972 JH,1507,704,2,5,0,0,0,636,75,0,0,0,0,0,0,711,110,129,68,140,60,27,128,42
,Utrechtse Heuvelrug,GR2014_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2014,1581,Utrechtse Heuvelrug,2014-03-19,"Stembureau C.B.S. ""De Uilenburcht""",1581::SB7,3972 XD,1462,1070,3,0,0,0,0,970,103,0,0,0,0,0,0,1073,179,178,150,234,109,58,108,54
,Utrechtse Heuvelrug,GR2014_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2014,1581,Utrechtse Heuvelrug,2014-03-19,"Stembureau Gereformeerde Kerk ""de Bron""",1581::SB8,3972 DC,1581,936,6,3,0,1,0,864,82,0,0,0,1,0,0,946,163,170,134,171,101,44,87,66
,Utrechtse Heuvelrug,GR2014_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2014,1581,Utrechtse Heuvelrug,2014-03-19,Stembureau 't Hoge Licht,1581::SB9,3972 PX,1877,1163,4,2,1,0,0,1055,115,0,0,0,1,0,0,1170,177,168,145,233,141,54,176,69
,Utrechtse Heuvelrug,GR2014_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2014,1581,Utrechtse Heuvelrug,2014-03-19,Stembureau De Kapel,1581::SB10,3951 AB,1277,909,2,3,0,0,0,814,100,0,0,0,0,0,0,914,190,112,166,175,85,78,71,32
