contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij Gemeentebelangen,Partij van de Arbeid (P.v.d.A.),CDA,VVD,GROENLINKS,ChristenUnie,Partij voor de Dieren,Democraten 66 (D66)
,Vlagtwedde,GR2014_Vlagtwedde,Gemeenteraad Vlagtwedde 2014,0048,Vlagtwedde,2014-03-19,Stembureau Sellingen  (Gemeentehuis),0048::SB1,9551 AB,1348,930,5,1,0,0,0,853,83,0,0,0,0,0,0,936,260,81,207,57,130,67,74,54
,Vlagtwedde,GR2014_Vlagtwedde,Gemeenteraad Vlagtwedde 2014,0048,Vlagtwedde,2014-03-19,"Stembureau Vlagtwedde (""De Bolderbörg"")",0048::SB2,9541 BW,1277,625,3,4,0,0,0,578,54,0,0,0,0,0,0,632,267,81,104,32,41,49,38,13
,Vlagtwedde,GR2014_Vlagtwedde,Gemeenteraad Vlagtwedde 2014,0048,Vlagtwedde,2014-03-19,Stembureau Vlagtwedde (MFA 't Aambeeld),0048::SB3,9541 AX,1138,819,5,2,0,0,0,725,101,0,0,0,0,0,0,826,276,58,191,71,63,87,38,35
,Vlagtwedde,GR2014_Vlagtwedde,Gemeenteraad Vlagtwedde 2014,0048,Vlagtwedde,2014-03-19,"Stembureau Bourtange (""De Turfschuur"")",0048::SB4,9545 PH,660,343,3,2,0,0,0,317,31,0,0,0,0,0,0,348,92,73,50,29,35,24,26,14
,Vlagtwedde,GR2014_Vlagtwedde,Gemeenteraad Vlagtwedde 2014,0048,Vlagtwedde,2014-03-19,Stembureau Jipsinghuizen (Buurthuis),0048::SB5,9551 TH,861,445,3,4,0,0,0,405,47,0,0,0,0,0,0,452,143,23,109,31,39,30,43,27
,Vlagtwedde,GR2014_Vlagtwedde,Gemeenteraad Vlagtwedde 2014,0048,Vlagtwedde,2014-03-19,"Stembureau Ter Apelkanaal (""D'Oale School"")",0048::SB6,9563 RD,842,370,1,1,0,0,0,341,31,0,0,0,0,0,0,372,144,64,67,25,15,16,25,14
,Vlagtwedde,GR2014_Vlagtwedde,Gemeenteraad Vlagtwedde 2014,0048,Vlagtwedde,2014-03-19,"Stembureau Ter Apel  (""'t Streekje"")",0048::SB7,9561 SC,1392,533,6,0,0,0,0,486,53,0,0,0,0,0,0,539,179,138,124,15,18,16,21,22
,Vlagtwedde,GR2014_Vlagtwedde,Gemeenteraad Vlagtwedde 2014,0048,Vlagtwedde,2014-03-19,"Stembureau Ter Apel (""Kloosterheerd"")",0048::SB8,9561 RD,1007,465,3,3,0,0,0,442,29,0,0,0,0,0,0,471,129,129,126,16,26,13,11,15
,Vlagtwedde,GR2014_Vlagtwedde,Gemeenteraad Vlagtwedde 2014,0048,Vlagtwedde,2014-03-19,Stembureau Ter Apel (Sporthalkantine),0048::SB9,9561 KD,1449,758,0,3,0,0,0,688,73,0,0,0,0,0,0,761,159,196,185,99,32,15,33,39
,Vlagtwedde,GR2014_Vlagtwedde,Gemeenteraad Vlagtwedde 2014,0048,Vlagtwedde,2014-03-19,"Stembureau Barnflair (""De Grensstreek"")",0048::SB10,9561 PC,855,343,0,2,0,0,0,302,43,0,0,0,0,0,0,345,99,75,91,20,18,10,21,9
,Vlagtwedde,GR2014_Vlagtwedde,Gemeenteraad Vlagtwedde 2014,0048,Vlagtwedde,2014-03-19,"Stembureau Ter Apel (""De Wilpskamp"")",0048::SB11,9561 TA,902,488,3,2,0,0,0,453,40,0,0,0,0,0,0,493,119,97,104,51,38,13,26,40
,Vlagtwedde,GR2014_Vlagtwedde,Gemeenteraad Vlagtwedde 2014,0048,Vlagtwedde,2014-03-19,"Stembureau Ter Apel (""Heemborgh"")",0048::SB12,9561 EP,1133,482,1,1,0,0,0,446,38,0,0,0,0,0,0,484,143,104,54,44,27,31,44,35
