contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),VVD,Democraten 66 (D66),GROENLINKS,CDA,Haagse Stadspartij,SP (Socialistische Partij),Politieke Partij Scheveningen (PPS),Partij voor de Dieren,Islam Democraten,Libertarische Partij (LP),ChristenUnie-SGP,Groep de Mos / Ouderen Partij Den Haag,Ouderenpartij HOOP,OPA,Partij van de Eenheid,FAMILIA (Directe Democraten),19
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Humanitas Woonzorgplus Den Haag,0518::SB101,,1205,983,0,0,0,0,0,904,80,0,0,0,1,0,0,984,72,109,137,142,50,103,136,40,4,36,2,1,21,106,18,2,0,2,2
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Middelbare School Dalton Den Haag,0518::SB102,,1924,1294,1,1,0,1,0,1167,130,0,0,0,1,0,0,1297,110,114,173,228,84,79,217,53,9,32,2,3,30,147,6,4,0,0,3
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Inspecteur S. de Vriesschool,0518::SB103,,1220,576,1,3,0,0,0,530,50,0,0,0,0,0,0,580,45,113,58,56,15,59,63,46,5,20,2,0,15,68,11,0,0,0,0
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Haags Centrum voor Onderwijsbegeleiding,0518::SB104,,1398,825,0,2,0,0,0,744,83,0,0,0,0,0,0,827,51,124,154,115,29,95,116,26,4,12,0,0,11,73,11,3,0,1,0
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Wijk- en dienstencentrum De Wiekslag,0518::SB105,,2115,1270,3,5,0,0,0,1192,99,0,13,0,13,0,0,1291,103,300,113,146,40,157,111,68,7,31,2,2,32,131,23,0,2,0,2
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau WoonZorgPark Loosduinen,0518::SB106,,757,508,0,0,0,1,0,464,45,0,0,0,1,0,0,509,53,88,34,39,15,92,37,30,2,13,2,0,18,72,10,1,0,1,1
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,"Stembureau Parnassia, Gehoorzaal nr. 87",0518::SB107,,1667,786,2,3,0,0,0,720,72,0,1,0,1,0,0,792,76,98,160,103,26,89,66,42,6,17,2,2,36,51,5,2,3,1,1
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau R.K. Basisschool De Octaaf,0518::SB108,,1999,819,3,6,0,1,0,758,71,0,0,0,1,0,0,829,60,227,41,53,19,88,75,38,2,24,1,0,9,148,12,3,14,1,4
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Stadsdeelkantoor Loosduinen,0518::SB109,,1616,1393,3,8,0,1,0,1264,141,0,0,0,1,0,0,1405,131,364,97,92,45,127,138,92,3,39,9,3,42,192,15,1,2,1,0
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau WoonZorgPark Loosduinen,0518::SB111,,1591,543,0,0,0,0,0,497,46,0,0,0,0,0,0,543,43,109,33,52,12,91,39,43,1,20,0,0,18,69,10,1,1,1,0
