contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),VVD,SP (Socialistische Partij),GROENLINKS,Partij voor de Dieren,CDA,Partij van de Ouderen (P.v.d.O.),DENK,Platform Amsterdam,destemvandestraat,Piratenpartij Amsterdam,Staatkundig Gereformeerde Partij (SGP),Forum voor Democratie,U-Buntu Connected Front UCF,Basisinkomen Partij (BIpartij),"blanco (van Oudenallen, H.F.M.)",Partij voor Iedereen,ChristenUnie,Amsterdam BIJ1,SAMEN Alle Mensen Één Nederland (SAMEN),Anti-Scooter Partij,Blije Burgers,Carryonthemove,QUEER,50PLUS,De Republikeinse Politieke Partij,28
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Stadhuis,0363::SB1,,720,763,5,5,0,5,0,697,71,0,5,0,0,0,768,112,87,76,99,194,79,13,6,5,0,1,12,1,39,0,0,0,1,15,13,2,1,0,0,2,5,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Stadhuis,0363::SB2,,740,697,1,4,0,0,0,645,57,0,0,0,0,0,702,114,83,68,64,187,53,17,8,16,0,0,13,1,36,0,1,0,0,14,16,0,1,0,1,2,2,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Universiteitsbibliotheek Amsterdam,0363::SB3,,529,677,2,3,0,0,0,608,74,0,0,0,0,0,682,164,69,122,33,125,59,21,0,8,0,2,8,0,29,1,2,4,1,9,13,3,2,0,0,0,2,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Leger des Heils,0363::SB4,,1602,800,2,6,1,0,0,755,54,0,0,1,0,0,809,118,94,86,59,214,75,19,9,2,0,2,19,2,53,1,0,0,0,19,14,2,1,0,2,0,6,1,2
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau De Keyzer,0363::SB5,,920,765,5,10,2,0,0,697,70,0,13,0,0,0,767,116,102,67,63,211,63,11,10,29,1,0,12,0,33,4,0,0,1,14,16,1,1,2,0,2,5,0,1
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau OBS De Witte Olifant,0363::SB6,,1094,991,1,7,0,1,0,957,43,0,0,1,0,0,1000,145,133,81,93,294,109,16,13,3,0,2,15,2,44,0,2,0,2,3,16,7,1,0,0,2,8,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Voormalige Stadstimmertuin,0363::SB7,,926,601,1,1,0,0,0,553,50,0,0,0,0,0,603,125,67,84,45,137,48,9,7,5,3,0,9,0,33,0,2,2,0,11,10,0,2,0,0,0,2,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau OBS De Witte Olifant,0363::SB8,,867,645,2,1,0,2,0,600,46,0,2,0,0,0,646,97,95,46,56,190,64,14,5,1,1,1,19,1,21,2,2,0,0,7,14,3,0,0,0,1,5,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Brandweerkazerne Marnix,0363::SB9,,1395,816,5,5,0,4,0,762,60,0,4,0,0,0,822,154,96,121,56,178,90,9,9,11,0,4,12,0,47,0,2,2,0,3,9,2,1,1,0,0,8,0,1
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Burghtschool,0363::SB10,,1247,824,3,5,0,4,0,758,78,0,0,4,0,0,836,171,93,164,43,158,72,30,8,0,0,2,18,0,43,1,0,1,0,7,4,3,2,1,0,0,2,1,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Ouder-Kind teams Amsterdam,0363::SB11,,1136,553,0,2,0,0,0,502,53,0,0,0,0,0,555,102,80,52,42,160,44,15,3,10,1,0,11,1,18,0,0,0,0,7,5,2,0,0,0,0,0,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Theo Thijssenschool,0363::SB12,,1166,1005,4,8,0,1,0,941,77,0,0,1,0,0,1018,128,139,112,117,237,95,25,25,2,0,6,19,1,55,0,2,0,0,3,20,0,0,2,0,2,13,0,2
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Korfbalvereniging Swift,0363::SB13,,1284,1170,4,3,0,4,0,1079,94,0,4,0,0,0,1173,224,202,143,88,273,98,27,26,1,0,1,15,2,33,0,1,0,0,7,12,1,0,3,0,2,11,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Gymzaal,0363::SB15,,1216,553,3,3,3,0,0,529,27,0,3,0,0,0,556,78,82,48,52,120,58,7,16,6,0,3,8,0,43,1,1,1,0,5,8,0,3,0,0,1,12,0,0
