contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Democraten 66 (D66),Gemeentebelangen Berkelland,VVD,Partij van de Arbeid (P.v.d.A.),OBL (Ondernemend Berkelland),GROENLINKS
,Berkelland,GR2018_Berkelland,Gemeenteraad Berkelland 2018,1859,Berkelland,2018-03-21,Stembureau Gemeentehuis,1859::SB1,7271 AX,1180,922,3,1,0,0,0,855,71,0,0,0,0,0,926,172,102,300,122,69,61,96
,Berkelland,GR2018_Berkelland,Gemeenteraad Berkelland 2018,1859,Berkelland,2018-03-21,Stembureau Zorgcentrum J.W. Andriessen,1859::SB2,7271 EZ,1278,785,0,1,0,0,0,729,57,0,0,0,0,0,786,121,80,310,110,74,24,66
,Berkelland,GR2018_Berkelland,Gemeenteraad Berkelland 2018,1859,Berkelland,2018-03-21,Stembureau School Noord,1859::SB3,7271 XH,1544,861,3,3,0,0,0,789,78,0,0,0,0,0,867,114,119,330,121,57,35,85
,Berkelland,GR2018_Berkelland,Gemeenteraad Berkelland 2018,1859,Berkelland,2018-03-21,Stembureau H.W. Heuvelschool,1859::SB4,7271 GD,1477,945,2,2,0,0,0,867,82,0,0,0,0,0,949,137,99,335,184,63,56,71
,Berkelland,GR2018_Berkelland,Gemeenteraad Berkelland 2018,1859,Berkelland,2018-03-21,Stembureau Kiezel en Kei School,1859::SB5,7271 HB,773,482,1,5,0,0,0,452,36,0,0,0,0,0,488,70,49,197,50,32,24,60
,Berkelland,GR2018_Berkelland,Gemeenteraad Berkelland 2018,1859,Berkelland,2018-03-21,Stembureau Dorpshuis De Zunnekamp,1859::SB6,7274 AX,1031,769,4,2,0,0,0,699,76,0,0,0,0,0,775,227,77,135,220,24,20,66
,Berkelland,GR2018_Berkelland,Gemeenteraad Berkelland 2018,1859,Berkelland,2018-03-21,Stembureau Dorpshoes Gelster,1859::SB7,7275 AH,537,396,0,0,0,0,0,362,34,0,0,0,0,0,396,165,35,62,74,17,11,32
,Berkelland,GR2018_Berkelland,Gemeenteraad Berkelland 2018,1859,Berkelland,2018-03-21,Stembureau Kulturhus 't Stieltjen,1859::SB8,7273 SL,571,432,1,2,0,0,0,408,27,0,0,0,0,0,435,134,50,72,68,33,25,50
,Berkelland,GR2018_Berkelland,Gemeenteraad Berkelland 2018,1859,Berkelland,2018-03-21,Stembureau Kerst Zwartschool,1859::SB9,7261 GH,1225,720,1,0,0,1,0,659,63,0,0,1,0,0,722,113,99,182,140,55,45,86
,Berkelland,GR2018_Berkelland,Gemeenteraad Berkelland 2018,1859,Berkelland,2018-03-21,Stembureau Wooncentrum De Bundeling,1859::SB10,7261 BE,1254,764,6,3,0,3,0,711,65,0,0,3,0,0,776,174,81,151,149,67,53,89
,Berkelland,GR2018_Berkelland,Gemeenteraad Berkelland 2018,1859,Berkelland,2018-03-21,Stembureau OBS De Driesprong,1859::SB11,7261 SN,1094,601,0,0,0,0,0,555,46,0,0,0,0,0,601,168,46,78,203,22,26,58
,Berkelland,GR2018_Berkelland,Gemeenteraad Berkelland 2018,1859,Berkelland,2018-03-21,Stembureau CBS WonderWijs,1859::SB12,7261 XW,1324,742,2,3,0,0,0,689,58,0,0,0,0,0,747,142,101,196,85,87,45,86
,Berkelland,GR2018_Berkelland,Gemeenteraad Berkelland 2018,1859,Berkelland,2018-03-21,Stembureau Zalencentrum de Huve,1859::SB13,7151 BD,1765,1035,5,1,0,0,0,951,89,0,1,0,0,0,1040,231,151,128,118,199,85,123
,Berkelland,GR2018_Berkelland,Gemeenteraad Berkelland 2018,1859,Berkelland,2018-03-21,Stembureau Woonzorgcentrum de Meergaarden,1859::SB14,7151 DW,1270,915,8,2,0,0,0,854,72,1,0,1,0,0,926,195,152,148,75,168,87,90
,Berkelland,GR2018_Berkelland,Gemeenteraad Berkelland 2018,1859,Berkelland,2018-03-21,Stembureau RK Basisschool De Regenboog,1859::SB15,7151 XV,1495,870,8,2,0,0,0,821,59,0,0,0,0,0,880,148,119,135,88,186,75,119
,Berkelland,GR2018_Berkelland,Gemeenteraad Berkelland 2018,1859,Berkelland,2018-03-21,Stembureau RK Basisschool de Schakel,1859::SB16,7152 BG,1438,899,4,0,0,0,0,822,81,0,0,0,0,0,903,182,192,142,107,116,72,88
,Berkelland,GR2018_Berkelland,Gemeenteraad Berkelland 2018,1859,Berkelland,2018-03-21,Stembureau Centrum Goud,1859::SB17,7152 BA,1373,711,2,1,0,0,0,650,64,0,0,0,0,0,714,175,101,87,85,125,52,86
,Berkelland,GR2018_Berkelland,Gemeenteraad Berkelland 2018,1859,Berkelland,2018-03-21,Stembureau Centrum d'n Hof,1859::SB18,7157 AL,1234,771,1,1,0,0,0,692,81,0,0,0,0,0,773,297,98,71,127,46,54,78
,Berkelland,GR2018_Berkelland,Gemeenteraad Berkelland 2018,1859,Berkelland,2018-03-21,Stembureau Woonzorgcentrum De Hassinkhof,1859::SB19,7156 LL,1069,620,2,2,0,0,0,573,51,0,0,0,0,0,624,456,40,26,42,16,22,18
,Berkelland,GR2018_Berkelland,Gemeenteraad Berkelland 2018,1859,Berkelland,2018-03-21,Stembureau Kulturhus Beltrum,1859::SB20,7156 MG,1253,951,2,2,0,0,0,881,74,0,0,0,0,0,955,695,44,59,74,12,31,36
,Berkelland,GR2018_Berkelland,Gemeenteraad Berkelland 2018,1859,Berkelland,2018-03-21,Stembureau De Hofmaat,1859::SB21,7161 GM,1388,871,6,4,0,0,0,822,59,0,0,0,0,0,881,127,251,159,89,97,61,87
,Berkelland,GR2018_Berkelland,Gemeenteraad Berkelland 2018,1859,Berkelland,2018-03-21,Stembureau Het Assink Lyceum,1859::SB22,7161 CR,1305,696,3,2,0,0,0,624,77,0,0,0,0,0,701,125,242,89,99,49,41,51
,Berkelland,GR2018_Berkelland,Gemeenteraad Berkelland 2018,1859,Berkelland,2018-03-21,Stembureau OBS De Hofmaat,1859::SB23,7161 JH,1454,795,7,4,0,0,0,740,66,0,0,0,0,0,806,113,226,118,108,91,81,58
,Berkelland,GR2018_Berkelland,Gemeenteraad Berkelland 2018,1859,Berkelland,2018-03-21,Stembureau Kard. Alfrinkschool,1859::SB24,7161 WP,1380,720,0,3,0,0,0,664,59,0,0,0,0,0,723,130,228,106,87,62,60,47
,Berkelland,GR2018_Berkelland,Gemeenteraad Berkelland 2018,1859,Berkelland,2018-03-21,Stembureau Basisschool de Marke,1859::SB25,7161 XZ,1392,837,3,3,0,0,0,781,62,0,0,0,0,0,843,170,244,117,103,70,54,79
,Berkelland,GR2018_Berkelland,Gemeenteraad Berkelland 2018,1859,Berkelland,2018-03-21,Stembureau Dorpsaccommodatie Rietmolen,1859::SB26,7165 AL,820,550,0,1,0,0,0,499,52,0,0,0,0,0,551,365,44,21,44,11,42,23
