contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,LIBERAAL BLOEMENDAAL,Democraten 66 (D66),CDA,GROENLINKS,Partij van de Arbeid (P.v.d.A.),Vrijzinnig Democratisch B'daal (VDB),Hart voor Bloemendaal
,Bloemendaal,GR2018_Bloemendaal,Gemeenteraad Bloemendaal 2018,0377,Bloemendaal,2018-03-21,Stembureau Gemeentehuis,0377::SB1,2051 GJ,1632,1122,6,3,0,0,0,1008,120,0,3,0,0,0,1128,272,68,174,90,224,81,109,104
,Bloemendaal,GR2018_Bloemendaal,Gemeenteraad Bloemendaal 2018,0377,Bloemendaal,2018-03-21,Stembureau Centrum voor Jeugd en Gezin,0377::SB2,2061 HW,1168,707,4,2,0,0,0,707,6,0,0,0,0,0,713,159,51,108,57,126,60,51,95
,Bloemendaal,GR2018_Bloemendaal,Gemeenteraad Bloemendaal 2018,0377,Bloemendaal,2018-03-21,Stembureau Zorglocatie Wildhoef,0377::SB3,2061 JZ,1642,879,1,2,0,0,0,787,95,0,0,0,0,0,882,202,59,147,97,156,50,69,99
,Bloemendaal,GR2018_Bloemendaal,Gemeenteraad Bloemendaal 2018,0377,Bloemendaal,2018-03-21,Stembureau Woonzorgcentrum De Rijp,0377::SB4,2061 SC,1792,1218,5,3,0,0,0,1079,147,0,0,0,0,0,1226,331,72,214,151,198,79,61,112
,Bloemendaal,GR2018_Bloemendaal,Gemeenteraad Bloemendaal 2018,0377,Bloemendaal,2018-03-21,Stembureau Bloemendaalse Schoolvereniging,0377::SB5,2061 BB,502,484,2,0,0,0,0,413,73,0,0,0,0,0,486,219,27,69,31,40,13,34,51
,Bloemendaal,GR2018_Bloemendaal,Gemeenteraad Bloemendaal 2018,0377,Bloemendaal,2018-03-21,Stembureau Gebouw Tinholt,0377::SB6,2051 LA,1547,1282,3,2,0,0,0,1133,154,0,0,0,0,0,1287,291,63,227,97,324,92,98,90
,Bloemendaal,GR2018_Bloemendaal,Gemeenteraad Bloemendaal 2018,0377,Bloemendaal,2018-03-21,Stembureau Vondelschool,0377::SB7,2111 CJ,1181,924,0,0,0,0,0,822,102,0,0,0,0,0,924,290,105,152,62,128,43,82,62
,Bloemendaal,GR2018_Bloemendaal,Gemeenteraad Bloemendaal 2018,0377,Bloemendaal,2018-03-21,Stembureau De Nieuwe Kring,0377::SB8,2111 AS,1208,811,2,3,0,0,0,689,127,0,0,0,0,0,816,316,57,113,74,95,41,58,57
,Bloemendaal,GR2018_Bloemendaal,Gemeenteraad Bloemendaal 2018,0377,Bloemendaal,2018-03-21,Stembureau Adventskerk,0377::SB9,2111 HA,1100,725,0,0,0,0,0,605,120,0,0,0,0,0,725,291,49,103,108,40,12,73,49
,Bloemendaal,GR2018_Bloemendaal,Gemeenteraad Bloemendaal 2018,0377,Bloemendaal,2018-03-21,Stembureau De Voghelsanck,0377::SB10,2114 ES,883,518,0,1,0,0,0,471,48,0,0,0,0,0,519,66,18,51,236,36,45,10,56
,Bloemendaal,GR2018_Bloemendaal,Gemeenteraad Bloemendaal 2018,0377,Bloemendaal,2018-03-21,Stembureau Dorpshuis Vogelenzang,0377::SB11,2114 ER,922,605,1,0,0,0,0,550,56,0,0,0,0,0,606,55,16,51,222,98,51,21,91
,Bloemendaal,GR2018_Bloemendaal,Gemeenteraad Bloemendaal 2018,0377,Bloemendaal,2018-03-21,Stembureau Sparrenbosschool,0377::SB12,2121 BB,1016,600,3,3,0,2,0,539,69,0,0,2,0,0,608,174,38,79,58,81,27,22,121
,Bloemendaal,GR2018_Bloemendaal,Gemeenteraad Bloemendaal 2018,0377,Bloemendaal,2018-03-21,Stembureau Het Trefpunt,0377::SB13,2121 AJ,1156,785,3,1,0,0,0,701,87,0,1,0,0,0,788,166,46,61,151,118,69,14,160
,Bloemendaal,GR2018_Bloemendaal,Gemeenteraad Bloemendaal 2018,0377,Bloemendaal,2018-03-21,Stembureau Jagershuis,0377::SB14,2121 GW,1014,468,0,0,0,0,0,438,30,0,0,0,0,0,468,83,22,47,58,92,53,3,110
,Bloemendaal,GR2018_Bloemendaal,Gemeenteraad Bloemendaal 2018,0377,Bloemendaal,2018-03-21,Stembureau Centraal Servicepunt Bennebroek,0377::SB15,2121 VE,1033,772,1,3,0,0,0,712,64,0,0,0,0,0,776,142,32,83,100,122,99,10,184
