contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,Democraten 66 (D66),Ronde Venen Belang,P.v.d.A./GROENLINKS,Lijst 8 Kernen,ChristenUnie-SGP,Senioren Partij De Ronde Venen
,De Ronde Venen,GR2018_DeRondeVenen,Gemeenteraad De Ronde Venen 2018,0736,De Ronde Venen,2018-03-21,Stembureau Gemeentehuis,0736::SB1,3641 AL,1844,1348,4,4,0,0,0,1222,133,0,1,0,0,0,1355,286,241,123,189,115,60,71,263
,De Ronde Venen,GR2018_DeRondeVenen,Gemeenteraad De Ronde Venen 2018,0736,De Ronde Venen,2018-03-21,Stembureau Bibliotheek AVV,0736::SB2,3641 JW,2151,1145,8,6,0,0,0,1059,100,0,0,0,0,0,1159,230,199,118,137,94,69,52,246
,De Ronde Venen,GR2018_DeRondeVenen,Gemeenteraad De Ronde Venen 2018,0736,De Ronde Venen,2018-03-21,Stembureau Zaal Driehuis,0736::SB3,3648 BN,2168,889,1,1,0,0,0,811,82,0,0,2,0,0,893,194,124,95,150,80,36,43,167
,De Ronde Venen,GR2018_DeRondeVenen,Gemeenteraad De Ronde Venen 2018,0736,De Ronde Venen,2018-03-21,Stembureau Verenigingsgebouw Ons Streven,0736::SB4,1427 AK,1141,622,3,3,0,0,0,571,57,0,0,0,0,0,628,178,126,41,87,75,16,28,71
,De Ronde Venen,GR2018_DeRondeVenen,Gemeenteraad De Ronde Venen 2018,0736,De Ronde Venen,2018-03-21,Stembureau De Springbok,0736::SB5,1426 AG,741,453,0,1,0,0,0,400,54,0,0,0,0,0,454,135,78,38,87,51,6,13,45
,De Ronde Venen,GR2018_DeRondeVenen,Gemeenteraad De Ronde Venen 2018,0736,De Ronde Venen,2018-03-21,Stembureau voormalig PCBS de Hoeksteen,0736::SB6,3641 ML,1455,845,4,1,0,0,0,759,91,0,0,0,0,0,850,154,140,99,128,89,32,45,158
,De Ronde Venen,GR2018_DeRondeVenen,Gemeenteraad De Ronde Venen 2018,0736,De Ronde Venen,2018-03-21,Stembureau Veenlanden College,0736::SB7,3641 XR,1520,960,4,2,0,1,0,889,78,0,0,1,0,0,967,171,205,120,155,77,30,47,155
,De Ronde Venen,GR2018_DeRondeVenen,Gemeenteraad De Ronde Venen 2018,0736,De Ronde Venen,2018-03-21,Stembureau OBS De Trekvogel,0736::SB8,3641 ZE,1955,1100,2,5,0,1,0,1012,96,0,0,1,0,0,1108,187,186,107,181,97,56,49,237
,De Ronde Venen,GR2018_DeRondeVenen,Gemeenteraad De Ronde Venen 2018,0736,De Ronde Venen,2018-03-21,Stembureau OBS Molenland,0736::SB9,3642 BS,2328,1402,3,8,0,2,0,1269,142,0,2,0,0,0,1411,303,256,174,238,130,55,55,191
,De Ronde Venen,GR2018_DeRondeVenen,Gemeenteraad De Ronde Venen 2018,0736,De Ronde Venen,2018-03-21,Stembureau Zorgcentrum Maria Oord (Hoofdingang),0736::SB10,3645 DH,1806,1059,10,0,0,1,0,957,111,0,1,0,0,0,1068,216,163,111,264,82,25,95,103
,De Ronde Venen,GR2018_DeRondeVenen,Gemeenteraad De Ronde Venen 2018,0736,De Ronde Venen,2018-03-21,Stembureau Kids College,0736::SB12,3648 HC,2130,1103,6,3,0,0,0,1002,110,0,0,0,0,0,1112,352,195,104,151,90,42,60,109
,De Ronde Venen,GR2018_DeRondeVenen,Gemeenteraad De Ronde Venen 2018,0736,De Ronde Venen,2018-03-21,Stembureau NH Verenigingsgebouw,0736::SB13,3645 DL,2003,996,4,3,0,0,0,873,130,0,0,0,0,0,1003,163,249,81,245,59,15,108,76
,De Ronde Venen,GR2018_DeRondeVenen,Gemeenteraad De Ronde Venen 2018,0736,De Ronde Venen,2018-03-21,Stembureau EHBO Gebouw Lucas,0736::SB14,3645 GR,1901,1080,1,3,0,0,0,968,116,0,0,0,0,0,1084,208,203,116,293,81,23,36,120
,De Ronde Venen,GR2018_DeRondeVenen,Gemeenteraad De Ronde Venen 2018,0736,De Ronde Venen,2018-03-21,Stembureau Verzorgingstehuis Zuiderhof,0736::SB15,3645 GE,1725,968,3,2,0,0,0,874,99,0,0,0,0,0,973,152,148,114,243,83,42,79,107
,De Ronde Venen,GR2018_DeRondeVenen,Gemeenteraad De Ronde Venen 2018,0736,De Ronde Venen,2018-03-21,Stembureau NH Gebouw De Roeping,0736::SB16,3648 AK,1612,1031,1,1,0,0,0,921,113,0,0,1,0,0,1034,378,144,54,91,75,17,181,91
