contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),Studenten Techniek In Politiek (STIP),Onafhankelijk Delft,GROENLINKS,Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),VVD,CDA,Stadsbelangen,ChristenUnie
,Delft,GR2018_Delft,Gemeenteraad Delft 2018,0503,Delft,2018-03-21,Stembureau Stadhuis,0503::SB1,2611 GS,818,1543,6,3,0,10,0,1472,90,0,0,10,0,0,1562,237,384,76,335,97,80,152,80,43,59
,Delft,GR2018_Delft,Gemeenteraad Delft 2018,0503,Delft,2018-03-21,Stembureau Max Havelaarschool,0503::SB2,2611 JR,2160,1568,11,2,0,1,0,1459,123,0,0,1,0,0,1582,279,221,96,329,138,86,192,117,47,63
,Delft,GR2018_Delft,Gemeenteraad Delft 2018,0503,Delft,2018-03-21,Stembureau Jenaplanschool De Oostpoort,0503::SB3,2611 SN,1803,1051,6,3,0,0,0,969,91,0,0,0,0,0,1060,173,178,57,236,83,71,95,70,39,49
,Delft,GR2018_Delft,Gemeenteraad Delft 2018,0503,Delft,2018-03-21,Stembureau De Zuster,0503::SB4,2611 BN,1713,826,2,2,0,5,0,782,53,0,0,5,0,0,835,103,137,73,166,59,57,90,67,45,29
,Delft,GR2018_Delft,Gemeenteraad Delft 2018,0503,Delft,2018-03-21,Stembureau Gemeente Delft KCC,0503::SB5,2611 BV,1516,1578,14,9,0,0,0,1515,86,0,0,0,0,0,1601,228,449,63,350,94,67,131,82,32,82
,Delft,GR2018_Delft,Gemeenteraad Delft 2018,0503,Delft,2018-03-21,"Stembureau Gemeente Delft, Stadhuis",0503::SB6,2611 GS,817,1611,8,11,0,9,3,1528,90,0,9,0,0,0,1621,268,437,81,345,80,76,144,66,46,68
,Delft,GR2018_Delft,Gemeenteraad Delft 2018,0503,Delft,2018-03-21,Stembureau VAK Delft,0503::SB7,2611 AX,1473,644,1,4,0,0,0,607,43,0,0,1,0,0,650,115,134,28,138,51,20,70,41,23,24
,Delft,GR2018_Delft,Gemeenteraad Delft 2018,0503,Delft,2018-03-21,Stembureau Locatie Crommelinplein1,0503::SB8,2627 BM,1032,680,3,0,0,1,0,618,66,0,0,1,0,0,684,87,62,76,119,62,57,72,63,38,44
,Delft,GR2018_Delft,Gemeenteraad Delft 2018,0503,Delft,2018-03-21,Stembureau Wijkcentrum De Parel,0503::SB9,2614 HE,1946,933,8,3,0,0,0,853,85,0,1,0,0,0,938,113,64,111,108,87,72,105,130,71,72
,Delft,GR2018_Delft,Gemeenteraad Delft 2018,0503,Delft,2018-03-21,Stembureau Het Kristal,0503::SB10,2614 SH,1440,736,5,0,0,0,0,683,58,0,0,0,0,0,741,105,50,71,113,51,35,124,84,39,64
,Delft,GR2018_Delft,Gemeenteraad Delft 2018,0503,Delft,2018-03-21,Stembureau Basisschool Het Mozaïek,0503::SB11,2614 EP,2046,760,2,3,0,0,0,714,55,4,0,4,0,0,769,122,60,112,112,63,82,54,76,33,46
,Delft,GR2018_Delft,Gemeenteraad Delft 2018,0503,Delft,2018-03-21,Stembureau Gebouw Het Westlandhof,0503::SB12,2614 HX,1938,1078,8,4,0,8,0,1080,2,0,8,0,0,0,1082,153,81,160,124,90,66,136,142,68,58
