contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Stadspartij Den Helder,VVD,Democraten 66 (D66),CDA,Helder Onafhankelijk!,Partij van de Arbeid (P.v.d.A.),ChristenUnie,GROENLINKS,Behoorlijk Bestuur,Vrije Socialisten,Beter voor Den Helder,GEMEENTEBELANGEN DEN HELDER,Sociaal Lokaal Den Helder,SENIORENPARTIJ,PVV (Partij voor de Vrijheid)
,Den Helder,GR2018_DenHelder,Gemeenteraad Den Helder 2018,0400,Den Helder,2018-02-05,"Stembureau ""Bethelkerk""",0400::SB1,,1306,618,5,5,0,1,0,577,52,0,0,1,0,0,629,57,49,38,65,21,47,34,37,32,17,80,15,14,49,63
,Den Helder,GR2018_DenHelder,Gemeenteraad Den Helder 2018,0400,Den Helder,2018-02-05,"Stembureau ""Bethelkerk""",0400::SB2,,1270,616,8,3,0,0,0,573,54,0,0,0,0,0,627,40,63,34,85,15,55,46,29,20,10,93,15,14,37,60
,Den Helder,GR2018_DenHelder,Gemeenteraad Den Helder 2018,0400,Den Helder,2018-02-05,"Stembureau Buurthuis Centrum,",0400::SB3,,1328,581,7,6,0,0,0,542,53,0,0,1,0,1,595,65,56,39,38,12,52,28,32,20,5,94,16,25,34,65
,Den Helder,GR2018_DenHelder,Gemeenteraad Den Helder 2018,0400,Den Helder,2018-02-05,"Stembureau Buurtvereniging ""t Kraaiennest""",0400::SB4,,1762,819,3,6,0,1,0,761,66,0,1,0,0,0,827,53,78,55,53,16,62,63,52,50,13,136,21,16,73,78
,Den Helder,GR2018_DenHelder,Gemeenteraad Den Helder 2018,0400,Den Helder,2018-02-05,Stembureau Triade,0400::SB5,,1095,625,1,3,0,0,0,581,48,0,0,0,0,0,629,26,69,72,98,9,48,54,20,29,3,119,6,11,30,31
,Den Helder,GR2018_DenHelder,Gemeenteraad Den Helder 2018,0400,Den Helder,2018-02-05,"Stembureau Buurtvereniging ""ELTO""",0400::SB6,,1513,704,3,4,0,0,0,645,66,0,0,0,0,0,711,69,39,44,49,12,66,56,24,40,5,142,18,11,47,82
,Den Helder,GR2018_DenHelder,Gemeenteraad Den Helder 2018,0400,Den Helder,2018-02-05,"Stembureau Buurthuis ""De Viskom""",0400::SB7,,1290,594,1,3,0,0,0,542,56,0,0,0,0,0,598,76,51,31,44,17,32,45,20,31,3,106,24,16,26,72
,Den Helder,GR2018_DenHelder,Gemeenteraad Den Helder 2018,0400,Den Helder,2018-02-05,"Stembureau Buurthuis ""De Overzet""",0400::SB8,,1398,664,2,2,0,0,0,604,64,0,0,0,0,0,668,43,66,46,111,16,41,50,20,13,6,135,7,21,49,40
,Den Helder,GR2018_DenHelder,Gemeenteraad Den Helder 2018,0400,Den Helder,2018-02-05,"Stembureau Dorpshuis Huisduinen,",0400::SB9,,474,388,2,1,0,0,0,366,25,0,0,0,0,0,391,1,105,47,60,2,27,22,19,9,5,54,3,0,14,20
,Den Helder,GR2018_DenHelder,Gemeenteraad Den Helder 2018,0400,Den Helder,2018-02-05,"Stembureau Zorgcentrum ""de Groene Vecht""",0400::SB10,,1796,733,5,0,0,1,0,678,61,0,0,1,0,0,739,42,84,56,89,9,47,46,42,32,6,102,26,28,44,80
,Den Helder,GR2018_DenHelder,Gemeenteraad Den Helder 2018,0400,Den Helder,2018-02-05,"Stembureau Amateur tuindersver. ""Texelstroom""",0400::SB11,,1862,879,4,3,0,0,0,802,84,0,0,0,0,0,886,45,81,62,121,10,45,86,41,33,11,152,14,29,77,72
,Den Helder,GR2018_DenHelder,Gemeenteraad Den Helder 2018,0400,Den Helder,2018-02-05,Stembureau Bibliotheek Den Helder School 7,0400::SB12,,1331,518,2,6,0,0,0,494,32,0,0,0,0,0,526,51,50,38,55,16,37,27,37,21,8,82,14,21,29,32
,Den Helder,GR2018_DenHelder,Gemeenteraad Den Helder 2018,0400,Den Helder,2018-02-05,"Stembureau Muziekvereniging ""Winnubst""",0400::SB13,,1602,836,5,6,0,0,0,784,63,0,0,0,0,0,847,41,92,60,133,11,62,43,56,32,10,130,18,19,79,50
,Den Helder,GR2018_DenHelder,Gemeenteraad Den Helder 2018,0400,Den Helder,2018-02-05,"Stembureau MFC ""t Wijkhuis""",0400::SB14,,1991,718,4,14,0,0,0,671,65,0,0,0,0,0,736,71,59,35,68,22,47,70,39,27,13,89,14,33,60,71
,Den Helder,GR2018_DenHelder,Gemeenteraad Den Helder 2018,0400,Den Helder,2018-02-05,"Stembureau Buurthuis ""Zuid-Ooster""",0400::SB15,,1957,946,3,1,0,0,0,870,80,0,0,0,0,0,950,54,103,82,133,16,45,80,44,34,8,171,15,29,74,58
,Den Helder,GR2018_DenHelder,Gemeenteraad Den Helder 2018,0400,Den Helder,2018-02-05,"Stembureau Gebouw tennispark naast sporth ""De Brug""",0400::SB16,,1856,855,1,3,0,2,0,785,76,0,0,2,0,0,861,68,116,67,88,18,32,46,17,34,4,206,14,12,88,45
,Den Helder,GR2018_DenHelder,Gemeenteraad Den Helder 2018,0400,Den Helder,2018-02-05,"Stembureau MFC ""De Boerderij""",0400::SB17,,1443,649,4,2,0,1,0,608,48,0,0,1,0,0,656,56,53,31,75,5,48,43,15,28,7,117,17,9,86,59
,Den Helder,GR2018_DenHelder,Gemeenteraad Den Helder 2018,0400,Den Helder,2018-02-05,"Stembureau Baptistengemeente ""Het Lichtbaken""",0400::SB18,,1620,841,3,4,0,0,0,784,64,0,0,0,0,0,848,49,79,39,115,11,71,65,34,33,6,157,23,7,93,59
,Den Helder,GR2018_DenHelder,Gemeenteraad Den Helder 2018,0400,Den Helder,2018-02-05,"Stembureau MFC ""De Boerderij""",0400::SB19,,1437,611,2,4,0,0,0,570,47,0,0,0,0,0,617,44,42,23,96,16,52,41,15,18,6,117,13,8,66,54
,Den Helder,GR2018_DenHelder,Gemeenteraad Den Helder 2018,0400,Den Helder,2018-02-05,Stembureau De Vredeskerk,0400::SB20,,1557,964,8,5,0,0,0,872,103,0,2,0,2,0,975,40,119,46,137,19,78,54,30,37,12,173,34,12,82,91
,Den Helder,GR2018_DenHelder,Gemeenteraad Den Helder 2018,0400,Den Helder,2018-02-05,"Stembureau Woon- en zorgcentrum ""Buitenveld""",0400::SB21,,1535,910,3,2,0,2,0,824,93,0,0,2,0,0,917,49,161,61,265,7,46,39,31,13,3,70,26,8,64,67
,Den Helder,GR2018_DenHelder,Gemeenteraad Den Helder 2018,0400,Den Helder,2018-02-05,"Stembureau MFC ""'t Dorpshuis""",0400::SB22,,1728,828,8,6,0,0,0,773,69,0,0,0,0,0,842,56,103,65,107,9,37,47,50,30,6,116,51,19,74,58
,Den Helder,GR2018_DenHelder,Gemeenteraad Den Helder 2018,0400,Den Helder,2018-02-05,Stembureau Gymzaal Vogelzand,0400::SB23,,1323,670,2,2,0,0,0,615,59,0,0,0,0,0,674,32,108,74,108,9,46,37,36,12,6,96,29,8,33,36
,Den Helder,GR2018_DenHelder,Gemeenteraad Den Helder 2018,0400,Den Helder,2018-02-05,Stembureau Gymzaal Vogelzand,0400::SB24,,1340,723,3,3,0,0,0,653,76,0,0,0,0,0,729,45,133,75,114,11,35,39,33,24,3,105,20,6,30,50
,Den Helder,GR2018_DenHelder,Gemeenteraad Den Helder 2018,0400,Den Helder,2018-02-05,"Stembureau Basisschool ""De Hofstee""",0400::SB25,,1510,664,2,4,0,0,0,602,68,0,0,0,0,0,670,68,88,41,85,14,22,48,34,19,7,91,43,12,38,54
,Den Helder,GR2018_DenHelder,Gemeenteraad Den Helder 2018,0400,Den Helder,2018-02-05,"Stembureau Basisschool ""De Hofstee""",0400::SB26,,1528,696,1,3,0,0,0,622,78,0,0,0,0,0,700,58,89,55,89,20,33,52,43,25,15,106,27,9,24,51
,Den Helder,GR2018_DenHelder,Gemeenteraad Den Helder 2018,0400,Den Helder,2018-02-05,"Stembureau Wijksteunpunt ""De Verbinding""",0400::SB27,,1353,562,7,2,0,1,0,511,59,0,1,0,0,0,570,33,114,68,97,10,9,40,15,18,6,67,22,6,28,29
,Den Helder,GR2018_DenHelder,Gemeenteraad Den Helder 2018,0400,Den Helder,2018-02-05,"Stembureau Verenigingsgebouw ""De Jutter""",0400::SB28,,1242,514,4,1,0,0,0,466,53,0,0,0,0,0,519,51,33,35,42,9,33,30,31,30,11,96,5,16,39,53
,Den Helder,GR2018_DenHelder,Gemeenteraad Den Helder 2018,0400,Den Helder,2018-02-05,"Stembureau Algemene Basisschool ""Comenius""",0400::SB29,,1428,705,5,2,0,0,0,631,81,0,0,0,0,0,712,29,171,77,89,17,41,40,35,23,7,83,11,7,31,44
,Den Helder,GR2018_DenHelder,Gemeenteraad Den Helder 2018,0400,Den Helder,2018-02-05,"Stembureau Dansschool ""Corma""",0400::SB30,,1024,483,0,3,0,1,0,447,40,0,0,1,0,0,487,30,49,44,59,5,31,39,42,15,5,97,4,15,20,28
,Den Helder,GR2018_DenHelder,Gemeenteraad Den Helder 2018,0400,Den Helder,2018-02-05,"Stembureau Wijksteunpunt ""De Verbinding""",0400::SB31,,1359,611,1,1,0,1,0,554,60,0,0,1,0,0,614,31,142,51,89,6,30,42,27,23,5,80,27,4,16,38
,Den Helder,GR2018_DenHelder,Gemeenteraad Den Helder 2018,0400,Den Helder,2018-02-05,Stembureau Stadhuis Den Helder,0400::SB32,,0,275,2,0,0,0,0,251,26,0,0,0,0,0,277,11,42,31,41,4,17,18,11,6,5,38,13,5,15,18
