contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,LIJST SAMENWERKING,CDA,Democraten Echt-Susteren,Partij Nieuw Echt-Susteren (PNES),GROENLINKS,Partij van de Arbeid (P.v.d.A.)
,Echt-Susteren,GR2018_EchtSusteren,Gemeenteraad Echt-Susteren 2018,1711,Echt-Susteren,2018-03-21,Stembureau Stadhuis,1711::SB1,,1649,1525,9,5,0,0,0,1306,234,0,0,1,0,1,1540,391,255,72,612,111,84
,Echt-Susteren,GR2018_EchtSusteren,Gemeenteraad Echt-Susteren 2018,1711,Echt-Susteren,2018-03-21,Stembureau Talenthouse Echt,1711::SB2,,1812,840,6,7,0,0,0,717,137,1,0,1,0,0,854,198,147,34,378,57,26
,Echt-Susteren,GR2018_EchtSusteren,Gemeenteraad Echt-Susteren 2018,1711,Echt-Susteren,2018-03-21,Stembureau Zorgcentrum De Egthe,1711::SB3,,1455,687,8,1,0,0,0,605,91,0,0,0,0,0,696,171,93,27,303,61,32
,Echt-Susteren,GR2018_EchtSusteren,Gemeenteraad Echt-Susteren 2018,1711,Echt-Susteren,2018-03-21,Stembureau Buurthuis St. Joris,1711::SB4,,1482,863,5,6,0,0,0,872,2,0,0,0,0,0,874,216,146,34,337,88,42
,Echt-Susteren,GR2018_EchtSusteren,Gemeenteraad Echt-Susteren 2018,1711,Echt-Susteren,2018-03-21,Stembureau Buurthuis Blomehoaf,1711::SB5,,1578,558,2,1,0,0,0,503,58,0,0,0,0,0,561,202,82,28,189,38,19
,Echt-Susteren,GR2018_EchtSusteren,Gemeenteraad Echt-Susteren 2018,1711,Echt-Susteren,2018-03-21,Stembureau Clublokaal De Ster,1711::SB6,,1885,1140,9,4,0,0,0,993,160,0,0,0,0,0,1153,378,224,67,327,74,70
,Echt-Susteren,GR2018_EchtSusteren,Gemeenteraad Echt-Susteren 2018,1711,Echt-Susteren,2018-03-21,Stembureau Basisschool Patricius,1711::SB7,,1409,682,10,5,0,0,0,584,113,0,0,0,0,0,697,244,128,52,176,48,34
,Echt-Susteren,GR2018_EchtSusteren,Gemeenteraad Echt-Susteren 2018,1711,Echt-Susteren,2018-03-21,Stembureau Clubgebouw Slekker Boys,1711::SB8,,834,551,4,2,0,0,0,480,76,0,1,0,1,0,556,161,77,135,117,44,17
,Echt-Susteren,GR2018_EchtSusteren,Gemeenteraad Echt-Susteren 2018,1711,Echt-Susteren,2018-03-21,Stembureau Gemeenschapshuis 't Patronaat,1711::SB9,,1214,788,7,3,0,0,0,698,100,0,0,0,0,0,798,355,204,36,136,41,16
,Echt-Susteren,GR2018_EchtSusteren,Gemeenteraad Echt-Susteren 2018,1711,Echt-Susteren,2018-03-21,Stembureau Scoutinghome,1711::SB10,,1366,885,4,6,0,0,0,759,136,0,0,0,0,0,895,395,385,11,57,28,9
