contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,ChristenUnie,Algemeen Belang,Staatkundig Gereformeerde Partij (SGP),CDA,Elburg Beleid,VVD,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.)
,Elburg,GR2018_Elburg,Gemeenteraad Elburg 2018,0230,Elburg,2018-03-21,Stembureau Gemeentehuis Oostendorp,0230::SB1,8081 LA,1565,1084,2,5,0,0,0,973,118,0,0,0,0,0,1091,270,189,136,177,118,120,28,46
,Elburg,GR2018_Elburg,Gemeenteraad Elburg 2018,0230,Elburg,2018-03-21,Stembureau Kulturhus 't Huiken,0230::SB3,8081 VS,1782,1250,3,4,0,0,0,1255,3,0,0,1,0,0,1258,287,246,73,184,173,155,46,86
,Elburg,GR2018_Elburg,Gemeenteraad Elburg 2018,0230,Elburg,2018-03-21,Stembureau Muziekschool De Spelerij,0230::SB4,8081 JS,1676,1148,5,1,0,0,0,1053,101,0,0,0,0,0,1154,275,175,91,137,174,176,29,91
,Elburg,GR2018_Elburg,Gemeenteraad Elburg 2018,0230,Elburg,2018-03-21,Stembureau Verpleeghuis De Voord,0230::SB5,8081 DL,1943,1233,4,0,0,0,0,1105,132,0,0,0,0,0,1237,310,218,87,175,168,155,50,70
,Elburg,GR2018_Elburg,Gemeenteraad Elburg 2018,0230,Elburg,2018-03-21,Stembureau Dorpshuis De Deel,0230::SB6,8085 AP,1995,1111,7,3,0,0,0,993,127,0,1,0,0,0,1120,209,272,434,75,24,66,14,17
,Elburg,GR2018_Elburg,Gemeenteraad Elburg 2018,0230,Elburg,2018-03-21,Stembureau Dorpshuis Ons Huus,0230::SB7,8085 PE,1518,902,1,2,0,0,0,805,99,0,1,0,0,0,904,162,255,293,53,28,68,24,19
,Elburg,GR2018_Elburg,Gemeenteraad Elburg 2018,0230,Elburg,2018-03-21,Stembureau Wijkontmoetingscentrum Jeanne d'Arc,0230::SB8,8084 VP,1619,912,1,4,0,0,0,844,73,0,0,0,0,0,917,208,138,73,160,31,174,55,73
,Elburg,GR2018_Elburg,Gemeenteraad Elburg 2018,0230,Elburg,2018-03-21,Stembureau Zorgcentrum Mariposa,0230::SB9,8084 VB,1751,1144,7,3,0,0,0,1052,102,0,0,0,0,0,1154,295,205,117,138,41,190,49,109
,Elburg,GR2018_Elburg,Gemeenteraad Elburg 2018,0230,Elburg,2018-03-21,Stembureau M.F.C. Aperloo,0230::SB10,8084 PH,1613,1048,5,4,0,0,0,953,104,0,0,0,0,0,1057,243,213,120,153,35,165,49,70
,Elburg,GR2018_Elburg,Gemeenteraad Elburg 2018,0230,Elburg,2018-03-21,Stembureau Basisschool de Wildemaet,0230::SB11,8081 AN,1047,695,2,2,0,0,0,630,69,0,0,0,0,0,699,115,157,75,79,117,101,15,36
,Elburg,GR2018_Elburg,Gemeenteraad Elburg 2018,0230,Elburg,2018-03-21,Stembureau Hervormd Kerkelijk Centrum,0230::SB12,8081 CL,1128,693,7,1,0,0,0,634,67,0,0,0,0,0,701,102,104,36,108,180,108,29,26
,Elburg,GR2018_Elburg,Gemeenteraad Elburg 2018,0230,Elburg,2018-03-21,Stembureau Mobiel stembureau 1,0230::SB50,,0,536,3,0,0,0,0,495,45,0,0,1,0,0,540,110,120,167,43,13,50,10,23
