contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Algemeen Belang Groot Hulst,CDA,PROGRESSIEF HULST,Groot Hontenisse,Partij van de Arbeid (P.v.d.A.),VVD,SP (Socialistische Partij),HulstPLUS,GROENLINKS,Democraten 66 (D66)
,Hulst,GR2018_Hulst,Gemeenteraad Hulst 2018,0677,Hulst,2018-03-21,Stembureau Hal Stadhuis,0677::SB1,4561 EA,2523,1862,8,11,0,0,0,1620,261,0,0,0,0,0,1881,327,312,88,94,296,358,85,187,50,65
,Hulst,GR2018_Hulst,Gemeenteraad Hulst 2018,0677,Hulst,2018-03-21,"Stembureau St. Curamus, loc. De Blaauwe Hoeve",0677::SB2,4561 NT,1395,937,6,2,0,0,0,845,100,0,0,0,0,0,945,189,181,34,69,128,88,41,149,31,27
,Hulst,GR2018_Hulst,Gemeenteraad Hulst 2018,0677,Hulst,2018-03-21,Stembureau 't Kruispunt,0677::SB3,4561 HW,2314,1414,3,8,0,0,0,1242,182,0,1,0,0,0,1424,281,239,56,109,185,182,81,177,45,59
,Hulst,GR2018_Hulst,Gemeenteraad Hulst 2018,0677,Hulst,2018-03-21,"Stembureau Reynaertcollege, loc. Gildenstraat",0677::SB4,4561 WZ,2751,998,2,1,0,0,0,842,159,0,0,0,0,0,1001,243,133,60,71,146,133,59,77,44,32
,Hulst,GR2018_Hulst,Gemeenteraad Hulst 2018,0677,Hulst,2018-03-21,Stembureau Gemeenschapscentrum Malpertuus,0677::SB5,4567 BM,1962,907,1,13,0,1,0,763,159,0,0,1,0,0,922,210,110,29,76,160,65,44,158,30,25
,Hulst,GR2018_Hulst,Gemeenteraad Hulst 2018,0677,Hulst,2018-03-21,Stembureau Gemeenschapscentrum de Kauter,0677::SB6,4568 AB,808,332,1,3,0,0,0,285,51,0,0,0,0,0,336,98,39,13,22,44,20,20,44,15,17
,Hulst,GR2018_Hulst,Gemeenteraad Hulst 2018,0677,Hulst,2018-03-21,Stembureau Gemeenschapshuis Graauw,0677::SB7,4569 AG,783,495,6,2,0,0,0,430,73,0,0,0,0,0,503,187,61,14,37,39,22,64,24,26,21
,Hulst,GR2018_Hulst,Gemeenteraad Hulst 2018,0677,Hulst,2018-03-21,Stembureau Gemeenschapscentrum De Warande,0677::SB8,4564 AD,2842,1463,2,7,0,0,0,1261,211,0,0,0,0,0,1472,342,295,61,75,188,115,79,229,40,39
,Hulst,GR2018_Hulst,Gemeenteraad Hulst 2018,0677,Hulst,2018-03-21,Stembureau Gemeenschapscentrum 't Heike,0677::SB9,4566 AC,1080,575,1,4,0,0,0,484,96,0,0,0,0,0,580,109,201,16,23,63,57,22,63,14,7
,Hulst,GR2018_Hulst,Gemeenteraad Hulst 2018,0677,Hulst,2018-03-21,Stembureau Dorpscentrum Binnendéur,0677::SB10,4587 AG,2577,1600,4,4,0,2,0,1395,215,0,0,2,0,0,1610,659,127,31,473,52,53,81,65,37,22
,Hulst,GR2018_Hulst,Gemeenteraad Hulst 2018,0677,Hulst,2018-03-21,Stembureau Dorpscentrum De Luifel,0677::SB11,4586 AN,780,483,1,1,0,0,0,414,71,0,0,0,0,0,485,117,31,10,205,18,13,29,30,14,16
,Hulst,GR2018_Hulst,Gemeenteraad Hulst 2018,0677,Hulst,2018-03-21,Stembureau Dorpshuis Terhole,0677::SB12,4583 ST,490,291,0,0,0,0,0,259,32,0,0,0,0,0,291,44,39,14,54,23,16,24,39,14,24
,Hulst,GR2018_Hulst,Gemeenteraad Hulst 2018,0677,Hulst,2018-03-21,Stembureau Dorpscentrum Vogelwaarde,0677::SB13,4581 BR,1492,957,0,6,0,0,0,963,0,0,0,0,0,0,963,442,120,17,149,44,33,61,39,41,11
,Hulst,GR2018_Hulst,Gemeenteraad Hulst 2018,0677,Hulst,2018-03-21,Stembureau Gemeenschapshuis Hof ter Nesse,0677::SB14,4589 KR,398,258,0,1,0,0,0,226,33,0,0,0,0,0,259,108,29,7,29,3,7,32,21,11,11
,Hulst,GR2018_Hulst,Gemeenteraad Hulst 2018,0677,Hulst,2018-03-21,Stembureau Dorpscentrum De Schuur,0677::SB15,4585 AJ,553,313,0,0,0,0,0,275,38,0,0,0,0,0,313,116,46,9,56,16,7,30,12,15,6
