contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,Gemeentebelang,Staatkundig Gereformeerde Partij (SGP),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Democraten 66 (D66)
,Kapelle,GR2018_Kapelle,Gemeenteraad Kapelle 2018,0678,Kapelle,2018-03-21,Stembureau Gemeentehuis I (Hal),0678::SB1,4421 AA,911,956,1,2,0,0,0,844,115,0,0,0,0,0,959,245,130,130,198,96,82,75
,Kapelle,GR2018_Kapelle,Gemeenteraad Kapelle 2018,0678,Kapelle,2018-03-21,Stembureau Gemeentehuis II (Hal),0678::SB2,4421 AA,944,686,3,1,0,0,0,619,71,0,0,0,0,0,690,191,77,104,161,66,47,40
,Kapelle,GR2018_Kapelle,Gemeenteraad Kapelle 2018,0678,Kapelle,2018-03-21,Stembureau De Vroone,0678::SB3,4421 CE,1370,1249,4,0,0,7,0,1111,149,0,0,7,0,0,1260,381,185,196,189,115,105,78
,Kapelle,GR2018_Kapelle,Gemeenteraad Kapelle 2018,0678,Kapelle,2018-03-21,Stembureau Muziekschool Ons Genoegen,0678::SB4,4421 PN,1289,485,1,1,0,0,0,433,54,0,0,0,0,0,487,118,59,114,86,45,44,19
,Kapelle,GR2018_Kapelle,Gemeenteraad Kapelle 2018,0678,Kapelle,2018-03-21,Stembureau Zorgcentrum Cederhof,0678::SB5,4421 BZ,1247,681,2,1,0,1,0,607,76,0,1,0,0,0,683,193,95,115,129,52,53,44
,Kapelle,GR2018_Kapelle,Gemeenteraad Kapelle 2018,0678,Kapelle,2018-03-21,Stembureau Christelijke Gereformeerde Kerk,0678::SB6,4421 KN,1238,825,3,3,0,1,0,734,98,0,0,1,0,0,832,127,103,203,203,70,81,38
,Kapelle,GR2018_Kapelle,Gemeenteraad Kapelle 2018,0678,Kapelle,2018-03-21,Stembureau Dorpshuis Schore,0678::SB7,4423 AC,373,227,0,0,0,0,0,214,13,0,0,0,0,0,227,37,29,75,20,35,18,13
,Kapelle,GR2018_Kapelle,Gemeenteraad Kapelle 2018,0678,Kapelle,2018-03-21,Stembureau Dorpscentrum De Wemel,0678::SB8,4424 CA,1215,870,7,1,0,0,0,800,78,0,0,0,0,0,878,208,101,300,45,97,51,68
,Kapelle,GR2018_Kapelle,Gemeenteraad Kapelle 2018,0678,Kapelle,2018-03-21,Stembureau CBS de Hoeksteen,0678::SB9,4424 EL,1199,694,2,2,0,0,0,629,70,1,0,1,0,0,699,157,111,221,34,75,31,65
,Kapelle,GR2018_Kapelle,Gemeenteraad Kapelle 2018,0678,Kapelle,2018-03-21,Stembureau Stembus,0678::SB10,,0,207,1,0,0,0,0,187,21,0,0,0,0,0,208,51,38,40,38,22,10,8
