contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),CDA,VVD,GROENLINKS / Partij van de Arbeid (P.v.d.A.),ChristenUnie - SGP,SP (Socialistische Partij)
,Leusden,GR2018_Leusden,Gemeenteraad Leusden 2018,0327,Leusden,2018-03-21,Stembureau De Korf,0327::SB1,3831 NT,2085,1253,8,4,0,0,0,1168,97,0,0,0,0,0,1265,209,215,217,244,121,247
,Leusden,GR2018_Leusden,Gemeenteraad Leusden 2018,0327,Leusden,2018-03-21,Stembureau Basisschool De Holm,0327::SB2,3831 LE,1885,1383,5,5,0,0,0,1257,137,1,0,1,0,0,1394,225,233,288,239,189,209
,Leusden,GR2018_Leusden,Gemeenteraad Leusden 2018,0327,Leusden,2018-03-21,Stembureau MFC Atria,0327::SB3,3831 JT,2238,1584,9,6,0,0,0,1463,138,0,0,2,0,2,1601,289,292,297,312,171,223
,Leusden,GR2018_Leusden,Gemeenteraad Leusden 2018,0327,Leusden,2018-03-21,Stembureau Woonzorgcentrum 't Hamersveld,0327::SB4,3831 JR,1849,1494,10,3,0,0,0,1348,159,0,0,0,0,0,1507,282,231,344,305,192,140
,Leusden,GR2018_Leusden,Gemeenteraad Leusden 2018,0327,Leusden,2018-03-21,Stembureau Scholen in de Kunst,0327::SB5,3831 XD,2267,1178,9,6,0,0,0,1102,91,0,0,0,0,0,1193,192,259,261,204,123,139
,Leusden,GR2018_Leusden,Gemeenteraad Leusden 2018,0327,Leusden,2018-03-21,Stembureau Lisidunahof,0327::SB6,3833 BS,1496,895,2,2,0,0,0,810,89,0,0,0,0,0,899,144,217,182,141,133,78
,Leusden,GR2018_Leusden,Gemeenteraad Leusden 2018,0327,Leusden,2018-03-21,Stembureau Appartementencomplex Groenhouten,0327::SB7,3833 VW,2049,1289,2,8,0,0,0,1179,120,0,0,0,0,0,1299,197,231,267,248,178,168
,Leusden,GR2018_Leusden,Gemeenteraad Leusden 2018,0327,Leusden,2018-03-21,Stembureau De Groene Belevenis,0327::SB8,3833 GM,1964,1219,3,9,0,0,0,1124,107,0,0,0,0,0,1231,179,202,280,205,184,169
,Leusden,GR2018_Leusden,Gemeenteraad Leusden 2018,0327,Leusden,2018-03-21,Stembureau MFC Antares,0327::SB9,3832 JS,2736,2012,9,11,0,0,0,1836,196,0,0,0,0,0,2032,308,388,535,353,274,154
,Leusden,GR2018_Leusden,Gemeenteraad Leusden 2018,0327,Leusden,2018-03-21,Stembureau Woonzorgcentrum Sint Joseph,0327::SB10,3791 PP,2066,1368,9,5,0,1,0,1226,155,0,1,0,0,0,1381,80,837,149,144,106,52
,Leusden,GR2018_Leusden,Gemeenteraad Leusden 2018,0327,Leusden,2018-03-21,Stembureau Gemeentehuis,0327::SB11,3833 LD,1698,1035,5,2,0,0,0,903,139,0,0,0,0,0,1042,122,251,236,191,139,96
,Leusden,GR2018_Leusden,Gemeenteraad Leusden 2018,0327,Leusden,2018-03-21,Stembureau Dorpskerk,0327::SB12,3831GJ,1029,508,2,1,0,0,0,449,62,0,0,0,0,0,511,72,133,88,71,105,39
