contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Senioren Partij Maastricht (SPM),CDA,Democraten 66 (D66),SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),GROENLINKS,Partij Veilig Maastricht (PVM),VVD,Maastrichtse Volkspartij,Liberale Partij Maastricht,M:OED,50PLUS,SAB (Sociaal Actieve Burgerpartij),PVV (Partij voor de Vrijheid)
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,"Stembureau Stadhuis, Merretkamer",0935::SB1,,4337,1372,8,8,5,0,0,1295,88,0,5,0,0,0,1383,76,150,228,83,114,226,32,124,19,32,220,14,18,36
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau Centre Céramique,0935::SB2,,0,948,8,2,0,1,0,880,81,2,0,3,0,0,961,100,140,154,48,62,138,30,119,6,20,79,18,18,16
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,"Stembureau Stadhuis, Merretkamer",0935::SB3,,0,1192,5,15,0,3,0,1131,86,2,0,5,0,0,1217,80,101,188,70,85,186,44,136,30,26,194,12,15,25
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau Muziekschool Kumulus,0935::SB4,,2360,989,6,7,0,1,0,932,69,0,1,0,0,0,1001,60,96,122,78,94,171,42,102,10,19,143,12,14,26
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau Klooster Zusters onder de Bogen,0935::SB5,,1551,660,3,5,0,2,0,602,68,0,0,2,0,0,670,32,154,79,22,49,94,20,82,3,18,82,7,5,13
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau Gemeenschapshuis De Lètterdoes,0935::SB6,,1443,531,3,6,0,0,0,479,61,0,0,0,0,0,540,51,50,38,58,53,55,83,16,14,7,19,23,10,54
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau Kumulus West,0935::SB7,,2049,738,13,10,0,5,0,678,78,0,5,0,0,0,756,29,72,85,63,76,143,36,44,12,27,104,13,11,23
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau Envida locatie Koepelhof,0935::SB8,,1811,816,8,5,0,1,0,764,64,0,1,0,0,0,828,96,137,104,53,79,105,27,70,3,16,50,18,21,37
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau Envida locatie Larisa,0935::SB9,,1453,581,4,5,0,1,0,549,40,0,1,0,0,0,589,68,78,69,45,38,73,25,73,2,19,50,8,10,23
,Maastricht,GR2018_Maastricht,Gemeenteraad Maastricht 2018,0935,Maastricht,2018-03-21,Stembureau Centre Céramique,0935::SB10,,3969,1253,7,4,0,0,0,1168,94,0,2,0,2,0,1262,125,146,199,61,96,199,46,160,8,25,109,24,11,44
