contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Staatkundig Gereformeerde Partij (SGP),Partij van de Arbeid (P.v.d.A.),CDA,Gemeentebelangen,ChristenUnie,VVD
,Neder-Betuwe,GR2018_NederBetuwe,Gemeenteraad Neder-Betuwe 2018,1740,Neder-Betuwe,2018-03-21,Stembureau Gemeentehuis Opheusden,1740::SB1,4043 KM,1219,944,0,3,0,0,0,787,160,0,0,0,0,0,947,538,112,68,134,57,35
,Neder-Betuwe,GR2018_NederBetuwe,Gemeenteraad Neder-Betuwe 2018,1740,Neder-Betuwe,2018-03-21,Stembureau De Snellenburg Opheusden,1740::SB2,4043 NS,1614,1085,1,5,0,0,0,868,223,0,0,0,0,0,1091,664,130,43,165,48,35
,Neder-Betuwe,GR2018_NederBetuwe,Gemeenteraad Neder-Betuwe 2018,1740,Neder-Betuwe,2018-03-21,Stembureau Gebouw Eltheto Opheusden,1740::SB3,4043 KV,1681,1139,1,3,0,0,0,946,197,0,0,0,0,0,1143,644,154,68,159,74,40
,Neder-Betuwe,GR2018_NederBetuwe,Gemeenteraad Neder-Betuwe 2018,1740,Neder-Betuwe,2018-03-21,Stembureau Zorgcentrum 't Anker Kesteren,1740::SB4,4041 CA,1583,1050,6,1,0,0,0,913,144,0,0,0,0,0,1057,523,123,122,108,68,106
,Neder-Betuwe,GR2018_NederBetuwe,Gemeenteraad Neder-Betuwe 2018,1740,Neder-Betuwe,2018-03-21,Stembureau Ons Dorpshuis Kesteren,1740::SB16,4041 XE,1235,1109,0,1,0,0,0,958,152,0,0,0,0,0,1110,404,184,119,214,93,95
,Neder-Betuwe,GR2018_NederBetuwe,Gemeenteraad Neder-Betuwe 2018,1740,Neder-Betuwe,2018-03-21,Stembureau Basisschool Rehoboth Ochten,1740::SB17,4051 GS,1923,1258,3,2,0,0,1,1090,171,0,1,0,1,0,1262,304,249,214,150,144,197
,Neder-Betuwe,GR2018_NederBetuwe,Gemeenteraad Neder-Betuwe 2018,1740,Neder-Betuwe,2018-03-21,Stembureau Zorgcentrum Elim Ochten,1740::SB18,4051 AK,1777,1165,4,5,0,0,0,999,175,0,0,0,0,0,1174,284,201,260,137,136,147
,Neder-Betuwe,GR2018_NederBetuwe,Gemeenteraad Neder-Betuwe 2018,1740,Neder-Betuwe,2018-03-21,Stembureau Dorpshuis Ons Tehuis IJzendoorn,1740::SB19,4053 JN,835,507,0,1,0,0,0,442,66,0,0,0,0,0,508,173,88,50,60,23,113
,Neder-Betuwe,GR2018_NederBetuwe,Gemeenteraad Neder-Betuwe 2018,1740,Neder-Betuwe,2018-03-21,Stembureau Dorpshuis De Hoge Hof Echteld,1740::SB20,4054 MX,839,466,6,1,0,0,0,422,51,0,0,0,0,0,473,58,77,132,78,16,105
,Neder-Betuwe,GR2018_NederBetuwe,Gemeenteraad Neder-Betuwe 2018,1740,Neder-Betuwe,2018-03-21,Stembureau Nannenberghuis Dodewaard,1740::SB21,6669 CJ,1708,983,1,3,0,0,0,987,0,0,0,0,0,0,987,224,281,139,172,92,75
,Neder-Betuwe,GR2018_NederBetuwe,Gemeenteraad Neder-Betuwe 2018,1740,Neder-Betuwe,2018-03-21,Stembureau De Steegakker Dodewaard,1740::SB22,6669 CZ,1710,1213,1,7,0,2,0,1051,172,0,0,2,0,0,1223,185,329,209,235,111,144
,Neder-Betuwe,GR2018_NederBetuwe,Gemeenteraad Neder-Betuwe 2018,1740,Neder-Betuwe,2018-03-21,Stembureau Restaurant Castra Kesteren,1740::SB23,4041 AC,1431,759,0,0,0,0,0,641,118,0,0,0,0,0,759,368,93,74,83,65,76
