contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,ONS,Partij van de Arbeid (P.v.d.A.),VVD,Trots op Nederland (TROTS),CDA,Lokaal Onafhankelijk Bernisse (LOB),Democraten 66 (D66),ChristenUnie-SGP,Forza! Nissewaard,PVV (Partij voor de Vrijheid),Nissewaard Lokaal
,Nissewaard,GR2018_Nissewaard,Gemeenteraad Nissewaard 2018,1930,Nissewaard,2018-03-21,Stembureau Wijkcentrum Noord,1930::SB1,3202 GN,2862,1183,3,4,2,0,0,1074,118,0,0,2,0,0,1192,354,191,61,8,82,20,58,56,21,166,166
,Nissewaard,GR2018_Nissewaard,Gemeenteraad Nissewaard 2018,1930,Nissewaard,2018-03-21,Stembureau Rivièrabad,1930::SB2,3202 ST,1564,736,2,5,0,0,0,688,55,0,0,0,0,0,743,227,122,52,7,52,24,26,25,7,106,88
,Nissewaard,GR2018_Nissewaard,Gemeenteraad Nissewaard 2018,1930,Nissewaard,2018-03-21,Stembureau Charles de Foucauld Mavo,1930::SB3,3202 GR,1215,502,2,2,0,1,0,459,46,0,1,0,0,0,505,136,69,17,6,28,10,16,21,8,96,95
,Nissewaard,GR2018_Nissewaard,Gemeenteraad Nissewaard 2018,1930,Nissewaard,2018-03-21,Stembureau Buurthuis De Hoek,1930::SB4,3201 HS,2159,777,4,2,0,0,0,704,79,0,0,0,0,0,783,236,142,46,7,18,13,40,24,10,146,95
,Nissewaard,GR2018_Nissewaard,Gemeenteraad Nissewaard 2018,1930,Nissewaard,2018-03-21,Stembureau De Vier Ambachten,1930::SB5,3201 CZ,2271,792,5,7,0,0,0,722,82,0,0,0,0,0,804,279,117,69,4,62,6,40,32,14,90,79
,Nissewaard,GR2018_Nissewaard,Gemeenteraad Nissewaard 2018,1930,Nissewaard,2018-03-21,Stembureau Serviceflat Puttesteijn,1930::SB6,3201 DB,1527,588,3,5,0,0,0,556,40,0,0,0,0,0,596,180,104,39,5,33,7,22,19,10,96,73
,Nissewaard,GR2018_Nissewaard,Gemeenteraad Nissewaard 2018,1930,Nissewaard,2018-03-21,Stembureau School Paus Johannes,1930::SB7,3204 AK,1860,904,3,2,0,0,0,836,73,0,0,0,0,0,909,303,123,73,4,65,17,48,59,9,116,87
,Nissewaard,GR2018_Nissewaard,Gemeenteraad Nissewaard 2018,1930,Nissewaard,2018-03-21,Stembureau School Paus Johannes,1930::SB8,3204 AK,1947,691,3,1,0,0,0,653,43,0,0,1,0,0,696,243,104,49,5,47,12,36,42,6,73,74
,Nissewaard,GR2018_Nissewaard,Gemeenteraad Nissewaard 2018,1930,Nissewaard,2018-03-21,Stembureau Atriumflat Serreburgh,1930::SB10,3203 BG,2150,730,3,4,0,0,0,666,71,0,0,0,0,0,737,225,138,45,3,38,9,30,35,9,107,91
,Nissewaard,GR2018_Nissewaard,Gemeenteraad Nissewaard 2018,1930,Nissewaard,2018-03-21,Stembureau School De Vogelenzang,1930::SB11,3208 AK,2474,1254,7,1,0,0,0,1143,119,0,0,0,0,0,1262,397,231,87,4,47,22,55,43,31,192,145
