contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Lokaal Peel en Maas,VVD,Partij van de Arbeid (P.v.d.A.)/GROENLINKS,AndersNu,6
,Peel en Maas,GR2018_PeelenMaas,Gemeenteraad Peel en Maas 2018,1894,Peel en Maas,2018-03-21,Stembureau Gemeentehuis,1894::SB1,5981 CC,2272,1555,15,8,0,0,0,1382,196,0,0,0,0,0,1578,581,349,235,197,78,115
,Peel en Maas,GR2018_PeelenMaas,Gemeenteraad Peel en Maas 2018,1894,Peel en Maas,2018-03-21,Stembureau De Houbereij,1894::SB2,5981 CH,1969,926,10,4,0,0,0,851,89,0,0,0,0,0,940,339,249,100,116,78,44
,Peel en Maas,GR2018_PeelenMaas,Gemeenteraad Peel en Maas 2018,1894,Peel en Maas,2018-03-21,Stembureau Basisschool de Wissel,1894::SB3,5981 DS,2023,589,11,1,0,0,0,538,63,0,0,0,0,0,601,171,170,61,92,56,39
,Peel en Maas,GR2018_PeelenMaas,Gemeenteraad Peel en Maas 2018,1894,Peel en Maas,2018-03-21,Stembureau Feestzaal de Zoes,1894::SB4,5988 EM,2532,1139,5,3,0,0,0,1012,135,0,0,0,0,0,1147,385,290,183,131,55,95
,Peel en Maas,GR2018_PeelenMaas,Gemeenteraad Peel en Maas 2018,1894,Peel en Maas,2018-03-21,Stembureau Dorpscentrum Kerkeböske,1894::SB5,5988 NE,2400,1096,5,1,0,0,0,975,127,0,0,0,0,0,1102,454,303,104,125,43,67
,Peel en Maas,GR2018_PeelenMaas,Gemeenteraad Peel en Maas 2018,1894,Peel en Maas,2018-03-21,Stembureau De Wieksjlaag,1894::SB6,5986 AH,1724,923,11,6,0,0,0,830,110,0,0,0,0,0,940,609,114,87,52,33,28
,Peel en Maas,GR2018_PeelenMaas,Gemeenteraad Peel en Maas 2018,1894,Peel en Maas,2018-03-21,Stembureau de Ankerplaats,1894::SB7,5985 PG,1338,656,1,3,0,0,0,589,71,0,0,0,0,0,660,174,372,52,37,6,15
,Peel en Maas,GR2018_PeelenMaas,Gemeenteraad Peel en Maas 2018,1894,Peel en Maas,2018-03-21,Stembureau Gemeenschapshuis De Sprunk,1894::SB8,5984 PJ,1005,506,4,0,0,0,0,459,51,0,0,0,0,0,510,301,86,33,62,12,12
,Peel en Maas,GR2018_PeelenMaas,Gemeenteraad Peel en Maas 2018,1894,Peel en Maas,2018-03-21,Stembureau Gemeenschapshuis 't Erf,1894::SB9,5987 AR,1078,606,2,0,0,1,0,518,89,0,1,0,0,0,607,255,215,58,42,14,22
,Peel en Maas,GR2018_PeelenMaas,Gemeenteraad Peel en Maas 2018,1894,Peel en Maas,2018-03-21,Stembureau Niëns Horeca,1894::SB10,5993 AW,1572,728,4,4,0,0,0,645,91,0,0,0,0,0,736,354,114,104,85,62,9
