contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),VVD,GemeenteBelangen (GB),CDA,GROENLINKS,Partij van de Arbeid (P.v.d.A.),Partij Renkumse Dorpen (PRD)
,Renkum,GR2018_Renkum,Gemeenteraad Renkum 2018,0274,Renkum,2018-03-21,Stembureau Gemeentehuis,0274::SB1,6861 GG,1879,1767,2,2,0,3,0,1592,176,0,3,0,0,0,1768,399,319,229,176,378,141,125
,Renkum,GR2018_Renkum,Gemeenteraad Renkum 2018,0274,Renkum,2018-03-21,Stembureau Openbare Basisschool De Marlijn,0274::SB2,6862 XH,1930,1206,4,5,0,0,0,1081,134,0,0,0,0,0,1215,280,228,154,100,300,75,69
,Renkum,GR2018_Renkum,Gemeenteraad Renkum 2018,0274,Renkum,2018-03-21,Stembureau Verpleeghuis De Molenberg,0274::SB3,6862 EZ,1824,1163,6,2,0,0,0,1076,97,2,0,2,0,0,1173,239,177,161,124,258,111,93
,Renkum,GR2018_Renkum,Gemeenteraad Renkum 2018,0274,Renkum,2018-03-21,Stembureau Verzorgingshuis Overdal,0274::SB4,6861 ZW,1639,1024,4,4,0,6,0,954,72,0,6,0,0,0,1026,180,154,147,103,278,84,78
,Renkum,GR2018_Renkum,Gemeenteraad Renkum 2018,0274,Renkum,2018-03-21,Stembureau Parkflat De Valkenburcht,0274::SB5,6861 AJ,1748,889,1,4,0,0,0,821,73,0,0,0,0,0,894,173,204,98,98,135,73,108
,Renkum,GR2018_Renkum,Gemeenteraad Renkum 2018,0274,Renkum,2018-03-21,Stembureau Ontmoetingskerk,0274::SB6,6865 WC,1498,844,3,5,0,0,0,798,54,0,0,0,0,0,852,125,110,170,81,152,81,125
,Renkum,GR2018_Renkum,Gemeenteraad Renkum 2018,0274,Renkum,2018-03-21,Stembureau Dorpshuis Poort van Doorwerth,0274::SB7,6865 GB,1739,1330,5,3,0,0,0,1247,91,0,0,0,0,0,1338,181,273,307,97,205,113,154
,Renkum,GR2018_Renkum,Gemeenteraad Renkum 2018,0274,Renkum,2018-03-21,Stembureau Sporthal Doorwerth,0274::SB8,6865 CZ,1427,677,5,1,0,0,0,636,47,0,0,0,0,0,683,121,140,139,61,98,63,55
,Renkum,GR2018_Renkum,Gemeenteraad Renkum 2018,0274,Renkum,2018-03-21,Stembureau Het Schild,0274::SB9,6874 AD,1507,869,1,4,0,0,0,803,71,0,0,0,0,0,874,121,146,121,66,172,66,177
,Renkum,GR2018_Renkum,Gemeenteraad Renkum 2018,0274,Renkum,2018-03-21,Stembureau Serviceflat De Koningshof,0274::SB10,6866 CM,1813,1257,7,3,0,0,0,1178,89,0,0,0,0,0,1267,150,175,216,276,193,103,144
,Renkum,GR2018_Renkum,Gemeenteraad Renkum 2018,0274,Renkum,2018-03-21,Stembureau Serviceflat Hoog Heelsum,0274::SB11,6871 ED,2011,807,4,4,0,0,0,755,60,0,0,0,0,0,815,77,52,225,95,122,88,148
,Renkum,GR2018_Renkum,Gemeenteraad Renkum 2018,0274,Renkum,2018-03-21,Stembureau MFC Doelum,0274::SB12,6871 JK,1901,1376,2,7,0,0,0,1252,133,0,0,0,0,0,1385,183,122,330,121,267,144,209
,Renkum,GR2018_Renkum,Gemeenteraad Renkum 2018,0274,Renkum,2018-03-21,Stembureau PV Airborne,0274::SB13,6871 EP,2084,740,6,0,0,0,0,675,71,0,0,0,0,0,746,80,92,200,74,100,68,126
,Renkum,GR2018_Renkum,Gemeenteraad Renkum 2018,0274,Renkum,2018-03-21,Stembureau Huis van Renkum,0274::SB14,6871 ZA,2416,1559,3,7,0,1,0,1421,147,0,1,0,0,0,1568,193,165,324,163,271,176,267
,Renkum,GR2018_Renkum,Gemeenteraad Renkum 2018,0274,Renkum,2018-03-21,Stembureau Mobiel stembureau,0274::SB15,,2,180,2,3,0,0,0,175,10,0,0,0,0,0,185,23,15,12,60,29,18,23
