contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Staatkundig Gereformeerde Partij (SGP),Progressief Rhenen/GROENLINKS,VVD,RHENENS BELANG,CDA,ChristenUnie,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),TROTS op Nederland voor échte Democratie,TolbrugRhenen.nl
,Rhenen,GR2018_Rhenen,Gemeenteraad Rhenen 2018,0340,Rhenen,2018-03-21,Stembureau Koningskamer,0340::SB1,3911 LB,1712,824,1,0,1,0,0,749,77,0,0,1,0,0,826,88,153,122,99,100,89,114,30,5,24
,Rhenen,GR2018_Rhenen,Gemeenteraad Rhenen 2018,0340,Rhenen,2018-03-21,Stembureau Huis van de Gemeente,0340::SB2,3911 MG,1643,1258,4,2,0,0,0,1117,147,0,0,0,0,0,1264,140,244,235,160,66,143,156,78,20,16
,Rhenen,GR2018_Rhenen,Gemeenteraad Rhenen 2018,0340,Rhenen,2018-03-21,Stembureau De Vlam,0340::SB3,3911 XK,1001,666,2,0,0,1,0,597,72,0,0,1,0,0,669,83,129,128,76,55,65,95,18,9,8
,Rhenen,GR2018_Rhenen,Gemeenteraad Rhenen 2018,0340,Rhenen,2018-03-21,Stembureau Steakhouse Cunera,0340::SB4,3911 AS,1413,1102,2,3,0,1,0,996,112,0,0,1,0,0,1108,69,245,246,120,66,103,170,43,24,16
,Rhenen,GR2018_Rhenen,Gemeenteraad Rhenen 2018,0340,Rhenen,2018-03-21,"Stembureau Ontmoetingskerk, zaal 3",0340::SB5,3911 AE,1409,808,2,6,0,0,0,716,100,0,0,0,0,0,816,131,163,106,94,61,93,80,56,13,11
,Rhenen,GR2018_Rhenen,Gemeenteraad Rhenen 2018,0340,Rhenen,2018-03-21,Stembureau Rhenendael,0340::SB6,3911 RM,876,559,1,0,0,0,0,559,1,0,0,0,0,0,560,107,19,149,67,84,62,37,19,7,8
,Rhenen,GR2018_Rhenen,Gemeenteraad Rhenen 2018,0340,Rhenen,2018-03-21,Stembureau Het Dorpshuis Achterberg,0340::SB7,3911 CX,1903,1382,0,2,0,0,0,1187,197,0,0,0,0,0,1384,771,51,126,97,133,112,60,19,6,7
,Rhenen,GR2018_Rhenen,Gemeenteraad Rhenen 2018,0340,Rhenen,2018-03-21,Stembureau Het Bestegoed (bibliotheek),0340::SB8,3921 CM,1780,1017,7,3,0,0,0,920,108,1,0,1,0,0,1028,209,100,189,103,80,159,87,54,32,4
,Rhenen,GR2018_Rhenen,Gemeenteraad Rhenen 2018,0340,Rhenen,2018-03-21,Stembureau Het Bestegoed (dorpshuis),0340::SB9,3921 CM,1698,947,2,0,1,0,0,820,128,0,1,0,0,0,948,237,86,186,75,57,135,80,44,43,4
,Rhenen,GR2018_Rhenen,Gemeenteraad Rhenen 2018,0340,Rhenen,2018-03-21,Stembureau De Tollekamp,0340::SB10,3911 ND,1399,628,3,3,0,0,0,567,67,0,0,0,0,0,634,75,102,80,84,79,70,68,53,13,4
,Rhenen,GR2018_Rhenen,Gemeenteraad Rhenen 2018,0340,Rhenen,2018-03-21,Stembureau Sportschool Trisport Rhenen,0340::SB11,3911 BE,467,269,0,1,0,0,0,242,28,0,0,0,0,0,270,16,83,60,15,32,18,28,8,5,4
