contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Staatkundig Gereformeerde Partij (SGP),CDA,ChristenUnie,Gemeentebelang Rijssen-Holten,Partij van de Arbeid (P.v.d.A.),VVD,Democraten 66 (D66),GROENLINKS
,Rijssen-Holten,GR2018_RijssenHolten,Gemeenteraad Rijssen-Holten 2018,1742,Rijssen-Holten,2018-03-21,Stembureau Gemeentehuis Rijssen,1742::SB1,7461 DD,2012,1739,4,4,0,1,0,1539,210,1,0,2,0,0,1749,643,248,358,138,106,153,44,49
,Rijssen-Holten,GR2018_RijssenHolten,Gemeenteraad Rijssen-Holten 2018,1742,Rijssen-Holten,2018-03-21,Stembureau De Schutse,1742::SB2,7461 BC,1897,1453,0,5,0,0,0,1282,176,0,0,0,0,0,1458,470,220,397,82,73,145,45,21
,Rijssen-Holten,GR2018_RijssenHolten,Gemeenteraad Rijssen-Holten 2018,1742,Rijssen-Holten,2018-03-21,Stembureau Het Parkgebouw,1742::SB3,7461 BT,2022,1223,3,4,0,0,0,1084,146,0,0,0,0,0,1230,267,255,284,101,112,118,51,35
,Rijssen-Holten,GR2018_RijssenHolten,Gemeenteraad Rijssen-Holten 2018,1742,Rijssen-Holten,2018-03-21,Stembureau Gebouw schietvereniging,1742::SB4,7461 VP,1944,1411,3,7,0,1,0,1265,157,0,0,1,0,0,1422,411,231,361,92,87,127,54,48
,Rijssen-Holten,GR2018_RijssenHolten,Gemeenteraad Rijssen-Holten 2018,1742,Rijssen-Holten,2018-03-21,"Stembureau Hervormde gemeente, gebouw Sion",1742::SB5,7462 BN,1546,1195,2,7,0,0,0,1088,121,5,0,5,0,0,1209,395,200,266,111,76,89,25,33
,Rijssen-Holten,GR2018_RijssenHolten,Gemeenteraad Rijssen-Holten 2018,1742,Rijssen-Holten,2018-03-21,Stembureau De Wellehof,1742::SB6,7462 GE,2053,1444,3,2,0,0,0,1273,176,0,0,0,0,0,1449,678,184,307,63,92,80,27,13
,Rijssen-Holten,GR2018_RijssenHolten,Gemeenteraad Rijssen-Holten 2018,1742,Rijssen-Holten,2018-03-21,Stembureau Willem Alexanderschool,1742::SB7,7462 HN,1678,940,0,2,0,0,0,834,108,0,0,0,0,0,942,363,143,222,65,65,58,16,8
,Rijssen-Holten,GR2018_RijssenHolten,Gemeenteraad Rijssen-Holten 2018,1742,Rijssen-Holten,2018-03-21,Stembureau Obs de Salto,1742::SB8,7462 JA,1981,1284,4,2,0,0,0,1150,140,0,0,0,0,0,1290,427,240,290,103,88,69,41,26
,Rijssen-Holten,GR2018_RijssenHolten,Gemeenteraad Rijssen-Holten 2018,1742,Rijssen-Holten,2018-03-21,Stembureau basisschool De Ronde Maat,1742::SB9,7462 LX,1669,1407,0,7,0,0,0,1240,174,0,0,0,0,0,1414,559,230,301,79,72,100,36,30
,Rijssen-Holten,GR2018_RijssenHolten,Gemeenteraad Rijssen-Holten 2018,1742,Rijssen-Holten,2018-03-21,Stembureau Jacobus Fruijtierschool,1742::SB10,7463 CA,1785,1590,2,9,0,0,0,1373,228,0,0,0,0,0,1601,594,282,395,75,54,132,42,16
,Rijssen-Holten,GR2018_RijssenHolten,Gemeenteraad Rijssen-Holten 2018,1742,Rijssen-Holten,2018-03-21,Stembureau Kulturhus Holten,1742::SB11,7451 BL,1662,1554,3,3,0,0,0,1438,122,0,0,0,0,0,1560,21,257,71,680,87,247,123,68
,Rijssen-Holten,GR2018_RijssenHolten,Gemeenteraad Rijssen-Holten 2018,1742,Rijssen-Holten,2018-03-21,Stembureau Woon- en Zorgcentrum Diessenplas,1742::SB12,7451 DG,1443,967,2,2,0,0,0,882,89,0,0,0,0,0,971,28,169,39,342,76,199,70,44
,Rijssen-Holten,GR2018_RijssenHolten,Gemeenteraad Rijssen-Holten 2018,1742,Rijssen-Holten,2018-03-21,Stembureau Kulturhus Dijkerhoek,1742::SB13,7451 LS,913,718,1,0,0,0,0,643,76,0,0,0,0,0,719,7,129,8,395,12,112,37,18
,Rijssen-Holten,GR2018_RijssenHolten,Gemeenteraad Rijssen-Holten 2018,1742,Rijssen-Holten,2018-03-21,Stembureau Lokaal Holterenkschool,1742::SB14,7451 AW,1670,1197,1,3,0,0,0,1118,83,0,0,0,0,0,1201,20,203,56,407,103,253,106,49
,Rijssen-Holten,GR2018_RijssenHolten,Gemeenteraad Rijssen-Holten 2018,1742,Rijssen-Holten,2018-03-21,Stembureau Lokaal Haarschool,1742::SB15,7451 DZ,1795,1278,6,2,0,0,0,1176,110,0,0,0,0,0,1286,35,196,35,446,132,247,126,61
,Rijssen-Holten,GR2018_RijssenHolten,Gemeenteraad Rijssen-Holten 2018,1742,Rijssen-Holten,2018-03-21,Stembureau De Tabernakel,1742::SB16,7463 CL,2442,1465,0,1,0,0,0,1280,186,0,0,0,0,0,1466,497,272,391,81,42,143,28,11
,Rijssen-Holten,GR2018_RijssenHolten,Gemeenteraad Rijssen-Holten 2018,1742,Rijssen-Holten,2018-03-21,Stembureau Mobiel stembureau,1742::SB17,,0,474,1,2,0,0,0,415,62,0,0,0,0,0,477,201,65,124,19,10,46,6,3
