contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,G.O.B.,Stadspartij,SP (Socialistische Partij),DNA Partij,GROENLINKS,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),VVD,PVV (Partij voor de Vrijheid),Samen Politiek Actief (S.P.A.),50PLUS
,Sittard-Geleen,GR2018_SittardGeleen,Gemeenteraad Sittard-Geleen 2018,1883,Sittard-Geleen,2018-03-21,Stembureau Stadskantoor Sittard,1883::SB1,,1887,1065,4,4,0,0,0,957,114,0,2,0,2,0,1071,331,116,31,70,59,167,55,98,42,51,9,36
,Sittard-Geleen,GR2018_SittardGeleen,Gemeenteraad Sittard-Geleen 2018,1883,Sittard-Geleen,2018-03-21,Stembureau Schouwburg De Domijnen,1883::SB2,,1767,994,11,2,0,0,0,916,91,0,0,0,0,0,1007,290,90,35,61,74,166,40,70,42,58,22,46
,Sittard-Geleen,GR2018_SittardGeleen,Gemeenteraad Sittard-Geleen 2018,1883,Sittard-Geleen,2018-03-21,Stembureau Multifuntioneel Centrum Sanderbout,1883::SB3,,1773,602,2,3,0,0,0,531,76,0,0,0,0,0,607,89,79,58,59,17,48,24,29,7,124,34,34
,Sittard-Geleen,GR2018_SittardGeleen,Gemeenteraad Sittard-Geleen 2018,1883,Sittard-Geleen,2018-03-21,Stembureau Gemeenschapshuis de Landjwaer,1883::SB4,,1743,1305,3,4,0,0,0,1167,145,0,0,0,0,0,1312,266,133,77,143,45,246,50,101,59,106,21,58
,Sittard-Geleen,GR2018_SittardGeleen,Gemeenteraad Sittard-Geleen 2018,1883,Sittard-Geleen,2018-03-21,Stembureau Fanfarezaal St. Jan,1883::SB5,,2033,1218,7,4,0,1,0,1057,171,0,1,0,0,0,1228,418,117,25,42,67,146,61,113,145,40,6,38
,Sittard-Geleen,GR2018_SittardGeleen,Gemeenteraad Sittard-Geleen 2018,1883,Sittard-Geleen,2018-03-21,Stembureau Zorgcentrum de Kollenberg,1883::SB6,,1114,579,8,4,0,0,0,541,51,1,0,1,0,0,592,186,61,29,33,23,84,20,38,17,38,12,38
,Sittard-Geleen,GR2018_SittardGeleen,Gemeenteraad Sittard-Geleen 2018,1883,Sittard-Geleen,2018-03-21,Stembureau Tafeltenniscentrum Sittard,1883::SB7,,1670,723,5,2,0,0,0,666,64,0,0,0,0,0,730,193,86,34,72,28,102,31,43,9,83,12,30
,Sittard-Geleen,GR2018_SittardGeleen,Gemeenteraad Sittard-Geleen 2018,1883,Sittard-Geleen,2018-03-21,Stembureau Gemeenschapshuis Broeksittard,1883::SB8,,1747,655,3,6,0,0,0,577,87,0,0,0,0,0,664,171,43,43,58,22,105,21,22,14,118,12,26
,Sittard-Geleen,GR2018_SittardGeleen,Gemeenteraad Sittard-Geleen 2018,1883,Sittard-Geleen,2018-03-21,Stembureau Oos Zittesj Hoes,1883::SB9,,1383,621,8,1,0,0,0,576,54,0,0,0,0,0,630,205,79,32,21,29,80,17,36,22,55,13,32
,Sittard-Geleen,GR2018_SittardGeleen,Gemeenteraad Sittard-Geleen 2018,1883,Sittard-Geleen,2018-03-21,Stembureau Xonar,1883::SB10,,1420,537,7,3,0,0,0,493,54,0,0,0,0,0,547,97,70,38,60,10,77,28,36,15,55,7,44
