contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,DOS,Communiceren Met Burgers (CMB),CDA,Politieke vereniging Steins Belang,VVD,Partij van de Arbeid (P.v.d.A.),Progressief Stein
,Stein,GR2018_Stein,Gemeenteraad Stein 2018,0971,Stein,2018-03-21,Stembureau Woonzorgcentrum De Moutheuvel,0971::SB1,6171 HS,2320,1562,15,10,0,0,0,1587,0,0,0,0,0,0,1587,347,528,243,240,92,45,67
,Stein,GR2018_Stein,Gemeenteraad Stein 2018,0971,Stein,2018-03-21,Stembureau Gemeentehuis,0971::SB2,6171 KP,2147,1114,14,6,0,0,0,1134,0,0,0,0,0,0,1134,243,360,146,207,72,39,47
,Stein,GR2018_Stein,Gemeenteraad Stein 2018,0971,Stein,2018-03-21,Stembureau Basisschool Kerensheide,0971::SB3,6171 BS,2386,1102,13,10,0,0,0,1125,0,0,0,0,0,0,1125,228,365,126,205,91,38,49
,Stein,GR2018_Stein,Gemeenteraad Stein 2018,0971,Stein,2018-03-21,Stembureau Buurtcentrum Nieuwdorp,0971::SB4,6171 NR,1003,553,10,6,0,0,0,569,0,0,0,0,0,0,569,100,210,71,95,24,32,21
,Stein,GR2018_Stein,Gemeenteraad Stein 2018,0971,Stein,2018-03-21,Stembureau Café-Brasserie Merode,0971::SB5,6171 XM,1036,540,10,4,0,0,0,554,0,0,0,0,0,0,554,96,236,44,92,31,29,12
,Stein,GR2018_Stein,Gemeenteraad Stein 2018,0971,Stein,2018-03-21,Stembureau Bie Gerda,0971::SB6,6181 NJ,1082,661,1,0,0,0,0,662,0,0,0,0,0,0,662,352,81,73,48,28,14,65
,Stein,GR2018_Stein,Gemeenteraad Stein 2018,0971,Stein,2018-03-21,Stembureau Bramerthof,0971::SB7,6129 PV,927,452,9,2,0,0,0,463,0,0,0,0,0,0,463,214,81,38,22,27,18,52
,Stein,GR2018_Stein,Gemeenteraad Stein 2018,0971,Stein,2018-03-21,Stembureau de Kooypoort,0971::SB8,6129 PC,1194,678,5,4,0,0,0,687,0,0,0,0,0,0,687,342,98,60,41,37,31,69
,Stein,GR2018_Stein,Gemeenteraad Stein 2018,0971,Stein,2018-03-21,Stembureau Fanfarezaal Oud Urmond,0971::SB9,6129 CR,756,438,6,2,0,0,0,406,40,0,0,0,0,0,446,247,55,50,22,14,33,17
,Stein,GR2018_Stein,Gemeenteraad Stein 2018,0971,Stein,2018-03-21,Stembureau Multifunctioneel Centrum Berg a/d M,0971::SB10,6129 PG,1774,1004,9,5,0,0,0,1018,0,0,0,0,0,0,1018,232,373,197,81,49,29,43
,Stein,GR2018_Stein,Gemeenteraad Stein 2018,0971,Stein,2018-03-21,Stembureau Verpleeghuis La Famille,0971::SB11,6181 LB,1355,696,9,5,0,0,0,710,0,0,0,0,0,0,710,261,213,49,33,86,35,19
,Stein,GR2018_Stein,Gemeenteraad Stein 2018,0971,Stein,2018-03-21,Stembureau Parochiezaal Mariakerk,0971::SB12,6181 CL,1537,1044,8,5,0,0,0,1057,0,0,0,0,0,0,1057,474,240,122,38,68,63,39
,Stein,GR2018_Stein,Gemeenteraad Stein 2018,0971,Stein,2018-03-21,Stembureau Kantine S.V. Haslou,0971::SB13,6181 JG,928,685,2,2,0,0,0,689,0,0,0,0,0,0,689,329,198,61,11,54,18,14
,Stein,GR2018_Stein,Gemeenteraad Stein 2018,0971,Stein,2018-03-21,Stembureau Kindcentrum Aelse,0971::SB14,6181 EN,1476,850,5,5,0,0,0,860,0,0,0,0,0,0,860,307,259,64,30,131,34,25
,Stein,GR2018_Stein,Gemeenteraad Stein 2018,0971,Stein,2018-03-21,Stembureau Café zaal De Dikke Stein,0971::SB15,6181 GN,1060,476,2,1,0,0,0,479,0,0,0,0,0,0,479,168,132,50,17,50,34,25
