contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,FNP,Partij van de Arbeid (P.v.d.A.),VVD,GROENLINKS,ChristenUnie,Democraten 66 (D66)
,Tytsjerksteradiel,GR2018_Tytsjerksteradiel,Gemeenteraad Tytsjerksteradiel 2018,0737,Tytsjerksteradiel,2018-03-21,"Stembureau BURGUM, GEMEENTEHUIS",0737::SB1,9251 GH,1458,926,6,3,0,1,0,855,78,0,2,0,1,0,933,179,195,136,117,121,108,70
,Tytsjerksteradiel,GR2018_Tytsjerksteradiel,Gemeenteraad Tytsjerksteradiel 2018,0737,Tytsjerksteradiel,2018-03-21,"Stembureau BURGUM, BERCHHIEM",0737::SB2,9251 HA,984,554,3,2,0,8,0,509,42,0,8,0,0,0,551,161,112,59,55,63,78,26
,Tytsjerksteradiel,GR2018_Tytsjerksteradiel,Gemeenteraad Tytsjerksteradiel 2018,0737,Tytsjerksteradiel,2018-03-21,"Stembureau BURGUM, DE STRYP",0737::SB3,9251 BS,1423,1172,2,3,0,0,0,1086,91,0,0,0,0,0,1177,300,289,109,152,121,145,56
,Tytsjerksteradiel,GR2018_Tytsjerksteradiel,Gemeenteraad Tytsjerksteradiel 2018,0737,Tytsjerksteradiel,2018-03-21,"Stembureau BURGUM, HAVOTOP",0737::SB4,9251 BH,1378,843,3,0,0,0,0,790,56,0,0,0,0,0,846,236,127,96,144,91,98,51
,Tytsjerksteradiel,GR2018_Tytsjerksteradiel,Gemeenteraad Tytsjerksteradiel 2018,0737,Tytsjerksteradiel,2018-03-21,"Stembureau NOARDBURGUM, LOKALITEIT GEREF.KERK (vrijgem.)",0737::SB5,9257 DR,556,213,1,0,0,0,0,190,24,0,0,0,0,0,214,43,26,15,52,17,47,13
,Tytsjerksteradiel,GR2018_Tytsjerksteradiel,Gemeenteraad Tytsjerksteradiel 2018,0737,Tytsjerksteradiel,2018-03-21,"Stembureau NOARDBURGUM, DE BALSTIEN",0737::SB6,9257 VW,1213,533,2,5,0,0,0,488,52,0,0,0,0,0,540,86,131,59,87,82,61,27
,Tytsjerksteradiel,GR2018_Tytsjerksteradiel,Gemeenteraad Tytsjerksteradiel 2018,0737,Tytsjerksteradiel,2018-03-21,"Stembureau JISTRUM, KANTINE SPORTVERENIGING",0737::SB7,9258 CL,694,405,2,2,0,1,0,371,39,0,0,1,0,0,410,117,109,20,45,43,49,22
,Tytsjerksteradiel,GR2018_Tytsjerksteradiel,Gemeenteraad Tytsjerksteradiel 2018,0737,Tytsjerksteradiel,2018-03-21,"Stembureau EASTERMAR, HOTEL MEERZIGT",0737::SB8,9261 VJ,1208,747,0,0,0,0,0,686,61,0,0,0,0,0,747,235,115,42,85,88,144,38
,Tytsjerksteradiel,GR2018_Tytsjerksteradiel,Gemeenteraad Tytsjerksteradiel 2018,0737,Tytsjerksteradiel,2018-03-21,"Stembureau SUMAR, DE KAMP",0737::SB9,9262 NG,1082,589,4,0,0,0,0,542,51,0,0,0,0,0,593,157,192,50,48,49,62,31
,Tytsjerksteradiel,GR2018_Tytsjerksteradiel,Gemeenteraad Tytsjerksteradiel 2018,0737,Tytsjerksteradiel,2018-03-21,"Stembureau GARYP, IT GEAHUS",0737::SB10,9263 PK,1461,822,2,2,0,3,0,768,55,0,3,0,0,0,823,317,137,42,85,87,121,33
