contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,PCW | www.kiespcw.nl,VVD,Democraten 66 (D66),CDA,Weerbaar Waddinxveen (WeWa),PvdA/GROENLINKS
,Waddinxveen,GR2018_Waddinxveen,Gemeenteraad Waddinxveen 2018,0627,Waddinxveen,2018-03-21,Stembureau Gemeentehuis,0627::SB1,,835,1066,3,1,0,0,0,964,106,0,0,0,0,0,1070,255,263,173,175,102,98
,Waddinxveen,GR2018_Waddinxveen,Gemeenteraad Waddinxveen 2018,0627,Waddinxveen,2018-03-21,Stembureau Wijkgebouw Zonnig Zuid,0627::SB2,,1672,802,4,2,0,0,0,716,92,0,0,0,0,0,808,171,138,102,133,134,124
,Waddinxveen,GR2018_Waddinxveen,Gemeenteraad Waddinxveen 2018,0627,Waddinxveen,2018-03-21,Stembureau Cultuurhuys De Kroon,0627::SB3,,1673,1024,6,1,0,0,0,942,89,0,0,0,0,0,1031,198,208,180,140,155,143
,Waddinxveen,GR2018_Waddinxveen,Gemeenteraad Waddinxveen 2018,0627,Waddinxveen,2018-03-21,Stembureau De Hoeksteen,0627::SB4,,1446,870,2,1,0,0,0,761,112,0,0,0,0,0,873,341,124,83,108,113,101
,Waddinxveen,GR2018_Waddinxveen,Gemeenteraad Waddinxveen 2018,0627,Waddinxveen,2018-03-21,Stembureau Zorgcentrum Souburgh,0627::SB5,,1406,723,3,3,0,0,0,664,64,0,1,0,1,0,728,253,80,66,113,129,82
,Waddinxveen,GR2018_Waddinxveen,Gemeenteraad Waddinxveen 2018,0627,Waddinxveen,2018-03-21,Stembureau Bethelkerk,0627::SB6,,1376,735,4,0,0,0,0,684,55,0,0,0,0,0,739,271,91,86,100,94,93
,Waddinxveen,GR2018_Waddinxveen,Gemeenteraad Waddinxveen 2018,0627,Waddinxveen,2018-03-21,Stembureau De Regenboogschool,0627::SB7,,1501,772,6,2,0,0,0,719,61,0,0,0,0,0,780,218,89,122,105,124,114
,Waddinxveen,GR2018_Waddinxveen,Gemeenteraad Waddinxveen 2018,0627,Waddinxveen,2018-03-21,Stembureau Anne Frankcentrum,0627::SB8,,1408,822,8,1,0,0,0,754,77,0,0,0,0,0,831,204,111,111,162,120,114
,Waddinxveen,GR2018_Waddinxveen,Gemeenteraad Waddinxveen 2018,0627,Waddinxveen,2018-03-21,Stembureau De Ontmoetingskerk,0627::SB9,,1595,1141,6,4,0,1,0,1050,102,0,0,1,0,0,1152,357,173,137,164,165,145
,Waddinxveen,GR2018_Waddinxveen,Gemeenteraad Waddinxveen 2018,0627,Waddinxveen,2018-03-21,Stembureau De Nieuwe School,0627::SB10,,1379,866,5,2,0,0,0,774,98,0,1,0,1,0,872,247,119,108,112,136,144
,Waddinxveen,GR2018_Waddinxveen,Gemeenteraad Waddinxveen 2018,0627,Waddinxveen,2018-03-21,Stembureau Dick Brunaschool,0627::SB11,,1363,897,0,2,0,0,0,806,93,0,0,0,0,0,899,158,159,157,131,151,141
,Waddinxveen,GR2018_Waddinxveen,Gemeenteraad Waddinxveen 2018,0627,Waddinxveen,2018-03-21,Stembureau Wijkgebouw Zuidhonk A,0627::SB12,,1540,667,0,1,0,0,0,612,56,0,0,0,0,0,668,102,150,106,98,97,114
,Waddinxveen,GR2018_Waddinxveen,Gemeenteraad Waddinxveen 2018,0627,Waddinxveen,2018-03-21,Stembureau Wijkgebouw Zuidhonk B,0627::SB13,,1091,779,5,0,0,0,0,723,63,0,0,2,0,0,786,119,168,118,131,125,118
,Waddinxveen,GR2018_Waddinxveen,Gemeenteraad Waddinxveen 2018,0627,Waddinxveen,2018-03-21,Stembureau De Morgenster,0627::SB14,,1427,1210,3,2,0,0,0,1081,134,0,0,0,0,0,1215,312,307,153,186,132,120
,Waddinxveen,GR2018_Waddinxveen,Gemeenteraad Waddinxveen 2018,0627,Waddinxveen,2018-03-21,Stembureau speeltuin De Overkant,0627::SB15,,821,400,2,2,0,1,0,347,56,0,1,0,0,0,403,105,70,58,61,52,54
,Waddinxveen,GR2018_Waddinxveen,Gemeenteraad Waddinxveen 2018,0627,Waddinxveen,2018-03-21,Stembureau Projectbureau Triangel,0627::SB16,,1231,473,2,0,0,0,0,434,41,0,0,0,0,0,475,136,106,94,68,22,47
