contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,SP (Socialistische Partij),CDA,Democraten 66 (D66),PVV (Partij voor de Vrijheid),ChristenUnie,GROENLINKS,Partij voor het Noorden,Partij voor de Dieren,50PLUS,Groninger Belang,Red het Noorden,Grunnegers veur Stad en Ommelaand,Seniorenpartij Groningen,Verenigde Communistische Partij,Partij voor Mens en Spirit (MenS),Vrij Mandaat,Groningen Centraal!
,Bellingwedde,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Streekmuseum De Oude Wolden,0007::SB1,9695 AE,506,321,3,0,0,0,0,288,36,0,0,0,0,0,0,324,33,22,80,29,20,50,15,11,12,13,4,15,0,3,2,4,6,0,2
,Bellingwedde,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Steunstee Reiderstee,0007::SB2,9695 GD,882,408,1,5,0,0,0,370,44,0,0,0,0,0,0,414,47,29,144,28,20,67,7,11,4,19,3,18,0,0,2,4,2,0,3
,Bellingwedde,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Brandweerkazerne,0007::SB3,9695 BA,756,408,0,1,0,0,0,373,36,0,0,0,0,0,0,409,54,46,97,31,20,70,16,12,9,21,7,18,1,1,2,1,0,0,2
,Bellingwedde,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Buurthuis De Brug,0007::SB4,9695 CJ,538,297,0,2,1,0,0,272,26,0,0,1,0,0,0,298,13,24,85,6,8,69,7,15,4,19,9,25,1,1,5,3,0,1,2
,Bellingwedde,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Kerkje,0007::SB5,9696 XN,141,114,0,0,0,0,0,106,8,0,0,0,0,0,0,114,9,24,24,7,13,7,3,9,4,9,0,4,0,0,0,1,0,0,0
,Bellingwedde,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Buurthuis 't Ganzenust,0007::SB6,9699 SE,669,348,3,1,0,0,0,320,32,0,0,0,0,0,0,352,51,27,67,35,16,61,17,8,7,26,11,16,0,0,1,2,0,1,2
,Bellingwedde,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau MFA Ons Noabershoes,0007::SB7,9566 PL,535,270,0,0,0,0,0,248,22,0,0,0,0,0,0,270,37,10,77,14,3,33,9,18,7,27,12,14,0,1,3,1,1,0,3
,Bellingwedde,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau De Blanckenbörg,0007::SB8,9697 RJ,808,374,2,1,0,0,0,357,20,0,0,0,0,0,0,377,75,36,71,35,28,32,6,8,11,15,11,30,2,0,2,8,0,0,4
,Bellingwedde,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau c.b.s. De Loopplank,0007::SB9,9697 NS,397,248,0,0,0,0,0,220,28,0,0,0,0,0,0,248,12,42,49,24,25,28,9,12,13,8,7,14,0,4,0,0,0,1,0
,Bellingwedde,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Gemeentehuis,0007::SB10,9698 AE,866,491,0,2,0,0,0,451,42,0,0,0,0,0,0,493,82,58,124,43,27,46,23,19,6,25,8,14,0,2,5,1,0,3,5
,Bellingwedde,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau Zalencentrum Het Oude Wapen,0007::SB11,9697 NL,1193,640,1,3,0,0,0,596,49,0,1,0,1,0,0,645,83,81,134,69,42,83,20,11,25,12,18,32,2,6,6,9,2,2,3
