contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),CDA,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,Libertarische Partij (LP),Vrede en Recht,Vrijzinnige Partij,Lokaal Belang Gelderland / 1 Achterhoek,Partij voor Mens en Spirit (MenS),Lokale Partijen Gelderland,PSP'92 Gelderland
Nijmegen,Beuningen,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Zorgcentrum Alde Steeg,0209::SB1,6641 BG,1439,460,2,1,0,0,0,413,50,0,0,0,0,0,0,463,79,43,81,42,55,75,31,10,1,6,23,1,0,1,3,2,7,0
Nijmegen,Beuningen,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Rode Kruis gebouw,0209::SB2,6641 BR,1367,758,2,0,0,0,0,692,68,0,0,0,0,0,0,760,165,56,138,82,100,109,39,5,0,16,30,1,5,2,1,0,6,3
Nijmegen,Beuningen,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau De Dromedaris,0209::SB3,6642 CM,1565,783,1,2,0,0,0,707,79,0,0,0,0,0,0,786,258,63,95,70,72,146,20,7,0,21,20,1,1,0,2,0,5,2
Nijmegen,Beuningen,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau De Peppel,0209::SB4,6642 AB,1560,845,3,3,0,0,0,749,102,0,0,0,0,0,0,851,185,69,99,75,123,159,49,19,0,28,25,0,1,0,5,0,7,1
Nijmegen,Beuningen,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Klavervier,0209::SB5,6641 ST,1511,602,5,0,0,0,1,548,58,0,0,0,0,0,0,607,101,43,47,100,143,80,25,0,0,18,24,3,0,1,6,2,7,2
Nijmegen,Beuningen,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau De Kameleon,0209::SB6,6641 LT,1572,642,0,1,0,0,0,592,51,0,0,0,0,0,0,643,134,45,82,63,110,112,22,11,2,24,24,2,1,2,1,2,2,3
Nijmegen,Beuningen,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Verpleeghuis Waelwick,0209::SB7,6644 CP,1451,609,1,1,0,0,0,551,60,0,0,0,0,0,0,611,99,43,107,77,106,83,29,5,0,20,28,1,1,0,5,2,3,0
Nijmegen,Beuningen,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau MFA 't Hart,0209::SB8,6644 EA,1434,623,0,0,0,0,0,556,67,0,0,0,0,0,0,623,153,43,107,68,116,63,22,7,0,8,18,1,2,0,2,3,6,4
Nijmegen,Beuningen,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Dorpshuis Kloosterhof,0209::SB9,6551 EB,917,501,2,0,0,0,0,474,29,0,0,0,0,0,0,503,64,44,73,67,115,48,30,4,0,17,30,1,0,0,2,1,2,3
Nijmegen,Beuningen,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Zorgcentrum Overmars,0209::SB10,6645 BC,751,397,0,0,0,0,0,369,28,0,0,0,0,0,0,397,81,43,70,42,58,47,20,6,2,6,12,1,3,0,1,2,2,1
Nijmegen,Beuningen,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau De Hoeven,0209::SB11,6641 WR,1364,544,0,4,0,0,0,487,61,0,0,0,0,0,0,548,89,56,72,75,95,81,25,7,0,16,15,0,1,2,4,0,4,2
Nijmegen,Beuningen,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau De Leghe Polder,0209::SB12,6641 DC,1430,569,2,1,0,0,0,508,64,0,0,0,0,0,0,572,66,53,74,109,107,70,29,3,2,15,28,1,2,0,1,2,5,2
Nijmegen,Beuningen,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau De Tinnegieter,0209::SB13,6641 DH,1506,653,2,4,0,0,0,608,51,0,0,0,0,0,0,659,73,57,48,116,122,124,31,6,2,24,30,2,1,1,0,3,7,6
Nijmegen,Beuningen,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau 't Centrum,0209::SB14,6551 ZN,1072,405,1,1,0,0,1,368,38,0,0,0,0,0,0,407,50,32,64,50,53,58,45,9,0,13,13,3,0,2,5,0,6,2
Nijmegen,Beuningen,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau De Paulus,0209::SB15,6645 BT,888,373,2,1,0,0,0,335,41,0,0,0,0,0,0,376,88,35,75,33,51,37,21,0,0,9,20,0,0,1,0,0,3,0
