contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,PVV (Partij voor de Vrijheid),CDA,VVD,Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),GROENLINKS,Democraten 66 (D66),50PLUS,Partij voor de Dieren,Volkspartij Limburg,LOKAAL-LIMBURG,Partij voor Leefbaarheid en Democratie
Maastricht,Brunssum,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Brikkeoave,0899::SB1,6444 AT,1452,906,5,5,0,0,1,795,122,0,2,0,2,0,0,918,170,142,165,92,127,13,36,39,26,3,88,5
Maastricht,Brunssum,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Parochiezaal Gregoriusk,0899::SB2,6441 BD,1375,730,2,2,0,0,0,641,93,0,0,0,0,0,0,734,127,112,94,91,124,10,34,25,13,4,95,1
Maastricht,Brunssum,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Zaal café De Kroeg,0899::SB3,6441 TE,941,404,2,2,0,0,0,357,51,0,0,0,0,0,0,408,146,22,28,49,61,1,7,10,11,6,61,2
Maastricht,Brunssum,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Verpleeghuis Schuttershof,0899::SB4,6442 BE,1134,501,3,3,0,0,0,446,61,0,0,0,0,0,0,507,129,81,54,50,70,8,14,16,32,5,40,2
Maastricht,Brunssum,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau BMV Bronsheim,0899::SB5,6442 EJ,1731,539,3,0,0,0,0,465,77,0,0,0,0,0,0,542,175,19,39,56,115,6,11,12,17,10,77,2
Maastricht,Brunssum,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Zorgcentrum Huize Louise,0899::SB6,6443 BA,1509,663,0,2,0,0,2,581,82,0,0,0,0,0,0,665,130,84,74,78,133,20,31,29,17,2,65,0
Maastricht,Brunssum,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Speeltuingebouw Buschkesberg,0899::SB7,6443 CW,1160,457,1,2,0,0,0,399,61,0,0,0,0,0,0,460,86,75,62,65,80,8,28,11,17,2,23,0
Maastricht,Brunssum,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Brede school Langeberg,0899::SB8,6445 EM,1136,486,0,1,0,0,0,433,54,0,0,0,0,0,0,487,126,50,61,49,87,8,16,18,20,4,46,1
Maastricht,Brunssum,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Verenigingsgebouw De Burcht,0899::SB9,6445 CE,1244,558,1,0,0,0,0,484,75,0,0,0,0,0,0,559,148,65,58,69,105,12,29,24,8,2,35,3
Maastricht,Brunssum,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Parochiezaal Barbarakerk,0899::SB10,6444 XM,1815,931,7,3,0,0,1,833,107,0,0,0,0,0,0,941,198,142,85,106,207,11,48,44,18,5,66,1
Maastricht,Brunssum,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Trefcentrum Treebeek,0899::SB11,6446 XE,1677,612,0,2,0,0,0,545,69,0,0,0,0,0,0,614,127,62,69,68,144,9,49,24,20,2,37,1
Maastricht,Brunssum,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Zorgcentrum Emmastaete,0899::SB12,6446 XE,2002,795,2,3,0,0,0,715,85,0,0,0,0,0,0,800,158,147,93,104,119,18,59,34,19,7,33,4
Maastricht,Brunssum,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Basisschool Fatima,0899::SB13,6444 CL,2049,893,2,12,0,0,0,802,105,0,1,0,0,0,0,907,136,141,127,130,171,16,47,26,24,9,66,0
Maastricht,Brunssum,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Microhal,0899::SB14,6441 HV,1930,545,1,1,0,0,0,474,73,0,0,0,0,0,0,547,122,71,38,58,123,11,33,25,17,5,42,0
Maastricht,Brunssum,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Microhal,0899::SB15,6441 HV,1880,979,3,5,0,0,0,885,102,0,0,0,0,0,0,987,197,124,95,108,206,21,42,33,37,10,104,2
