contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),GROENLINKS,50PLUS,Partij voor de Dieren,PLATFORM VRIJE POLITIEK,StemNL,Lokaal Brabant,Libertarische Partij (LP),ChristenUnie-SGP
's-Hertogenbosch,Cranendonck,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Gemeenschapshuis De Borgh,1706::SB1,6021 CK,1424,558,3,0,0,0,0,505,56,0,0,0,0,0,0,561,92,139,102,80,25,54,9,29,15,1,0,11,1,0
's-Hertogenbosch,Cranendonck,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau zaal Bellevue,1706::SB2,6021 CN,1550,650,4,5,0,0,0,579,80,0,0,0,0,0,0,659,114,163,130,77,29,50,12,35,18,0,1,15,1,5
's-Hertogenbosch,Cranendonck,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,"Stembureau Basisschool ""De Triolier""",1706::SB3,6021 KB,1370,548,0,3,0,0,0,490,61,0,0,0,0,0,0,551,88,104,92,92,39,66,15,30,11,0,1,8,1,1
's-Hertogenbosch,Cranendonck,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Zorgcentrum Marienburght,1706::SB4,6021 XL,1425,680,3,4,0,0,0,615,72,0,0,0,0,0,0,687,87,185,127,99,41,60,16,37,15,0,0,9,0,4
's-Hertogenbosch,Cranendonck,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,"Stembureau Gemeenschapshuis ""Den Donck""",1706::SB5,6027 PL,1412,643,2,1,0,0,0,570,76,0,0,0,0,0,0,646,100,188,114,94,24,56,14,26,18,0,0,6,3,0
's-Hertogenbosch,Cranendonck,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,"Stembureau Gemeenschapshuis""De Reinder""",1706::SB6,6023 AR,1610,679,2,3,0,0,0,615,69,0,0,0,0,0,0,684,69,150,155,100,39,41,10,54,26,3,0,22,3,7
's-Hertogenbosch,Cranendonck,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,"Stembureau Gemeenschapshuis ""De Schakel""",1706::SB7,6024 AR,1111,424,1,3,0,0,0,387,41,0,0,0,0,0,0,428,52,61,111,91,21,25,10,21,19,0,3,2,0,8
's-Hertogenbosch,Cranendonck,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau De Smeltkroes  (bureau 1),1706::SB8,6026 ER,1459,705,1,1,0,0,0,618,89,0,0,0,0,0,0,707,176,125,93,87,78,71,12,18,17,2,0,17,1,8
's-Hertogenbosch,Cranendonck,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Zorgcentrum Marishof,1706::SB9,6026 BA,1371,834,8,0,2,0,0,760,84,0,0,0,2,0,0,844,129,174,111,130,80,92,19,54,23,0,0,13,2,7
's-Hertogenbosch,Cranendonck,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,"Stembureau Gemeenschapshuis ""De Schaapskooi""",1706::SB10,6028 SG,571,232,2,1,0,0,0,205,30,0,0,0,0,0,0,235,35,77,35,41,10,11,1,12,8,0,0,1,0,1
's-Hertogenbosch,Cranendonck,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Junior-College,1706::SB11,6021 BP,1398,504,1,1,0,0,0,436,70,0,0,0,0,0,0,506,87,114,83,72,35,40,10,38,12,2,0,8,0,3
's-Hertogenbosch,Cranendonck,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau De Smeltkroes (bureau 2),1706::SB12,6026 ER,1303,418,1,1,0,0,0,357,63,0,0,0,0,0,0,420,123,70,46,41,29,67,8,14,11,0,0,4,1,4
