contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),CDA,SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),50PLUS,Partij voor de Dieren,Nederland Lokaal,Libertarische Partij (LP),Verenigde Lokale Partijen Zuid-Holland,Vrijzinnige Partij,JEZUS LEEFT
Dordrecht,Dordrecht,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Stadhuis,0505::SB1,3300 AA,1444,1173,3,3,0,1,2,1066,110,0,0,1,0,0,0,1178,238,143,95,67,159,213,92,40,25,26,61,4,1,5,0,4
Dordrecht,Dordrecht,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Stadskantoor,0505::SB2,3311 GR,1356,939,3,3,0,0,1,842,102,0,0,0,0,0,0,945,124,121,85,94,123,161,69,40,41,21,48,5,3,1,1,2
Dordrecht,Dordrecht,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Het Praathuis,0505::SB3,3311 XN,1141,288,2,2,0,0,0,259,33,0,0,0,0,0,0,292,26,45,30,15,53,35,34,10,3,8,22,1,3,2,0,1
Dordrecht,Dordrecht,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Centrum Stapal,0505::SB4,3311 TV,1224,636,2,3,0,0,0,585,56,0,0,0,0,0,0,641,91,94,91,51,71,93,42,14,7,27,45,5,2,1,0,2
Dordrecht,Dordrecht,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,"Stembureau Wielborgh, het Stadswiel",0505::SB6,3311 GB,1436,533,3,5,0,0,0,496,45,0,0,0,0,0,0,541,105,66,46,51,67,69,55,18,5,16,28,2,1,4,0,0
Dordrecht,Dordrecht,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Schoolgebouw,0505::SB7,3311 LG,1385,615,4,3,0,0,60,563,0,0,0,0,1,0,0,623,87,79,47,48,80,117,62,34,15,9,36,0,0,1,0,0
Dordrecht,Dordrecht,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Dordrechts Museum,0505::SB8,3311 XP,2688,795,8,6,0,1,0,740,70,0,0,0,1,0,0,810,110,93,83,46,129,144,70,21,10,27,53,2,1,2,0,4
Dordrecht,Dordrecht,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Energiehuis,0505::SB9,3311 RR,1380,542,4,3,0,0,0,472,77,0,0,0,0,0,0,549,70,70,39,47,85,83,58,23,3,19,27,16,0,1,0,1
Dordrecht,Dordrecht,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau School Noordhove,0505::SB10,3312 EP,1293,497,4,0,0,0,0,453,48,0,0,0,0,0,0,501,50,42,62,41,94,60,45,31,20,12,29,5,0,1,1,4
Dordrecht,Dordrecht,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Schoolgebouw,0505::SB15,3312 GS,1201,622,2,2,0,0,0,562,63,0,0,1,0,1,0,625,97,60,50,44,71,101,53,44,24,20,45,7,1,4,0,1
Dordrecht,Dordrecht,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Zorgcentrum De Linde,0505::SB17,3312 GT,867,616,2,5,0,0,0,556,67,0,0,0,0,0,0,623,54,69,79,60,85,66,47,53,36,27,33,4,0,2,0,1
Dordrecht,Dordrecht,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Werkplaats Oost,0505::SB18,3312 CJ,1228,349,1,0,0,0,0,313,37,0,0,0,0,0,0,350,51,30,29,40,47,39,34,28,21,6,21,0,0,1,0,2
Dordrecht,Dordrecht,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Kerkgebouw Pinkstergemeente,0505::SB19,3312 AM,1303,471,1,2,0,0,0,428,46,0,0,0,0,0,0,474,119,49,42,44,55,43,20,30,24,17,23,2,0,1,0,2
Dordrecht,Dordrecht,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Dordtse Vrije School,0505::SB20,3312 NB,1244,540,0,6,0,1,0,479,68,0,0,0,1,0,0,547,37,64,64,40,80,63,45,54,29,21,38,1,1,3,0,0
Dordrecht,Dordrecht,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau School de Repelaer,0505::SB22,3312 LN,1541,640,1,2,0,0,0,585,58,0,0,0,0,0,0,643,51,68,68,63,70,93,59,44,75,16,31,0,0,0,0,2
Dordrecht,Dordrecht,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Ark van Noach,0505::SB26,3313 CR,1559,430,0,3,0,0,0,381,52,0,0,0,0,0,0,433,37,44,86,27,74,30,15,36,21,23,32,2,1,0,0,2
Dordrecht,Dordrecht,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau School De Regenboog,0505::SB27,3313 BN,1249,439,1,1,0,0,0,413,28,0,0,0,0,0,0,441,36,30,98,42,91,37,5,25,15,32,25,1,0,1,1,0
Dordrecht,Dordrecht,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Woon- en Zorgcentr. Merwelanden,0505::SB29,3313 EM,1222,476,8,0,0,0,0,450,34,0,0,0,0,0,0,484,41,52,100,92,60,30,15,17,3,46,14,4,1,0,0,1
Dordrecht,Dordrecht,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Soc. Cultureel Centrum Aksa,0505::SB33,3314 NX,1224,330,3,1,0,0,1,285,47,0,0,1,0,1,0,333,17,30,62,61,42,34,17,11,7,15,14,16,0,1,0,3
Dordrecht,Dordrecht,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Prinsemarij,0505::SB34,3314 JR,2666,858,4,6,0,2,0,767,103,0,0,0,2,0,0,870,72,75,150,63,125,96,54,47,79,34,49,2,5,3,0,4
Dordrecht,Dordrecht,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Gebouw Dorswedo,0505::SB36,3314 GR,1206,504,5,2,0,0,0,457,54,0,0,0,0,0,0,511,49,45,107,33,64,44,16,47,32,29,29,7,1,0,0,1
