contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,PVV (Partij voor de Vrijheid),CDA,VVD,Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),GROENLINKS,Democraten 66 (D66),50PLUS,Partij voor de Dieren,Volkspartij Limburg,LOKAAL-LIMBURG,Partij voor Leefbaarheid en Democratie
Venlo,Echt-Susteren,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Stadhuis,1711::SB1,6101 CV,1549,1062,9,0,0,0,0,952,119,0,0,0,0,0,0,1071,159,303,127,49,99,69,92,38,35,44,43,4
Venlo,Echt-Susteren,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Trefcentrum Edith Stein,1711::SB2,6101 AT,1806,730,7,4,0,0,0,636,105,0,0,0,0,0,0,741,137,220,76,31,104,24,51,16,18,36,16,1
Venlo,Echt-Susteren,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Zorgcentrum De Egthe,1711::SB3,6101 EX,1401,516,2,2,0,0,1,462,57,0,0,0,0,0,0,520,127,122,33,19,83,24,38,12,16,16,23,3
Venlo,Echt-Susteren,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Buurthuis St Joris,1711::SB4,6101 JX,1472,681,1,2,0,0,0,606,78,0,0,0,0,0,0,684,168,134,33,40,140,32,45,24,25,16,19,5
Venlo,Echt-Susteren,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Trefcentrum De Blomehoaf,1711::SB5,6101 NK,1577,494,3,1,0,0,0,451,47,0,0,0,0,0,0,498,110,100,40,22,92,24,32,20,9,7,36,2
Venlo,Echt-Susteren,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Clublokaal De Ster,1711::SB6,6102 CW,1812,799,3,4,0,0,0,712,94,0,0,0,0,0,0,806,170,233,62,40,97,36,64,23,13,28,28,5
Venlo,Echt-Susteren,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Basisschool Patricius,1711::SB7,6102 AS,1389,570,2,0,0,0,0,497,76,0,1,0,1,0,0,573,125,162,53,14,76,28,37,17,17,8,32,1
Venlo,Echt-Susteren,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Clubgebouw Slekker Boys,1711::SB8,6102 XR,843,404,2,1,0,0,0,358,49,0,0,0,0,0,0,407,105,100,34,24,61,5,19,18,11,2,24,1
Venlo,Echt-Susteren,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Café 't Heukske,1711::SB9,6111 AP,1195,518,5,0,0,0,0,463,60,0,0,0,0,0,0,523,112,148,62,17,62,23,30,28,11,8,17,0
Venlo,Echt-Susteren,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Café van Pol,1711::SB10,6104 AR,1360,618,6,1,0,0,0,539,86,0,0,0,0,0,0,625,123,147,81,14,58,12,25,10,19,7,122,0
Venlo,Echt-Susteren,PS2015_Limburg,Provinciale Staten Limburg 2015,,Limburg,2015-03-18,Stembureau Gemeenschapshuis Maria Hoop,1711::SB11,6105 AT,1041,516,4,2,0,0,0,461,61,0,0,0,0,0,0,522,129,120,79,12,38,19,22,21,29,14,33,0
