contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),GROENLINKS,50PLUS,Partij voor de Dieren,PLATFORM VRIJE POLITIEK,StemNL,Lokaal Brabant,Libertarische Partij (LP),ChristenUnie-SGP
's-Hertogenbosch,Geldrop-Mierlo,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau 1 - Gemeentehuis Geldrop,1771::SB1,,1615,1007,4,4,0,3,2,911,99,0,0,3,0,0,0,1012,149,244,102,176,64,118,50,54,34,1,0,6,2,7
's-Hertogenbosch,Geldrop-Mierlo,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau 2 - Basisschool Dommeldal,1771::SB2,,1304,620,2,1,0,2,0,549,72,0,0,2,0,0,0,621,96,105,66,106,52,85,39,24,33,0,0,9,1,4
's-Hertogenbosch,Geldrop-Mierlo,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau 3 - Nuts Basisschool Beneden Beekloop,1771::SB3,,1568,615,3,0,0,1,0,558,59,0,0,1,0,0,0,617,87,46,56,122,62,97,59,22,46,1,0,8,2,7
's-Hertogenbosch,Geldrop-Mierlo,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau 4 - Basisschool St. Jozef,1771::SB4,,1509,760,4,0,0,0,1,677,86,0,0,0,0,0,0,764,136,113,77,96,80,129,46,29,24,0,0,10,0,20
's-Hertogenbosch,Geldrop-Mierlo,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau 5 - Gemeenschapshuis Zesgehuchten,1771::SB5,,1458,828,3,1,0,11,0,765,56,0,0,11,0,0,0,821,108,161,51,140,74,129,57,43,37,0,0,6,2,20
's-Hertogenbosch,Geldrop-Mierlo,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau 6 - Basisschool de Ganzebloem,1771::SB6,,1335,717,4,0,0,0,0,625,96,0,0,0,0,0,0,721,149,105,77,115,49,111,51,21,24,0,0,10,2,3
's-Hertogenbosch,Geldrop-Mierlo,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau 7 - Basisschool de Ganzebloem,1771::SB7,,1321,554,6,2,0,1,0,492,69,0,0,1,0,0,0,561,99,57,60,67,45,111,49,19,24,0,1,14,1,7
's-Hertogenbosch,Geldrop-Mierlo,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau 8 - Zorgcentrum Akert,1771::SB8,,1674,766,0,0,0,1,0,689,78,0,0,0,1,0,0,767,88,173,116,135,61,72,25,45,21,1,0,13,4,12
's-Hertogenbosch,Geldrop-Mierlo,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau 9 - Wijkcentrum De Dreef,1771::SB9,,1418,680,2,1,0,1,1,624,59,0,0,0,1,0,0,684,38,91,119,189,50,67,31,42,29,0,0,6,2,16
's-Hertogenbosch,Geldrop-Mierlo,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau 10 - Nutsbasisschool de Regenboog,1771::SB10,,1432,607,1,2,0,0,0,584,26,0,0,0,0,0,0,610,56,93,89,135,44,74,49,19,27,0,0,15,2,4
