contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),CDA,SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),50PLUS,Partij voor de Dieren,Nederland Lokaal,Libertarische Partij (LP),Verenigde Lokale Partijen Zuid-Holland,Vrijzinnige Partij,JEZUS LEEFT
Dordrecht,Gorinchem,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Stadhuis,0512::SB1,,1750,914,4,4,0,0,3,795,124,0,0,0,0,0,0,922,193,112,120,86,121,112,51,46,18,20,30,1,0,1,0,3
Dordrecht,Gorinchem,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Gorcums Museum,0512::SB2,,1235,664,1,2,0,0,0,613,54,0,0,0,0,0,0,667,127,85,62,63,68,109,50,32,11,13,33,1,3,0,1,6
Dordrecht,Gorinchem,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Huize Steijndeld,0512::SB3,,852,371,2,0,0,0,0,330,43,0,0,0,0,0,0,373,63,45,54,30,58,43,37,12,10,7,8,2,0,2,0,0
Dordrecht,Gorinchem,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Buurthuis De Aanlegsteiger,0512::SB4,,1284,667,5,0,0,0,0,591,81,0,0,0,0,0,0,672,142,82,61,41,119,87,56,21,8,15,31,0,1,2,1,0
Dordrecht,Gorinchem,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Schoolgebouw A,0512::SB5,,2113,942,2,3,0,0,0,846,101,0,0,0,0,0,0,947,168,116,112,91,117,136,46,65,25,22,34,5,0,1,1,3
Dordrecht,Gorinchem,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Oosterbliek,0512::SB7,,1164,740,1,2,0,0,0,659,84,0,0,0,0,0,0,743,153,68,93,91,79,86,26,68,39,14,16,1,3,1,1,1
Dordrecht,Gorinchem,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Schoolgebouw C,0512::SB8,,2774,1094,5,4,0,0,0,928,175,0,0,0,0,0,0,1103,216,103,130,157,132,123,39,94,37,30,22,3,3,0,1,4
Dordrecht,Gorinchem,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,"Stembureau Buurthuis ""West""",0512::SB10,,1166,505,1,0,0,0,0,448,58,0,0,0,0,0,0,506,76,66,54,57,72,44,26,41,20,17,26,1,1,0,1,3
Dordrecht,Gorinchem,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Dorpshuis De Elzenhof,0512::SB11,,1636,833,1,0,0,0,0,697,137,0,0,0,0,0,0,834,286,60,63,96,66,109,29,52,39,14,13,4,1,1,0,0
Dordrecht,Gorinchem,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Merewade College,0512::SB12,,787,293,0,1,0,0,0,260,34,0,0,0,0,0,0,294,42,52,39,22,62,23,5,17,8,12,7,0,0,1,0,3
Dordrecht,Gorinchem,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Lingewijkgebouw,0512::SB13,,1019,359,2,0,0,0,0,327,34,0,0,0,0,0,0,361,35,52,80,30,63,27,11,20,3,20,12,2,0,1,1,2
Dordrecht,Gorinchem,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Gebouw Leger des Heils,0512::SB14,,1050,433,1,0,0,2,0,385,47,0,0,2,0,0,0,432,72,31,62,61,55,57,18,37,13,11,8,0,0,4,0,4
Dordrecht,Gorinchem,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Schoolgebouw E,0512::SB15,,1213,556,7,8,0,0,0,516,55,0,0,0,0,0,0,571,63,74,77,77,67,49,17,57,40,17,15,1,1,0,0,1
Dordrecht,Gorinchem,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Dienstencentrum Rozenobel,0512::SB16,,1551,447,2,2,0,0,0,388,63,0,0,0,0,0,0,451,26,79,60,36,87,40,32,40,8,18,13,4,0,2,0,2
Dordrecht,Gorinchem,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau De Schutse,0512::SB17,,1149,483,5,1,0,0,0,430,59,0,0,0,0,0,0,489,36,72,56,63,65,44,23,43,36,22,15,0,0,0,2,6
Dordrecht,Gorinchem,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Schoolgebouw F,0512::SB18,,1441,596,2,3,0,0,0,539,62,0,0,0,0,0,0,601,83,67,73,72,99,64,24,61,24,13,13,1,0,1,0,1
Dordrecht,Gorinchem,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Schoolgebouw G,0512::SB19,,911,313,1,1,0,0,0,289,26,0,0,0,0,0,0,315,25,22,50,57,63,28,5,27,14,7,13,0,2,0,0,0
Dordrecht,Gorinchem,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Het Gasthuis,0512::SB20,,1082,342,0,2,0,0,0,320,24,0,0,0,0,0,0,344,42,23,48,53,50,27,10,27,14,32,9,4,0,1,0,2
Dordrecht,Gorinchem,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Huize St. Clara,0512::SB21,,1031,456,2,1,0,0,0,416,43,0,0,0,0,0,0,459,33,64,69,56,94,28,10,23,14,34,13,11,2,4,0,1
Dordrecht,Gorinchem,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau WonenLerenZorg gebouw,0512::SB22,,1128,531,0,0,0,0,1,473,57,0,0,0,0,0,0,531,61,71,56,99,106,39,17,33,17,16,9,1,0,3,0,3
