contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Partij van de Arbeid (P.v.d.A.),VVD,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),50PLUS,LOKAAL OVERIJSSEL,Partij voor de Dieren
,Haaksbergen,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Gemeentehuis,0158::SB1,7481 HS,1707,1056,4,3,0,0,3,954,106,0,0,0,0,0,0,1063,250,125,155,114,144,118,18,39,2,30,42,19
,Haaksbergen,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau 't Saalmerink,0158::SB2,7481 EN,1527,580,0,3,0,0,0,532,51,0,0,0,0,0,0,583,204,58,82,55,57,51,2,10,0,24,32,5
,Haaksbergen,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,"Stembureau De Trefkoel,Buurse",0158::SB3,7481 RP,1132,600,2,3,0,0,0,525,80,0,0,0,0,0,0,605,195,32,145,62,37,50,13,16,3,19,17,11
,Haaksbergen,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,"Stembureau 't Meuken,Isidorushoeve",0158::SB4,7482 ST,1201,665,0,2,0,0,0,563,104,0,0,0,0,0,0,667,403,25,76,58,21,26,3,9,3,8,28,5
,Haaksbergen,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau School de Holthuizen,0158::SB5,7482 ET,1273,631,2,1,0,0,0,580,54,0,0,0,0,0,0,634,146,48,100,52,85,114,4,23,2,17,26,14
,Haaksbergen,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Het Wiedenbroek,0158::SB6,7481 BT,1213,551,1,1,0,0,0,507,46,0,0,0,0,0,0,553,160,66,80,53,50,56,7,4,1,26,36,12
,Haaksbergen,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Honeschschool,0158::SB7,7481 VB,983,528,0,1,0,0,0,463,66,0,0,0,0,0,0,529,186,30,99,82,28,25,3,8,0,23,33,11
,Haaksbergen,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau School de Wereld,0158::SB8,7482 ET,1474,610,3,0,0,0,0,563,50,0,0,0,0,0,0,613,143,70,62,67,72,85,6,21,1,25,39,19
,Haaksbergen,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Montessorischool,0158::SB9,7481 BC,1502,685,1,0,0,0,0,623,63,0,0,0,0,0,0,686,240,48,103,55,49,100,14,16,1,19,27,13
,Haaksbergen,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Verenigingsgebouw D.I.O.,0158::SB10,7481 GN,1467,677,0,3,0,0,0,622,58,0,0,0,0,0,0,680,188,80,88,80,74,55,6,8,5,33,42,18
,Haaksbergen,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Basisschool de Weert,0158::SB11,7482 TT,1204,578,0,1,0,0,0,534,45,0,0,0,0,0,0,579,137,79,87,52,68,72,4,20,0,15,32,12
,Haaksbergen,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Basisschool Dr. Ariens,0158::SB12,7482 ZK,1455,644,3,1,0,0,0,576,72,0,0,0,0,0,0,648,160,90,73,59,93,83,6,18,0,30,24,8
,Haaksbergen,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Sporthal de Els,0158::SB13,7482 VX,1262,621,2,1,0,0,0,559,65,0,0,0,0,0,0,624,128,71,89,74,89,75,10,20,5,20,34,6
,Haaksbergen,PS2015_Overijssel,Provinciale Staten Overijssel 2015,,Overijssel,2015-03-18,Stembureau Basisschool Los Hoes,0158::SB14,7483 CT,1555,693,1,2,0,0,0,625,71,0,0,0,0,0,0,696,142,72,161,63,50,124,4,23,1,20,25,8
