contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),CDA,SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),50PLUS,Partij voor de Dieren,Nederland Lokaal,Libertarische Partij (LP),Verenigde Lokale Partijen Zuid-Holland,Vrijzinnige Partij,JEZUS LEEFT
Dordrecht,Hellevoetsluis,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Hal  Gemeentehuis,0530::SB1,3221 AL,1167,623,1,2,0,0,0,545,81,0,0,0,0,0,0,626,188,67,79,52,47,82,28,12,2,25,30,4,2,4,0,1
Dordrecht,Hellevoetsluis,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Werkloods Droogdok,0530::SB2,3221 AD,1315,209,0,0,0,0,1,183,25,0,0,0,0,0,0,209,43,36,46,9,18,24,1,5,1,15,8,1,0,1,0,1
Dordrecht,Hellevoetsluis,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau 't Schrijverke,0530::SB3,3221 VP,1405,843,3,2,0,0,0,766,82,0,0,0,0,0,0,848,122,99,181,90,110,75,30,16,5,53,39,10,0,8,2,3
Dordrecht,Hellevoetsluis,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Verpleegh. Grootenhoek,0530::SB4,3222 AA,1411,505,2,1,0,1,0,456,53,0,0,0,1,0,0,509,117,64,90,59,63,41,7,5,3,22,25,7,1,1,0,0
Dordrecht,Hellevoetsluis,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau School De Wateringe,0530::SB5,3222 XA,1171,519,0,4,0,1,0,485,37,0,0,1,0,0,0,522,72,79,101,48,72,55,16,13,4,34,20,4,0,1,0,0
Dordrecht,Hellevoetsluis,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau School De Brug,0530::SB6,3223 XE,1302,469,2,2,0,4,0,421,48,0,0,4,0,0,0,469,56,42,111,41,84,23,20,8,4,34,26,12,0,3,0,5
Dordrecht,Hellevoetsluis,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Sporthal De Eendraght,0530::SB7,3223 EV,1279,713,6,2,0,0,0,642,78,0,0,1,0,0,1,720,138,79,133,78,66,74,30,21,1,49,30,7,0,7,0,0
Dordrecht,Hellevoetsluis,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Schoollocatie,0530::SB8,3224 TT,1288,711,0,2,0,0,0,629,84,0,0,0,0,0,0,713,118,75,132,59,109,66,26,24,3,34,50,7,2,5,0,1
Dordrecht,Hellevoetsluis,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau De Bibliotheek,0530::SB9,3224 XL,1249,476,1,5,0,0,0,435,47,0,0,0,0,0,0,482,62,55,93,52,62,39,12,9,1,63,18,3,0,5,0,2
Dordrecht,Hellevoetsluis,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Woonzorgcentrum Voornesteyn,0530::SB10,3224 TD,1227,477,2,0,0,0,0,438,41,0,0,0,0,0,0,479,54,65,109,49,72,40,14,13,6,29,15,5,1,5,0,0
