contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),CDA,Democraten 66 (D66),PVV (Partij voor de Vrijheid),GROENLINKS,SP (Socialistische Partij),ChristenUnie,Staatkundig Gereformeerde Partij (SGP),50PLUS,Partij voor de Dieren,Vrijzinnige Partij,Provincie@Inwonersbelangen,Libertarische Partij (LP),JEZUS LEEFT
,Houten,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Gemeentehuis,0321::SB1,3995 DW,2062,1238,4,1,0,3,1,1134,111,0,0,0,3,0,0,1246,143,157,129,178,131,97,143,96,39,55,57,0,10,1,2
,Houten,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau RK basisschool Heilige Familie,0321::SB2,3991 AA,1027,855,2,0,0,2,0,776,83,0,0,0,2,0,0,859,176,89,163,107,67,45,55,34,53,26,26,3,9,2,0
,Houten,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Verpleeghuis Het Houtens Erf,0321::SB3,3991 KZ,1510,860,14,7,0,0,0,792,89,0,0,0,0,0,0,881,183,81,107,157,55,58,62,65,43,28,17,1,2,1,0
,Houten,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Wereldhuis,0321::SB4,3991 VJ,1379,715,3,0,0,2,2,648,70,0,0,0,2,0,0,720,129,56,93,89,55,70,67,64,34,22,29,0,5,1,1
,Houten,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau SCC Nieuwoord (grote zaal),0321::SB5,3992 JR,1702,1073,1,1,0,0,0,954,121,0,0,0,0,0,0,1075,153,97,115,193,84,105,90,88,63,31,45,1,6,2,0
,Houten,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau PC basisschool Wereldwijs,0321::SB6,3991 WE,2205,1216,5,2,0,0,0,1084,139,0,0,0,0,0,0,1223,144,163,126,185,83,108,122,129,68,37,41,1,2,1,6
,Houten,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau RKBS De Zevensprong,0321::SB7,3992 RD,2226,1428,2,2,0,3,0,1291,144,0,0,0,3,0,0,1435,202,171,140,309,91,129,96,147,54,26,49,3,11,0,0
,Houten,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau De KrachtFabriek,0321::SB8,3993 BG,2009,898,1,1,0,0,0,812,88,0,0,0,0,0,0,900,99,97,67,109,97,83,121,87,49,37,48,1,2,0,1
,Houten,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau OBS Klavertje Vier,0321::SB9,3993 GE,1870,964,4,3,0,0,0,870,101,0,0,0,0,0,0,971,87,96,88,149,111,81,140,86,27,42,49,1,5,0,2
,Houten,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,"Stembureau PCB Het Mozaïek, locatie Het Gilde",0321::SB10,3994 BM,1665,944,2,1,0,0,0,859,90,0,2,0,2,0,0,949,134,110,79,127,95,87,101,89,47,32,37,0,4,1,1
,Houten,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau OBS De Brug,0321::SB11,3994 EK,1260,882,1,2,0,1,0,808,78,0,0,0,1,0,0,886,143,107,108,166,63,82,67,68,16,33,23,0,6,0,0
,Houten,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau SCC De Ploeg,0321::SB12,3997 MH,456,275,1,0,0,0,0,248,28,0,0,0,0,0,0,276,59,9,87,14,20,11,13,3,31,15,12,0,1,0,0
,Houten,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau SCC De Wiese,0321::SB13,3998 MD,1316,729,3,2,0,0,0,653,82,0,0,0,1,0,1,735,162,55,219,81,63,23,31,20,34,18,16,0,5,0,2
,Houten,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau SCC 't Gebouw,0321::SB14,3999 RK,708,382,1,3,0,0,0,326,60,0,0,0,0,0,0,386,75,22,67,34,42,18,18,17,70,11,5,0,3,0,0
,Houten,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau RKBS De Vlinder,0321::SB15,3994 PB,2186,1190,3,2,0,0,0,1007,188,0,0,0,0,0,0,1195,317,77,135,281,82,60,47,86,31,21,45,1,5,2,0
,Houten,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Woonzorgcomplex De Loericker Stee,0321::SB16,3994 VT,2364,1214,1,5,0,1,0,1078,143,0,0,0,1,0,0,1221,204,126,133,201,113,55,100,123,53,44,46,2,8,1,5
,Houten,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Wijkcentrum De Vuurtoren,0321::SB18,3994 KE,2155,1057,4,1,0,0,0,933,129,0,0,0,0,0,0,1062,222,93,118,179,114,36,84,74,39,35,47,3,8,0,5
,Houten,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau App.complex  De Gordel van Smaragd,0321::SB19,3994 NS,1014,502,2,1,0,2,0,444,63,0,0,0,2,0,0,507,121,38,29,100,53,26,36,41,18,18,14,0,8,0,0
,Houten,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau PCBS De Zonnewijzer,0321::SB20,3991 MV,2052,990,1,2,0,0,0,870,123,0,0,0,0,0,0,993,214,79,104,171,94,43,48,104,56,31,35,0,10,0,1
,Houten,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Wijkcentrum Schoneveld,0321::SB21,3991 MX,2394,1122,3,1,0,10,0,1022,114,0,0,0,10,0,0,1136,281,102,108,190,92,66,99,71,24,32,40,0,16,0,1
,Houten,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau OBS De Plantage,0321::SB22,3991 ZE,2220,992,2,1,0,3,0,866,132,0,0,0,3,0,0,998,261,62,103,214,94,45,57,47,41,28,28,0,10,0,2
,Houten,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Het Haltna Huis,0321::SB23,3995 GZ,0,41,0,0,0,0,0,39,2,0,0,0,0,0,0,41,5,9,12,2,4,1,7,1,0,0,0,0,0,0,0
