contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),CDA,PVV (Partij voor de Vrijheid),Staatkundig Gereformeerde Partij (SGP),SP (Socialistische Partij),PARTIJ VOOR ZEELAND (PVZ),ChristenUnie,Democraten 66 (D66),GROENLINKS,50PLUS,Provinciaal Belang Zeeland,Zeeland Lokaal
,Hulst,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Hal Stadhuis,0677::SB1,4561 EA,2260,1201,5,1,0,0,0,1037,169,0,0,1,0,0,0,1206,283,106,180,134,5,142,14,12,76,20,83,22,124
,Hulst,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,"Stembureau St. Curamus, loc. De Blaauwe Hoeve",0677::SB2,4561 NT,1309,713,2,1,0,0,0,634,82,0,0,0,0,0,0,716,118,53,138,76,1,93,10,6,57,19,27,19,96
,Hulst,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Gemeenschapscentrum Den Dullaert,0677::SB3,4561 KZ,2095,1071,3,3,0,0,0,932,145,0,0,0,0,0,0,1077,206,89,173,129,2,128,19,10,96,30,56,32,101
,Hulst,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,"Stembureau Reynaertcollege, loc. Gildenstraat",0677::SB4,4561 WZ,2302,716,2,1,0,0,0,617,102,0,0,0,0,0,0,719,106,73,98,103,2,152,7,8,38,21,22,14,72
,Hulst,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Gemeenschapscentrum Malpertuus,0677::SB5,4567 BM,1668,622,3,1,0,0,0,531,95,0,0,0,0,0,0,626,67,87,66,110,0,114,6,4,40,10,38,10,70
,Hulst,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Gemeenschapscentrum de Kauter,0677::SB6,4568 AB,493,212,2,1,0,0,0,169,46,0,0,0,0,0,0,215,21,16,54,35,1,28,8,1,7,1,13,3,24
,Hulst,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Gemeenschapshuis Graauw,0677::SB7,4569 AG,622,380,3,0,0,0,1,318,65,0,0,0,1,0,0,384,49,24,99,44,0,63,13,5,14,16,8,9,36
,Hulst,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Gemeenschapscentrum De Warande,0677::SB8,4564 AD,2510,1107,5,2,0,1,0,929,186,0,0,0,1,0,0,1115,135,100,141,135,1,162,16,9,50,25,74,25,234
,Hulst,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Gemeenschapscentrum 't Heike,0677::SB9,4566 AC,917,452,3,0,0,0,0,374,81,0,0,0,0,0,0,455,73,39,85,50,0,33,5,3,18,8,25,9,104
,Hulst,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,"Stembureau St. Curamus, locatie Antonius",0677::SB10,4587 CW,1237,594,0,1,0,0,0,512,83,0,0,0,0,0,0,595,78,36,109,82,3,78,12,3,23,11,20,10,129
,Hulst,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Dorpscentrum De Luifel,0677::SB11,4586 AN,712,360,4,3,0,0,0,312,55,0,0,0,0,0,0,367,38,25,73,36,1,38,3,2,20,10,18,5,91
,Hulst,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Dorpshuis Terhole,0677::SB12,4583 ST,441,226,0,1,0,0,0,205,22,0,0,0,0,0,0,227,17,23,45,23,1,48,6,0,9,11,7,5,31
,Hulst,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Dorpscentrum Vogelwaarde,0677::SB13,4581 BR,1412,672,1,1,0,0,0,572,102,0,0,0,0,0,0,674,66,56,142,89,8,85,15,8,26,20,31,9,117
,Hulst,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Gemeenschapshuis Hof ter Nesse,0677::SB14,4589 KR,387,213,1,1,0,0,0,178,37,0,0,0,0,0,0,215,14,12,59,20,0,33,2,2,10,4,8,15,34
,Hulst,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Dorpscentrum De Schuur,0677::SB15,4585 AJ,487,261,0,1,0,0,0,227,35,0,0,0,0,0,0,262,21,18,55,34,6,46,1,3,13,11,9,6,38
,Hulst,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Voormalig gem.huis Kloosterzande,0677::SB16,4587 CK,1187,603,2,4,0,0,0,506,103,0,0,0,0,0,0,609,72,25,110,45,0,100,9,1,22,10,26,10,173
