contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),GROENLINKS,50PLUS,Partij voor de Dieren,PLATFORM VRIJE POLITIEK,StemNL,Lokaal Brabant,Libertarische Partij (LP),ChristenUnie-SGP
's-Hertogenbosch,Laarbeek,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Gemeentehuis,1659::SB1,,1192,627,4,0,0,0,0,567,64,0,0,0,0,0,0,631,78,130,79,113,68,73,37,32,8,0,2,5,0,2
's-Hertogenbosch,Laarbeek,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Muziekcentrum 't Anker,1659::SB2,,1510,666,5,3,0,0,0,594,80,0,0,0,0,0,0,674,125,139,71,104,44,62,53,28,16,2,1,15,2,4
's-Hertogenbosch,Laarbeek,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Basisschool De Muldershof,1659::SB3,,1444,552,0,1,0,0,0,502,51,0,0,0,0,0,0,553,75,79,74,144,34,79,30,14,12,0,0,6,2,3
's-Hertogenbosch,Laarbeek,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Ontmoetingscentrum,1659::SB4,,1187,441,2,1,0,0,0,404,40,0,0,0,0,0,0,444,41,78,67,108,40,40,25,22,9,1,2,8,0,0
's-Hertogenbosch,Laarbeek,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Herberg 't Huukske,1659::SB5,,2562,1017,3,3,0,0,0,916,107,0,0,0,0,0,0,1023,149,233,137,170,80,110,63,28,24,2,1,13,2,5
's-Hertogenbosch,Laarbeek,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau De Dreef AR,1659::SB6,,2204,1016,3,0,0,0,0,898,121,0,0,0,0,0,0,1019,110,122,97,217,86,161,136,34,28,1,2,6,1,15
's-Hertogenbosch,Laarbeek,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau De Pastorie AR,1659::SB7,,2242,1219,1,4,0,5,0,1083,136,0,0,5,0,0,0,1219,141,101,104,259,135,237,136,31,37,1,3,17,4,13
's-Hertogenbosch,Laarbeek,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Franciscushof Lieshout,1659::SB8,,1919,895,0,2,0,0,0,775,122,0,0,0,0,0,0,897,142,139,111,143,84,111,89,25,34,0,0,4,0,13
's-Hertogenbosch,Laarbeek,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Dorpshuis Lieshout,1659::SB9,,1388,807,3,2,0,0,0,769,34,0,0,9,0,0,0,803,103,141,89,152,86,94,56,31,26,1,0,8,1,19
's-Hertogenbosch,Laarbeek,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Buurthuis Mariahout,1659::SB10,,1438,607,3,3,0,0,0,546,67,0,0,0,0,0,0,613,105,194,71,61,31,51,50,17,15,2,0,5,1,4
